'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/02/2025, ,0.0, , ,16.2,100,21,0.97,28.93
HUNTERS HILL,02/02/2025, ,0.0, , , ,100,23,1.09,28.29
HUNTERS HILL,03/02/2025, ,0.0, , , ,100,24,1.42,28.12
HUNTERS HILL,04/02/2025, ,0.0, , , ,100,25,1.24,21.94
HUNTERS HILL,05/02/2025, , , , , ,100,29,1.11,25.00
HUNTERS HILL,06/02/2025, , , , , ,100,33,1.27,26.40
HUNTERS HILL,07/02/2025, ,0.0, , , ,100,37,1.77,16.63
HUNTERS HILL,08/02/2025, ,1.0, , , ,100,70,0.81,12.62
HUNTERS HILL,09/02/2025, ,21.0, , , ,100,53,1.13,19.34
HUNTERS HILL,10/02/2025,3.9,5.2, ,25.0,11.9,95,47,1.44,20.58
HUNTERS HILL,11/02/2025,4.1,0.0, ,25.5,13.0,81,41,0.92,21.80
HUNTERS HILL,12/02/2025,4.7,0.0, ,29.1,14.9,88,30,0.91,24.75
HUNTERS HILL,13/02/2025, ,0.0, , ,15.2,100,44,1.34,22.92
HUNTERS HILL,14/02/2025, ,7.8, ,20.8, ,98,45,2.03,9.58
HUNTERS HILL,15/02/2025,3.1,22.4, ,15.3,8.9,92,51,2.63,18.90
HUNTERS HILL,16/02/2025,3.4,0.0, ,16.6,2.0,90,38,1.22,24.15
HUNTERS HILL,17/02/2025,4.1,0.0, ,21.4,5.0,76,36,1.34,26.14
HUNTERS HILL,18/02/2025,4.4,0.0, ,23.7,8.2,67,26,1.51,23.94
HUNTERS HILL,19/02/2025,4.2,0.0, ,23.2,10.1,83,34,1.16,24.80
HUNTERS HILL,20/02/2025,4.3,0.0, ,24.6,8.6,81,30,1.04,25.81
HUNTERS HILL,21/02/2025,4.3,0.0, ,26.4,11.3,68,32,0.67,25.54
HUNTERS HILL,22/02/2025,4.3,0.0, ,28.3,14.3,64,40,1.23,21.08
HUNTERS HILL,23/02/2025,3.4,0.2, ,25.6,17.4,95,51,1.72,15.41
HUNTERS HILL,24/02/2025,4.7,1.8, ,27.1,15.4,85,26,1.25,25.08
HUNTERS HILL,25/02/2025,4.7,0.0, ,30.0,14.0,77,19,0.99,24.66
HUNTERS HILL,26/02/2025,4.8,0.0, ,29.3,17.1,68,37,1.22,24.19
HUNTERS HILL,27/02/2025,5.4,0.0, ,31.3,18.7,57,18,1.65,24.44
HUNTERS HILL,28/02/2025,5.2,0.0, ,27.3,18.5,48,26,2.27,21.63
Totals:,,73,59.4, ,,,,,, 
