'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HUNTERS HILL Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HUNTERS HILL,01/03/2025,5.4,0.0, ,29.2,18.0,55,26,2.01,24.20
HUNTERS HILL,02/03/2025, ,0.0, , ,19.1,100,19,1.38,20.49
HUNTERS HILL,03/03/2025, ,0.0, , , ,100,23,1.06,23.66
HUNTERS HILL,04/03/2025, ,0.0, , , ,100,33,1.02,22.20
HUNTERS HILL,05/03/2025, ,0.0, , , ,100,31,1.03,23.26
HUNTERS HILL,06/03/2025, ,0.0, , , ,100,21,1.30,23.20
HUNTERS HILL,07/03/2025, ,0.0, , , ,100,28,0.80,23.04
HUNTERS HILL,08/03/2025, , , , , ,78,27,0.69,22.85
HUNTERS HILL,09/03/2025,4.2,0.0, ,29.0,13.6,83,28,1.14,22.28
HUNTERS HILL,10/03/2025,1.5,1.6, ,20.4,16.9,98,86,0.46,6.86
HUNTERS HILL,11/03/2025,3.8,9.6, ,28.6,16.6,95,42,0.98,19.52
HUNTERS HILL,12/03/2025,3.9,0.0, ,27.9,14.9,84,41,0.85,21.62
HUNTERS HILL,13/03/2025,4.1,0.0, ,29.1,17.6,70,39,1.44,19.57
HUNTERS HILL,14/03/2025,4.8,0.0, ,30.6,19.2,64,23,1.84,20.98
HUNTERS HILL,15/03/2025,3.6,0.0, ,31.1,19.9,40,15,0.82,18.05
HUNTERS HILL,16/03/2025,3.3,0.0, ,25.4,22.3,98,29,3.50,7.93
HUNTERS HILL,17/03/2025,2.8,8.2, ,16.5,3.3,96,41,1.24,20.91
HUNTERS HILL,18/03/2025,2.9,0.0, ,21.7,5.7,67,30,0.55,20.64
HUNTERS HILL,19/03/2025,3.5,0.0, ,26.8,10.3,67,42,1.46,18.15
HUNTERS HILL,20/03/2025,1.6,0.0, ,20.4,15.9,98,62,1.19,5.93
HUNTERS HILL,21/03/2025,2.8,26.6, ,22.0,15.7,99,67,2.08,15.73
HUNTERS HILL,22/03/2025,3.1,5.2, ,22.3,11.4,89,49,0.94,19.81
HUNTERS HILL,23/03/2025,3.1,0.0, ,24.9,13.3,83,41,0.52,19.58
HUNTERS HILL,24/03/2025,3.1,0.0, ,25.4,16.2,77,46,0.74,18.00
HUNTERS HILL,25/03/2025,3.1,0.0, ,26.4,15.1,88,45,0.78,17.99
HUNTERS HILL,26/03/2025,3.0,0.0, ,27.1,16.4,77,41,0.75,16.53
HUNTERS HILL,27/03/2025,3.2,0.0, ,27.3,16.6,76,39,0.73,18.64
HUNTERS HILL,28/03/2025,2.0,0.0, ,22.1,15.2,80,56,0.52,10.66
HUNTERS HILL,29/03/2025,2.1,0.0, ,24.1,14.8,87,50,1.22,8.59
HUNTERS HILL,30/03/2025,2.8,0.0, ,20.0,13.3,81,59,2.98,14.30
HUNTERS HILL,31/03/2025,3.1,0.0, ,19.3,10.8,81,49,2.50,18.15
Totals:,,76.8,51.2, ,,,,,, 
