'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/09/2024,2.0,2.2, ,16.5,11.0,96,67,6.37,9.43
KANAGULK,02/09/2024,2.5,4.2, ,14.0,6.6,93,48,5.46,13.52
KANAGULK,03/09/2024,2.1,0.8, ,17.0,3.1,100,52,1.81,15.97
KANAGULK,04/09/2024,3.5,0.0, ,20.2,4.6,90,34,4.80,13.03
KANAGULK,05/09/2024,1.9,1.6, ,15.5,8.7,89,47,3.31,4.46
KANAGULK,06/09/2024,1.2,3.0, ,15.4,10.7,93,72,1.83,4.05
KANAGULK,07/09/2024,1.8,1.8, ,16.6,3.5,100,65,2.35,12.26
KANAGULK,08/09/2024,2.1,0.2, ,16.8,6.8,98,62,4.10,11.82
KANAGULK,09/09/2024,1.9,2.6, ,15.7,8.8,99,58,2.43,11.68
KANAGULK,10/09/2024,2.4,0.0, ,17.9,10.2,96,55,1.74,16.37
KANAGULK,11/09/2024,1.7,0.0, ,16.0,4.9,100,68,3.29,10.30
KANAGULK,12/09/2024,2.5,0.0, ,15.0,4.0,89,57,3.87,17.08
KANAGULK,13/09/2024,2.2,0.0, ,16.0,9.1,81,58,2.61,12.18
KANAGULK,14/09/2024,2.3,0.2, ,11.8,6.6,95,54,5.13,16.30
KANAGULK,15/09/2024,2.5,0.8, ,13.5,2.4,89,53,4.34,16.66
KANAGULK,16/09/2024,1.9,0.0, ,12.9,2.6,86,62,3.32,11.03
KANAGULK,17/09/2024,2.4,0.0, ,14.6,6.3,93,55,2.33,18.12
KANAGULK,18/09/2024,3.1,0.0, ,19.0,0.3,98,42,3.50,18.27
KANAGULK,19/09/2024,2.4,0.2, ,15.1,7.7,96,56,3.41,14.93
KANAGULK,20/09/2024,1.9,1.0, ,15.4,6.9,100,69,3.77,12.39
KANAGULK,21/09/2024,2.2,4.6, ,15.8,7.8,98,66,3.45,15.35
KANAGULK,22/09/2024,2.3,1.4, ,16.4,9.0,97,70,3.21,16.02
KANAGULK,23/09/2024,1.9,0.8, ,17.4,9.4,98,70,2.17,11.47
KANAGULK,24/09/2024,2.3,0.2, ,20.0,6.5,100,51,1.10,13.89
KANAGULK,25/09/2024,1.5,2.6, ,13.1,11.6,98,75,3.64,7.75
KANAGULK,26/09/2024,2.8,0.6, ,14.2,2.8,89,54,4.53,20.14
KANAGULK,27/09/2024,2.6,0.0, ,17.9,-1.7,97,39,0.85,21.25
KANAGULK,28/09/2024,5.1,0.0, ,21.7,5.0,81,29,6.88,18.37
KANAGULK,29/09/2024,3.1,13.8, ,17.7,11.1,98,45,3.42,16.83
KANAGULK,30/09/2024,2.9,0.0, ,19.4,4.9,99,49,1.98,18.43
Totals:,,71,42.6, ,,,,,, 
