'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/10/2024,2.7,0.2, ,18.0,7.3,99,51,2.60,16.25
KANAGULK,02/10/2024,3.4,0.0, ,19.6,4.2,99,46,2.49,22.27
KANAGULK,03/10/2024,6.0,0.0, ,25.9,4.2,95,29,6.43,22.20
KANAGULK,04/10/2024,3.2,1.8, ,19.5,13.4,93,55,3.51,17.42
KANAGULK,05/10/2024,1.7,0.6, ,14.9,8.8,97,79,3.19,10.80
KANAGULK,06/10/2024,3.2, , ,18.7,10.2,94,55,4.29,18.00
KANAGULK,07/10/2024,3.1,1.6, ,17.9,11.5,93,55,4.00,17.61
KANAGULK,08/10/2024,2.8,0.0, ,14.2,1.9,93,50,3.28,19.76
KANAGULK,09/10/2024,4.0,0.0, ,20.4,-0.3,95,26,2.61,23.58
KANAGULK,10/10/2024,3.9,0.0, ,18.0,4.4,85,41,4.04,23.71
KANAGULK,11/10/2024,2.8,0.0, ,17.4,2.1,95,55,3.11,17.32
KANAGULK,12/10/2024,3.9,0.0, ,21.5,2.8,96,27,1.90,23.78
KANAGULK,13/10/2024,3.7,0.0, ,23.8,4.4,94,23,2.57,13.41
KANAGULK,14/10/2024,3.9,1.6, ,21.5,6.7,98,56,3.88,24.53
KANAGULK,15/10/2024,2.0,0.2, ,19.0,8.2,93,66,3.68,6.80
KANAGULK,16/10/2024,4.8,2.2, ,26.2,11.2,93,50,5.52,20.66
KANAGULK,17/10/2024, ,0.6, , ,15.8,94,63,5.32,13.43
KANAGULK,18/10/2024,1.5, , ,18.1,16.9,99,87,5.39,8.20
KANAGULK,19/10/2024,2.7,3.4, ,17.5,7.3,96,61,3.81,15.53
KANAGULK,20/10/2024,4.0,0.0, ,20.4,9.9,93,59,4.80,25.00
KANAGULK,21/10/2024,4.6,0.0, ,27.1,5.3,96,25,1.73,24.25
KANAGULK,22/10/2024,5.1,0.0, ,26.1,9.7,86,37,3.72,22.95
KANAGULK,23/10/2024,3.9,0.0, ,20.1,8.9,92,41,2.44,23.20
KANAGULK,24/10/2024,3.7,0.4, ,17.4,4.3,96,37,3.01,23.28
KANAGULK,25/10/2024,3.7,0.2, ,18.1,4.0,97,43,2.42,24.85
KANAGULK,26/10/2024,4.4,0.0, ,23.5,1.9,95,27,2.42,22.73
KANAGULK,27/10/2024,5.1,0.0, ,26.4,7.8,87,31,2.59,25.55
KANAGULK,28/10/2024,4.6,0.0, ,20.5,7.7,95,38,3.95,26.50
KANAGULK,29/10/2024,4.6,0.0, ,22.3,4.5,95,43,3.26,26.90
KANAGULK,30/10/2024,4.9,0.0, ,23.9,5.2,97,30,2.92,26.29
KANAGULK,31/10/2024,4.0,0.0, ,20.4,6.9,95,41,3.70,21.10
Totals:,,111.9,12.8, ,,,,,, 
