'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/12/2024,3.8,27.2, ,24.7,14.9,99,49,3.09,15.71
KANAGULK,02/12/2024,8.5,0.2, ,35.0,9.4,99,11,3.92,28.57
KANAGULK,03/12/2024,4.8,2.8, ,24.7,18.6,99,44,4.18,20.56
KANAGULK,04/12/2024,6.4,1.6, ,29.8,5.9,95,14,2.07,30.98
KANAGULK,05/12/2024,8.5,0.0, ,37.3,12.4,80,9,2.92,30.46
KANAGULK,06/12/2024,3.5,0.0, ,26.5,17.4,91,45,3.12,10.37
KANAGULK,07/12/2024,4.6,2.4, ,27.5,17.7,98,51,3.10,19.99
KANAGULK,08/12/2024,5.8,1.8, ,23.8,9.6,92,30,3.34,30.53
KANAGULK,09/12/2024,5.0,0.0, ,25.1,9.2,90,30,2.46,23.86
KANAGULK,10/12/2024,5.8,0.0, ,23.7,8.7,90,35,4.00,30.25
KANAGULK,11/12/2024,5.9,0.0, ,25.6,8.6,96,31,3.04,30.98
KANAGULK,12/12/2024,6.3,0.0, ,28.4,13.8,85,35,3.05,29.18
KANAGULK,13/12/2024,6.2,0.0, ,26.3,13.2,92,33,3.65,29.61
KANAGULK,14/12/2024,6.4,0.0, ,30.3,9.3,94,12,3.42,20.47
KANAGULK,15/12/2024,7.3,0.0, ,37.0,10.5,91,15,1.92,31.00
KANAGULK,16/12/2024,10.3,0.0, ,41.8,21.8,85,11,5.74,18.01
KANAGULK,17/12/2024,6.3,0.0, ,25.3,12.1,85,28,4.21,28.49
KANAGULK,18/12/2024,6.9,0.0, ,27.0,9.1,90,22,4.43,29.57
KANAGULK,19/12/2024,8.4,0.0, ,34.2,8.0,79,9,3.32,30.84
KANAGULK,20/12/2024,9.6,0.0, ,35.4,12.3,75,12,4.61,30.77
KANAGULK,21/12/2024,7.0,0.0, ,25.2,11.6,83,26,6.01,29.90
KANAGULK,22/12/2024,6.0,0.0, ,25.3,7.7,87,28,4.18,26.74
KANAGULK,23/12/2024,5.2,0.2, ,21.1,6.3,91,34,4.59,26.89
KANAGULK,24/12/2024,5.5,0.0, ,26.6,9.1,83,35,2.77,26.39
KANAGULK,25/12/2024,8.4,0.0, ,36.6,11.0,95,10,3.05,30.71
KANAGULK,26/12/2024,7.2,0.0, ,34.3,17.1,66,10,4.64,8.62
KANAGULK,27/12/2024,5.2,0.0, ,22.9,12.5,88,27,3.55,23.45
KANAGULK,28/12/2024,4.4,0.0, ,23.2,8.7,86,34,2.94,19.40
KANAGULK,29/12/2024,3.9,0.4, ,24.5,6.4,92,40,2.13,18.02
KANAGULK,30/12/2024,6.1,0.0, ,29.2,10.1,94,30,2.92,27.28
KANAGULK,31/12/2024,7.3,0.0, ,30.3,11.5,95,22,3.89,29.97
Totals:,,196.5,36.6, ,,,,,, 
