'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/02/2025,8.5,0.0, ,37.2,10.8,86,10,3.44,28.03
KANAGULK,02/02/2025,10.4,0.0, ,41.8,15.9,60,16,4.88,23.51
KANAGULK,03/02/2025,9.6,0.2, ,38.6,20.4,75,21,6.18,20.83
KANAGULK,04/02/2025,8.8,0.0, ,35.6,18.4,78,28,5.81,26.54
KANAGULK,05/02/2025,7.9,0.0, ,27.4,13.5,86,22,7.94,27.74
KANAGULK,06/02/2025,7.3,0.0, ,35.8,11.1,96,16,2.77,27.52
KANAGULK,07/02/2025,6.8,0.0, ,28.0,15.0,92,34,6.46,26.37
KANAGULK,08/02/2025,6.6,0.0, ,24.6,13.4,84,32,7.53,26.54
KANAGULK,09/02/2025,5.4,0.0, ,25.3,16.0,85,50,7.31,21.33
KANAGULK,10/02/2025,7.3,0.0, ,31.8,16.5,79,29,4.67,26.13
KANAGULK,11/02/2025,7.3,0.0, ,35.5,13.5,87,15,2.88,26.85
KANAGULK,12/02/2025,7.8,0.0, ,38.6,15.1,81,10,2.80,26.75
KANAGULK,13/02/2025,6.3,0.0, ,29.6,26.2,70,26,5.41,12.48
KANAGULK,14/02/2025,4.8,0.4, ,23.9,13.7,91,39,3.56,23.00
KANAGULK,15/02/2025,4.5,0.0, ,19.4,9.5,86,33,5.05,20.77
KANAGULK,16/02/2025,4.8,0.4, ,21.2,5.5,88,28,3.77,24.50
KANAGULK,17/02/2025,5.1,0.0, ,26.5,4.1,86,15,2.29,24.12
KANAGULK,18/02/2025,4.8,0.0, ,23.5,8.6,87,36,4.54,19.97
KANAGULK,19/02/2025,5.4,0.0, ,22.3,11.5,74,37,5.92,22.56
KANAGULK,20/02/2025,6.2,0.0, ,25.1,10.8,77,30,5.86,25.12
KANAGULK,21/02/2025,6.8,0.0, ,32.7,5.8,90,15,3.20,24.68
KANAGULK,22/02/2025,9.0,0.0, ,39.9,14.3,63,6,3.80,23.00
KANAGULK,23/02/2025,5.7,0.0, ,27.6,16.3,87,27,3.32,24.43
KANAGULK,24/02/2025,5.4,0.2, ,26.6,9.6,92,29,4.07,21.43
KANAGULK,25/02/2025,6.1,0.0, ,33.9,9.1,91,9,2.21,24.12
KANAGULK,26/02/2025,6.4,0.0, ,33.8,10.5,79,13,2.81,22.68
KANAGULK,27/02/2025,6.0,0.0, ,31.5,16.4,84,17,2.90,22.54
KANAGULK,28/02/2025,5.3,0.0, ,30.2,14.4,73,30,2.50,22.69
Totals:,,186.3,1.2, ,,,,,, 
