'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KANAGULK Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KANAGULK,01/03/2025,5.2,0.0, ,28.8,8.8,94,25,2.56,23.84
KANAGULK,02/03/2025,4.7,0.0, ,24.4,11.9,88,34,4.53,17.13
KANAGULK,03/03/2025,6.5,0.0, ,26.5,8.7,82,22,5.59,23.57
KANAGULK,04/03/2025,5.9,0.0, ,33.5,7.7,79,11,2.27,23.26
KANAGULK,05/03/2025,7.8,0.0, ,32.6,11.9,75,16,4.99,23.00
KANAGULK,06/03/2025,6.4,0.0, ,26.6,15.1,81,35,7.96,20.58
KANAGULK,07/03/2025,6.1,0.0, ,33.6,14.5,90,21,3.06,22.48
KANAGULK,08/03/2025,6.8,0.0, ,34.4,14.2,81,17,3.59,22.22
KANAGULK,09/03/2025,6.5,0.0, ,34.7,17.5,76,25,4.95,11.31
KANAGULK,10/03/2025,7.0,0.0, ,34.5,17.1,91,28,4.82,21.88
KANAGULK,11/03/2025,3.8,4.8, ,32.3,20.0,84,45,2.90,10.04
KANAGULK,12/03/2025,5.1,2.0, ,33.0,19.1,93,32,2.31,21.27
KANAGULK,13/03/2025,5.9,0.0, ,30.2,14.7,85,22,3.73,21.66
KANAGULK,14/03/2025,5.3,0.0, ,34.2,9.6,96,11,2.03,21.49
KANAGULK,15/03/2025,7.7,0.0, ,40.6,14.4,76,11,3.48,17.89
KANAGULK,16/03/2025,3.0,0.6, ,18.9,18.3,93,49,4.14,12.27
KANAGULK,17/03/2025,3.4,0.4, ,19.9,5.8,91,40,3.32,17.21
KANAGULK,18/03/2025,3.7,0.2, ,25.1,5.6,93,27,1.78,20.55
KANAGULK,19/03/2025,4.9,0.0, ,31.3,7.4,95,13,2.23,20.16
KANAGULK,20/03/2025,3.6,0.0, ,27.2,12.7,92,24,3.21,5.75
KANAGULK,21/03/2025,3.7,0.8, ,22.1,13.1,90,38,3.18,17.96
KANAGULK,22/03/2025,4.0,0.8, ,24.4,6.5,93,32,2.98,19.73
KANAGULK,23/03/2025,4.3,0.0, ,26.3,8.4,95,31,3.33,18.30
KANAGULK,24/03/2025,5.0,0.0, ,24.6,11.7,87,37,5.99,19.33
KANAGULK,25/03/2025,5.5,0.0, ,29.3,10.3,91,23,4.13,19.13
KANAGULK,26/03/2025,5.3,0.0, ,26.1,11.6,95,33,6.30,18.85
KANAGULK,27/03/2025,6.3,0.0, ,29.7,12.2,85,19,5.12,18.67
KANAGULK,28/03/2025,4.8,0.0, ,30.6,11.9,83,33,3.48,16.05
KANAGULK,29/03/2025,4.9,0.0, ,24.9,11.0,83,40,6.44,17.08
KANAGULK,30/03/2025,5.0,0.0, ,24.3,12.6,83,41,7.51,17.22
KANAGULK,31/03/2025,4.6,0.0, ,22.6,12.4,80,37,6.31,17.00
Totals:,,162.7,9.6, ,,,,,, 
