'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/10/2024,3.8,0.0, ,21.4,5.9,98,41,4.49,17.31
KELLALAC (WARRACKNABEAL AIRPORT),02/10/2024,4.7,0.0, ,22.9,4.8,97,27,3.90,22.46
KELLALAC (WARRACKNABEAL AIRPORT),03/10/2024,7.0,0.0, ,28.2,5.6,95,25,7.18,21.91
KELLALAC (WARRACKNABEAL AIRPORT),04/10/2024,5.0,1.0, ,23.4,15.6,88,35,5.88,19.31
KELLALAC (WARRACKNABEAL AIRPORT),05/10/2024,2.5,0.0, ,17.8,6.9,97,61,4.95,11.78
KELLALAC (WARRACKNABEAL AIRPORT),06/10/2024,4.6,3.0, ,21.9,10.4,93,40,6.38,19.59
KELLALAC (WARRACKNABEAL AIRPORT),07/10/2024,3.8,0.0, ,21.0,9.6,96,46,6.04,15.19
KELLALAC (WARRACKNABEAL AIRPORT),08/10/2024,4.0,0.0, ,17.8,-0.2,95,33,4.59,22.96
KELLALAC (WARRACKNABEAL AIRPORT),09/10/2024,5.0,0.0, ,23.0,0.3,94,20,3.63,23.72
KELLALAC (WARRACKNABEAL AIRPORT),10/10/2024,5.5,0.0, ,24.5,4.2,82,29,4.90,23.83
KELLALAC (WARRACKNABEAL AIRPORT),11/10/2024,4.6,0.0, ,21.0,2.8,94,40,5.75,23.93
KELLALAC (WARRACKNABEAL AIRPORT),12/10/2024,5.5,0.0, ,24.7,1.3,95,14,3.67,23.76
KELLALAC (WARRACKNABEAL AIRPORT),13/10/2024,6.5,0.0, ,28.6,3.7,85,16,4.55,19.95
KELLALAC (WARRACKNABEAL AIRPORT),14/10/2024,5.8,0.0, ,27.9,9.6,94,34,4.62,24.37
KELLALAC (WARRACKNABEAL AIRPORT),15/10/2024,3.4,0.0, ,23.1,10.8,91,49,4.97,9.80
KELLALAC (WARRACKNABEAL AIRPORT),16/10/2024,5.3,0.0, ,28.6,13.9,95,42,5.65,18.37
KELLALAC (WARRACKNABEAL AIRPORT),17/10/2024, ,11.2, , ,15.1,96,53,5.95,13.62
KELLALAC (WARRACKNABEAL AIRPORT),18/10/2024,2.2, , ,19.9,15.7,98,77,8.52,10.01
KELLALAC (WARRACKNABEAL AIRPORT),19/10/2024,4.8,7.2, ,22.3,10.9,92,46,5.95,24.84
KELLALAC (WARRACKNABEAL AIRPORT),20/10/2024,5.1,0.0, ,25.0,6.5,97,38,4.46,24.67
KELLALAC (WARRACKNABEAL AIRPORT),21/10/2024,5.9,0.0, ,29.6,7.0,96,20,3.20,23.49
KELLALAC (WARRACKNABEAL AIRPORT),22/10/2024,7.8,0.0, ,33.3,10.0,86,19,5.08,21.42
KELLALAC (WARRACKNABEAL AIRPORT),23/10/2024,5.9,0.0, ,23.5,10.6,88,25,6.06,23.23
KELLALAC (WARRACKNABEAL AIRPORT),24/10/2024,5.1,0.0, ,20.2,4.8,94,27,6.26,23.00
KELLALAC (WARRACKNABEAL AIRPORT),25/10/2024,5.0,0.0, ,20.9,4.1,95,27,4.66,25.33
KELLALAC (WARRACKNABEAL AIRPORT),26/10/2024,5.6,0.0, ,25.4,3.2,88,22,3.70,24.95
KELLALAC (WARRACKNABEAL AIRPORT),27/10/2024,7.5,0.0, ,30.5,10.6,75,18,4.78,25.00
KELLALAC (WARRACKNABEAL AIRPORT),28/10/2024,5.8,0.0, ,24.1,5.4,97,25,5.29,25.48
KELLALAC (WARRACKNABEAL AIRPORT),29/10/2024,6.1,0.0, ,26.8,5.0,95,24,4.16,26.10
KELLALAC (WARRACKNABEAL AIRPORT),30/10/2024,6.8,0.0, ,28.3,5.3,96,17,4.44,25.84
KELLALAC (WARRACKNABEAL AIRPORT),31/10/2024,5.3,0.0, ,23.1,7.9,92,33,5.49,22.80
Totals:,,155.9,22.4, ,,,,,, 
