'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/11/2024,5.4,0.0, ,22.7,3.0,93,25,4.26,26.51
KELLALAC (WARRACKNABEAL AIRPORT),02/11/2024,7.3,0.0, ,28.0,3.2,92,14,5.75,22.19
KELLALAC (WARRACKNABEAL AIRPORT),03/11/2024,7.7,0.0, ,26.6,13.8,76,17,6.57,26.51
KELLALAC (WARRACKNABEAL AIRPORT),04/11/2024,5.3,0.0, ,23.6,7.9,82,28,3.95,23.20
KELLALAC (WARRACKNABEAL AIRPORT),05/11/2024,6.5,0.0, ,29.2,6.5,86,20,4.30,21.68
KELLALAC (WARRACKNABEAL AIRPORT),06/11/2024,8.2,0.0, ,33.1,13.5,72,24,6.29,19.87
KELLALAC (WARRACKNABEAL AIRPORT),07/11/2024,5.5,0.0, ,24.8,9.9,86,31,5.14,20.66
KELLALAC (WARRACKNABEAL AIRPORT),08/11/2024,5.7,0.0, ,22.4,7.1,91,23,5.98,22.03
KELLALAC (WARRACKNABEAL AIRPORT),09/11/2024,3.7,0.0, ,20.9,2.4,90,32,3.16,14.63
KELLALAC (WARRACKNABEAL AIRPORT),10/11/2024,6.1,0.0, ,27.2,5.7,94,22,3.62,26.44
KELLALAC (WARRACKNABEAL AIRPORT),11/11/2024,5.3,0.0, ,28.5,8.6,85,27,3.76,15.17
KELLALAC (WARRACKNABEAL AIRPORT),12/11/2024,5.5,0.2, ,29.0,14.2,78,27,4.14,14.04
KELLALAC (WARRACKNABEAL AIRPORT),13/11/2024,6.3,0.2, ,24.6,13.0,90,31,7.30,24.77
KELLALAC (WARRACKNABEAL AIRPORT),14/11/2024,6.2,0.0, ,25.0,4.1,92,21,4.56,27.05
KELLALAC (WARRACKNABEAL AIRPORT),15/11/2024,6.4,0.0, ,27.8,6.1,86,16,3.39,26.76
KELLALAC (WARRACKNABEAL AIRPORT),16/11/2024,11.2,0.0, ,36.4,9.3,51,7,6.23,24.67
KELLALAC (WARRACKNABEAL AIRPORT),17/11/2024,6.2,0.0, ,23.5,12.4,89,27,8.49,20.30
KELLALAC (WARRACKNABEAL AIRPORT),18/11/2024,6.2,0.4, ,24.0,10.0,83,29,6.01,25.66
KELLALAC (WARRACKNABEAL AIRPORT),19/11/2024, ,0.0, , ,4.0,85,23,4.13,27.43
KELLALAC (WARRACKNABEAL AIRPORT),20/11/2024,7.5, , ,28.8,8.3,78,15,4.77,26.27
KELLALAC (WARRACKNABEAL AIRPORT),21/11/2024, ,0.0, , ,8.7,78,9,3.79,26.85
KELLALAC (WARRACKNABEAL AIRPORT),22/11/2024, , , ,37.5, ,49,16,4.37,20.07
KELLALAC (WARRACKNABEAL AIRPORT),23/11/2024,7.5,0.0, ,35.6,20.2,96,18,5.83,12.29
KELLALAC (WARRACKNABEAL AIRPORT),24/11/2024,2.4,7.4, ,24.1,18.8,97,72,2.60,9.50
KELLALAC (WARRACKNABEAL AIRPORT),25/11/2024,3.0,0.2, ,26.3,16.7,97,64,4.06,10.44
KELLALAC (WARRACKNABEAL AIRPORT),26/11/2024,5.6,0.0, ,31.4,16.5,98,42,3.83,20.45
KELLALAC (WARRACKNABEAL AIRPORT),27/11/2024,4.7,24.6, ,26.0,19.0,97,42,5.26,16.17
KELLALAC (WARRACKNABEAL AIRPORT),28/11/2024,5.9,1.2, ,27.7,11.0,95,33,3.12,27.71
KELLALAC (WARRACKNABEAL AIRPORT),29/11/2024,7.7,0.0, ,32.6,14.6,90,22,3.89,29.12
KELLALAC (WARRACKNABEAL AIRPORT),30/11/2024, ,0.0, ,26.1,19.7,94,53,4.96, 
Totals:,,159,34.2, ,,,,,, 
