'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KELLALAC (WARRACKNABEAL AIRPORT) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KELLALAC (WARRACKNABEAL AIRPORT),01/03/2025,7.0,0.0, ,31.0,11.1,91,19,4.72,23.16
KELLALAC (WARRACKNABEAL AIRPORT),02/03/2025,6.0,0.0, ,26.5,14.1,82,34,6.06,21.88
KELLALAC (WARRACKNABEAL AIRPORT),03/03/2025,7.9,0.0, ,29.5,11.0,81,16,6.64,23.34
KELLALAC (WARRACKNABEAL AIRPORT),04/03/2025, ,0.0, , ,10.2,79,11,3.46,23.09
KELLALAC (WARRACKNABEAL AIRPORT),05/03/2025, , , , , ,70,17,4.90,22.86
KELLALAC (WARRACKNABEAL AIRPORT),06/03/2025, , , ,31.3, ,78,27,7.76,20.36
KELLALAC (WARRACKNABEAL AIRPORT),07/03/2025,7.4,0.0, ,34.1,16.9,86,24,4.98,22.44
KELLALAC (WARRACKNABEAL AIRPORT),08/03/2025,8.1,0.0, ,34.5,15.7,65,18,4.99,22.17
KELLALAC (WARRACKNABEAL AIRPORT),09/03/2025,6.8,0.0, ,35.7,18.6,93,31,5.74,14.30
KELLALAC (WARRACKNABEAL AIRPORT),10/03/2025,6.2,3.0, ,34.1,17.7,96,32,3.86,21.82
KELLALAC (WARRACKNABEAL AIRPORT),11/03/2025,6.8,0.0, ,35.6,18.6,83,29,4.44,19.38
KELLALAC (WARRACKNABEAL AIRPORT),12/03/2025,7.3,0.0, ,36.4,21.3,72,28,4.47,20.85
KELLALAC (WARRACKNABEAL AIRPORT),13/03/2025,7.3,0.0, ,33.4,15.9,84,15,4.61,21.54
KELLALAC (WARRACKNABEAL AIRPORT),14/03/2025,6.9,0.0, ,35.5,12.5,90,8,3.28,21.32
KELLALAC (WARRACKNABEAL AIRPORT),15/03/2025,9.7,0.0, ,40.9,16.4,64,16,5.53,18.12
KELLALAC (WARRACKNABEAL AIRPORT),16/03/2025,4.7,0.0, ,21.8,21.0,90,26,7.51,9.46
KELLALAC (WARRACKNABEAL AIRPORT),17/03/2025,4.3,1.2, ,21.8,5.5,87,32,4.14,20.46
KELLALAC (WARRACKNABEAL AIRPORT),18/03/2025,4.9,0.0, ,26.5,7.1,86,24,3.44,20.29
KELLALAC (WARRACKNABEAL AIRPORT),19/03/2025,6.2,0.0, ,32.1,10.2,65,11,3.28,20.09
KELLALAC (WARRACKNABEAL AIRPORT),20/03/2025,4.7,0.0, ,26.6,14.6,90,27,5.41,7.69
KELLALAC (WARRACKNABEAL AIRPORT),21/03/2025,4.0,1.0, ,23.8,13.7,95,37,3.95,17.38
KELLALAC (WARRACKNABEAL AIRPORT),22/03/2025,4.9,0.2, ,25.9,8.8,87,22,3.67,19.37
KELLALAC (WARRACKNABEAL AIRPORT),23/03/2025,5.5,0.0, ,28.3,10.2,89,22,4.26,19.30
KELLALAC (WARRACKNABEAL AIRPORT),24/03/2025,5.9,0.0, ,26.9,11.0,93,24,6.00,19.26
KELLALAC (WARRACKNABEAL AIRPORT),25/03/2025,6.5,0.0, ,31.1,10.8,92,18,4.92,19.06
KELLALAC (WARRACKNABEAL AIRPORT),26/03/2025,6.9,0.0, ,30.9,13.2,89,20,5.94,18.81
KELLALAC (WARRACKNABEAL AIRPORT),27/03/2025,6.8,0.0, ,31.3,12.4,84,25,5.97,18.59
KELLALAC (WARRACKNABEAL AIRPORT),28/03/2025,5.7,0.0, ,30.2,14.8,69,30,5.07,12.56
KELLALAC (WARRACKNABEAL AIRPORT),29/03/2025,4.9,0.0, ,26.5,18.1,80,40,6.20,12.82
KELLALAC (WARRACKNABEAL AIRPORT),30/03/2025,6.4,0.0, ,27.1,13.3,79,35,8.99,17.98
KELLALAC (WARRACKNABEAL AIRPORT),31/03/2025,5.7,0.0, ,25.3,13.5,80,34,7.71,17.74
Totals:,,175.4,5.4, ,,,,,, 
