'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/10/2024,3.6,0.2, ,21.2,4.5,99,40,2.61,21.14
KYABRAM,02/10/2024,3.9,0.0, ,23.4,5.8,99,39,2.55,22.37
KYABRAM,03/10/2024,4.7,0.0, ,25.9,9.0,96,32,3.20,22.03
KYABRAM,04/10/2024,2.5,3.2, ,21.1,13.0,96,61,3.38,10.40
KYABRAM,05/10/2024,3.0,2.8, ,20.0,8.5,99,50,2.61,16.93
KYABRAM,06/10/2024,3.7,1.6, ,21.4,10.6,99,41,3.05,20.10
KYABRAM,07/10/2024,3.5,0.0, ,22.9,9.1,97,49,3.58,16.13
KYABRAM,08/10/2024,3.7,0.0, ,17.0,3.8,96,39,3.93,23.52
KYABRAM,09/10/2024,4.0,0.0, ,21.9,3.3,90,32,2.19,23.73
KYABRAM,10/10/2024,4.9,0.0, ,26.3,7.6,95,24,2.70,23.65
KYABRAM,11/10/2024,4.9,0.0, ,22.1,8.1,86,32,4.60,24.01
KYABRAM,12/10/2024,4.8,0.0, ,23.1,7.8,91,26,3.31,24.19
KYABRAM,13/10/2024,4.8,0.0, ,25.1,5.7,97,22,2.79,23.01
KYABRAM,14/10/2024,5.2,0.0, ,28.1,13.3,85,24,2.52,23.23
KYABRAM,15/10/2024,4.8,0.0, ,26.9,12.2,86,41,3.64,19.69
KYABRAM,16/10/2024,4.0,0.0, ,24.2,14.1,94,52,2.87,20.52
KYABRAM,17/10/2024, ,0.0, , ,12.2,99,49,3.19,15.70
KYABRAM,18/10/2024,2.6, , ,23.5,17.1,100,69,4.61,10.67
KYABRAM,19/10/2024,4.7,10.4, ,22.2,13.9,89,42,4.33,23.17
KYABRAM,20/10/2024,4.8,0.0, ,23.6,10.1,93,46,4.29,25.11
KYABRAM,21/10/2024,4.9,0.0, ,27.5,9.2,99,35,2.23,25.70
KYABRAM,22/10/2024,4.9,0.0, ,30.4,12.6,94,27,2.10,20.61
KYABRAM,23/10/2024,4.7,0.0, ,24.2,13.7,91,22,3.24,18.90
KYABRAM,24/10/2024,4.3,0.0, ,20.1,6.0,97,27,3.38,22.59
KYABRAM,25/10/2024,4.3,0.0, ,18.7,6.1,93,34,3.65,25.49
KYABRAM,26/10/2024,4.3,0.0, ,23.2,1.3,98,16,1.47,26.17
KYABRAM,27/10/2024,6.3,0.0, ,29.7,9.6,74,17,3.03,25.12
KYABRAM,28/10/2024,5.5,0.0, ,23.1,10.6,79,33,4.45,26.51
KYABRAM,29/10/2024,5.6,0.0, ,26.1,6.3,95,25,3.25,26.77
KYABRAM,30/10/2024,5.7,0.0, ,27.9,6.7,99,17,2.58,26.92
KYABRAM,31/10/2024,4.9,0.0, ,23.8,10.0,95,31,3.58,22.80
Totals:,,133.5,18.2, ,,,,,, 
