'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/02/2025,8.2,0.0, ,38.2,15.5,78,15,3.06,28.12
KYABRAM,02/02/2025,8.0,0.0, ,39.1,23.5,53,23,3.33,23.39
KYABRAM,03/02/2025,8.4,0.0, ,39.0,23.6,59,15,3.76,21.58
KYABRAM,04/02/2025,7.4,0.2, ,39.4,23.4,76,17,2.84,22.48
KYABRAM,05/02/2025,7.9,0.0, ,33.8,17.6,77,23,4.23,27.55
KYABRAM,06/02/2025,6.9,0.0, ,37.7,16.5,91,21,2.22,26.86
KYABRAM,07/02/2025,9.2,0.0, ,40.4,23.0,73,14,4.11,24.78
KYABRAM,08/02/2025,6.7,0.0, ,29.7,17.2,78,36,4.66,25.73
KYABRAM,09/02/2025,5.1,0.0, ,31.9,13.8,95,18,2.05,18.69
KYABRAM,10/02/2025,6.7,0.0, ,32.5,17.3,84,21,3.26,24.59
KYABRAM,11/02/2025,6.3,0.0, ,33.6,15.7,85,20,2.16,26.42
KYABRAM,12/02/2025,6.5,0.0, ,36.3,16.9,83,21,2.08,26.29
KYABRAM,13/02/2025,7.5,0.0, ,37.0,23.2,71,26,4.15,19.80
KYABRAM,14/02/2025,6.4,0.4, ,28.6,17.8,74,26,3.93,24.11
KYABRAM,15/02/2025,5.4,0.0, ,22.2,10.9,78,28,4.90,23.45
KYABRAM,16/02/2025,5.0,0.0, ,21.7,6.6,80,26,3.81,23.83
KYABRAM,17/02/2025,4.9,0.0, ,26.2,5.6,89,14,1.83,25.12
KYABRAM,18/02/2025,6.7,0.0, ,29.2,12.7,73,16,3.71,25.12
KYABRAM,19/02/2025,6.2,0.0, ,25.5,11.4,73,31,5.22,24.93
KYABRAM,20/02/2025,6.5,0.0, ,27.6,13.0,81,20,4.41,24.83
KYABRAM,21/02/2025,6.6,0.0, ,33.7,11.5,77,21,2.93,24.54
KYABRAM,22/02/2025,8.7,0.0, ,38.6,18.6,54,21,4.54,21.58
KYABRAM,23/02/2025,7.7,0.8, ,37.0,22.0,76,18,4.34,19.53
KYABRAM,24/02/2025,6.5,0.2, ,29.1,12.5,79,28,4.61,24.25
KYABRAM,25/02/2025,6.3,0.0, ,33.9,13.4,82,20,2.66,23.79
KYABRAM,26/02/2025,6.5,0.0, ,36.3,16.6,75,10,2.38,23.72
KYABRAM,27/02/2025,6.8,0.0, ,35.3,15.1,86,12,2.92,23.30
KYABRAM,28/02/2025,6.1,0.0, ,33.8,20.2,58,19,2.42,22.26
Totals:,,191.1,1.6, ,,,,,, 
