'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/04/2025,3.5,0.0, ,25.6,10.4,89,29,2.01,18.05
KYABRAM,02/04/2025,3.3,0.0, ,25.9,9.0,94,26,1.56,17.78
KYABRAM,03/04/2025,3.8,0.0, ,25.2,10.2,84,31,2.86,16.32
KYABRAM,04/04/2025,3.4,0.0, ,21.7,9.2,82,34,2.86,16.32
KYABRAM,05/04/2025,3.3,0.0, ,20.5,9.8,80,26,2.44,17.20
KYABRAM,06/04/2025,2.6,0.0, ,22.4,5.1,85,37,1.93,11.53
KYABRAM,07/04/2025,2.8,0.0, ,20.5,10.2,96,39,2.45,15.40
KYABRAM,08/04/2025,3.0,0.0, ,22.7,9.1,94,36,2.14,16.71
KYABRAM,09/04/2025,2.5,0.0, ,23.6,6.1,99,30,1.02,16.50
KYABRAM,10/04/2025,2.8,0.0, ,26.9,12.0,81,27,1.14,16.33
KYABRAM,11/04/2025, ,0.0, , ,11.3,81,21,1.68,15.71
KYABRAM,12/04/2025,3.5, , ,31.9,11.0,95,21,1.61,16.02
KYABRAM,13/04/2025,3.7,0.0, ,31.5,13.0,75,22,1.78,15.72
KYABRAM,14/04/2025,3.3,0.0, ,27.9,12.5,80,33,2.17,13.24
KYABRAM,15/04/2025,3.3,0.0, ,28.1,12.7,92,36,2.21,15.40
KYABRAM,16/04/2025,3.0,0.0, ,26.1,13.4,73,35,1.94,12.96
KYABRAM,17/04/2025,2.3,0.0, ,29.1,10.2,92,31,0.63,15.15
KYABRAM,18/04/2025,3.6,0.0, ,30.6,11.8,89,23,2.07,15.01
KYABRAM,19/04/2025,4.4,0.0, ,30.5,15.2,67,15,2.83,12.55
KYABRAM,20/04/2025,2.6,0.0, ,22.5,14.9,78,37,2.39,9.48
KYABRAM,21/04/2025,2.8,0.8, ,22.7,12.5,99,37,3.03,11.02
KYABRAM,22/04/2025,3.2,0.0, ,22.8,11.1,90,45,4.33,14.43
KYABRAM,23/04/2025,3.0,0.0, ,27.0,11.9,90,35,2.07,14.25
KYABRAM,24/04/2025,3.6,0.0, ,27.7,17.3,68,35,2.85,12.76
KYABRAM,25/04/2025,2.7,0.0, ,26.2,16.9,99,43,2.96,8.57
KYABRAM,26/04/2025,2.0,19.0, ,22.5,14.3,99,61,2.14,12.11
KYABRAM,27/04/2025,2.8,0.0, ,23.5,14.8,94,54,3.93,13.71
KYABRAM,28/04/2025,2.3,0.0, ,21.2,10.1,94,49,2.70,12.53
KYABRAM,29/04/2025,2.6,0.0, ,21.4,11.6,94,52,4.26,12.57
KYABRAM,30/04/2025,2.6,2.6, ,20.3,12.1,88,41,3.27,13.31
Totals:,,88.3,22.4, ,,,,,, 
