'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/09/2024,4.9,0.0, ,20.8,13.1,69,45,10.08,15.25
LAVERTON RAAF,02/09/2024,2.7,4.6, ,13.2,8.4,100,47,10.91,13.30
LAVERTON RAAF,03/09/2024,2.3,2.0, ,17.1,5.7,99,49,3.41,13.29
LAVERTON RAAF,04/09/2024,3.9,0.0, ,20.0,8.3,82,40,6.57,14.87
LAVERTON RAAF,05/09/2024,4.4,0.0, ,22.7,13.0,73,32,6.35,5.92
LAVERTON RAAF,06/09/2024,3.8,0.2, ,24.1,15.4,98,32,6.07,5.20
LAVERTON RAAF,07/09/2024,3.6,0.4, ,20.1,7.1,99,32,4.57,16.73
LAVERTON RAAF,08/09/2024,3.1,0.0, ,18.4,9.1,99,46,7.03,10.65
LAVERTON RAAF,09/09/2024,3.1,2.0, ,17.9,9.0,87,47,5.55,13.28
LAVERTON RAAF,10/09/2024,3.3,0.2, ,21.3,6.8,91,40,3.20,17.62
LAVERTON RAAF,11/09/2024,2.7,0.0, ,20.5,10.4,100,52,4.76,10.94
LAVERTON RAAF,12/09/2024,2.8,1.0, ,15.0,9.5,88,48,4.90,15.88
LAVERTON RAAF,13/09/2024,2.4,0.0, ,17.2,8.1,98,56,4.34,12.73
LAVERTON RAAF,14/09/2024,2.0,0.6, ,11.5,8.2,100,57,6.48,11.23
LAVERTON RAAF,15/09/2024,3.1,4.0, ,13.4,7.4,71,47,5.64,16.48
LAVERTON RAAF,16/09/2024,2.3,0.0, ,15.6,6.8,100,60,5.36,13.95
LAVERTON RAAF,17/09/2024,2.8,0.2, ,16.5,8.3,99,44,3.69,16.69
LAVERTON RAAF,18/09/2024,5.2,0.0, ,21.2,4.7,82,26,7.10,19.26
LAVERTON RAAF,19/09/2024,3.5,0.4, ,18.3,9.1,99,42,6.70,15.15
LAVERTON RAAF,20/09/2024,3.3,0.8, ,18.9,7.4,99,43,6.35,12.41
LAVERTON RAAF,21/09/2024,3.4,4.8, ,18.0,8.8,81,45,5.89,12.92
LAVERTON RAAF,22/09/2024,4.3,0.0, ,21.1,9.9,82,40,6.29,16.64
LAVERTON RAAF,23/09/2024,2.6,0.0, ,19.1,9.9,100,52,4.04,10.98
LAVERTON RAAF,24/09/2024,4.2,0.0, ,26.7,9.7,100,22,2.85,16.42
LAVERTON RAAF,25/09/2024,1.7,3.4, ,13.5,13.0,100,62,3.95,7.01
LAVERTON RAAF,26/09/2024,3.2,5.8, ,14.2,9.0,73,49,5.50,15.31
LAVERTON RAAF,27/09/2024,2.9,0.0, ,16.1,6.8,98,50,2.74,20.98
LAVERTON RAAF,28/09/2024,4.6,0.0, ,22.2,4.2,100,33,5.50,20.72
LAVERTON RAAF,29/09/2024,2.5,0.0, ,19.1,14.7,100,51,5.47,6.28
LAVERTON RAAF,30/09/2024,3.4,6.4, ,19.9,6.5,100,42,3.61,18.39
Totals:,,98,36.8, ,,,,,, 
