'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/10/2024,2.9,0.0, ,19.4,7.6,100,52,3.89,14.96
LAVERTON RAAF,02/10/2024,3.3,0.0, ,19.1,8.4,100,53,3.24,21.85
LAVERTON RAAF,03/10/2024,5.3,0.0, ,26.6,6.4,100,30,4.58,22.00
LAVERTON RAAF,04/10/2024,5.0,0.0, ,23.8,15.8,79,43,6.99,16.11
LAVERTON RAAF,05/10/2024,3.3,0.0, ,20.9,9.5,99,46,4.63,13.45
LAVERTON RAAF,06/10/2024,4.6,7.0, ,21.2,11.4,90,36,6.60,17.82
LAVERTON RAAF,07/10/2024,3.2,0.2, ,18.2,13.5,86,51,5.94,11.59
LAVERTON RAAF,08/10/2024,3.2,0.2, ,15.0,4.6,96,45,4.46,22.05
LAVERTON RAAF,09/10/2024,3.4,0.2, ,17.9,3.0,92,44,2.62,23.44
LAVERTON RAAF,10/10/2024,4.9,0.0, ,21.3,10.0,74,39,5.56,23.12
LAVERTON RAAF,11/10/2024,3.2,0.0, ,17.4,4.3,92,46,4.29,17.04
LAVERTON RAAF,12/10/2024,3.7,0.0, ,17.0,10.7,92,48,4.06,23.73
LAVERTON RAAF,13/10/2024,6.2,0.0, ,26.4,5.3,99,22,5.47,22.76
LAVERTON RAAF,14/10/2024,3.6,0.0, ,20.4,13.6,100,57,4.20,21.47
LAVERTON RAAF,15/10/2024,4.4,0.0, ,25.6,8.2,100,44,3.38,22.10
LAVERTON RAAF,16/10/2024,4.8,5.4, ,25.9,13.7,100,42,4.23,22.43
LAVERTON RAAF,17/10/2024, ,0.0, , ,16.6,99,46,4.87,17.18
LAVERTON RAAF,18/10/2024,2.8, , ,21.8,17.8,100,61,5.48,10.78
LAVERTON RAAF,19/10/2024,3.2,28.4, ,17.7,12.6,100,63,5.08,21.02
LAVERTON RAAF,20/10/2024,3.9,0.2, ,19.4,12.1,99,51,4.21,23.66
LAVERTON RAAF,21/10/2024,4.6,0.0, ,24.7,10.4,100,46,2.79,25.73
LAVERTON RAAF,22/10/2024,7.0,0.0, ,32.2,13.6,93,24,4.94,21.91
LAVERTON RAAF,23/10/2024,4.8,0.0, ,20.9,12.4,79,36,4.61,22.57
LAVERTON RAAF,24/10/2024,4.6,0.0, ,18.7,7.9,93,28,5.77,21.12
LAVERTON RAAF,25/10/2024,4.2,0.0, ,16.0,8.8,83,34,4.61,23.72
LAVERTON RAAF,26/10/2024,4.4,0.2, ,20.1,3.6,95,29,2.77,26.27
LAVERTON RAAF,27/10/2024,6.2,0.0, ,28.2,11.4,84,24,4.92,18.83
LAVERTON RAAF,28/10/2024,4.0,0.0, ,17.5,11.1,91,49,4.66,24.77
LAVERTON RAAF,29/10/2024,3.7,0.0, ,19.5,7.2,95,51,3.65,21.42
LAVERTON RAAF,30/10/2024,4.2,0.0, ,20.2,11.0,86,54,3.66,25.05
LAVERTON RAAF,31/10/2024,3.5,0.0, ,19.1,11.9,89,49,4.64,15.34
Totals:,,126.1,41.8, ,,,,,, 
