'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/12/2024,5.0,10.0, ,25.6,17.2,99,47,5.51,20.63
LAVERTON RAAF,02/12/2024,7.5,1.6, ,32.0,13.9,100,23,3.60,31.05
LAVERTON RAAF,03/12/2024,8.1,3.0, ,32.1,19.6,100,30,7.05,27.69
LAVERTON RAAF,04/12/2024,5.2,0.0, ,22.6,9.8,96,50,3.54,31.08
LAVERTON RAAF,05/12/2024,7.6,0.0, ,31.6,11.5,100,17,3.39,31.73
LAVERTON RAAF,06/12/2024,5.1,0.0, ,30.3,17.9,83,33,2.98,16.29
LAVERTON RAAF,07/12/2024,5.7,1.6, ,28.9,18.5,100,51,5.82,23.83
LAVERTON RAAF,08/12/2024,6.0,0.2, ,22.7,11.8,86,35,4.89,31.00
LAVERTON RAAF,09/12/2024,4.9,0.0, ,21.2,9.2,90,47,3.57,28.64
LAVERTON RAAF,10/12/2024,5.8,0.0, ,21.4,14.6,75,45,4.36,30.96
LAVERTON RAAF,11/12/2024,6.2,0.0, ,26.0,11.0,94,29,3.97,28.79
LAVERTON RAAF,12/12/2024,5.7,0.0, ,25.9,15.3,99,48,4.29,29.27
LAVERTON RAAF,13/12/2024,4.6,0.0, ,21.8,15.7,100,59,4.23,26.81
LAVERTON RAAF,14/12/2024,4.7,0.0, ,23.6,15.1,82,50,3.71,21.19
LAVERTON RAAF,15/12/2024,7.0,0.0, ,31.5,12.6,99,32,3.18,31.89
LAVERTON RAAF,16/12/2024,10.5,0.0, ,40.9,18.0,93,16,6.54,18.13
LAVERTON RAAF,17/12/2024,7.3,0.0, ,25.2,17.2,80,27,6.34,29.22
LAVERTON RAAF,18/12/2024,5.7,0.0, ,21.8,12.8,78,48,5.30,31.14
LAVERTON RAAF,19/12/2024,7.3,0.0, ,30.1,10.1,98,24,3.80,32.33
LAVERTON RAAF,20/12/2024,9.6,0.0, ,36.3,14.1,83,12,4.58,29.81
LAVERTON RAAF,21/12/2024,5.7,0.0, ,21.7,16.4,75,46,6.04,26.34
LAVERTON RAAF,22/12/2024,4.8,0.0, ,21.1,12.3,99,47,4.50,27.24
LAVERTON RAAF,23/12/2024,4.4,13.6, ,18.9,9.8,90,46,6.28,22.24
LAVERTON RAAF,24/12/2024,4.8,0.0, ,22.6,13.3,87,52,4.31,24.81
LAVERTON RAAF,25/12/2024,7.4,0.0, ,30.7,16.2,94,23,3.49,31.96
LAVERTON RAAF,26/12/2024,10.2,0.0, ,36.5,19.9,68,11,7.54,12.46
LAVERTON RAAF,27/12/2024,6.1,0.0, ,23.6,14.5,63,32,5.81,19.99
LAVERTON RAAF,28/12/2024,5.4,0.0, ,25.2,10.7,90,31,4.78,19.14
LAVERTON RAAF,29/12/2024,5.6,0.8, ,25.2,10.3,91,39,3.93,27.66
LAVERTON RAAF,30/12/2024,5.9,0.0, ,27.4,15.6,88,42,3.56,27.04
LAVERTON RAAF,31/12/2024,6.0,0.0, ,24.5,16.7,87,40,4.14,29.68
Totals:,,195.8,30.8, ,,,,,, 
