'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/01/2025,5.5,0.0, ,22.2,14.0,88,41,4.97,27.27
LAVERTON RAAF,02/01/2025,5.9,0.0, ,20.7,14.9,72,43,5.91,29.82
LAVERTON RAAF,03/01/2025,6.9,0.0, ,28.5,13.5,83,36,3.83,31.97
LAVERTON RAAF,04/01/2025,9.4,0.0, ,38.9,13.1,98,8,3.96,27.03
LAVERTON RAAF,05/01/2025,9.3,0.0, ,40.4,19.6,47,10,4.43,15.35
LAVERTON RAAF,06/01/2025,3.2,1.8, ,18.3,16.5,100,32,5.08,8.57
LAVERTON RAAF,07/01/2025,5.8,21.4, ,24.6,14.3,99,50,7.24,30.54
LAVERTON RAAF,08/01/2025,6.6,0.0, ,29.0,11.7,99,35,3.52,31.41
LAVERTON RAAF,09/01/2025,7.6,0.0, ,33.0,18.0,74,23,4.46,22.99
LAVERTON RAAF,10/01/2025, ,0.0, , ,18.3, , , ,30.54
LAVERTON RAAF,11/01/2025,7.4, , ,34.0,16.8,100,25,3.94,26.31
LAVERTON RAAF,12/01/2025,2.9,0.0, ,25.9,18.7,100,54,2.84,9.34
LAVERTON RAAF,13/01/2025,5.1,6.0, ,26.1,17.1,100,60,3.37,27.43
LAVERTON RAAF,14/01/2025,5.6,0.2, ,25.7,18.6,92,56,3.45,29.80
LAVERTON RAAF,15/01/2025,3.3,0.0, ,25.0,17.3,100,52,5.11,8.80
LAVERTON RAAF,16/01/2025,5.6,0.4, ,22.3,11.0,78,37,5.16,26.17
LAVERTON RAAF,17/01/2025, ,0.0, ,22.1,15.7, , , ,28.38
LAVERTON RAAF,18/01/2025, ,0.0, ,29.0,16.2, , , ,30.82
LAVERTON RAAF,19/01/2025,7.5,0.0, ,34.2,13.7,99,19,3.33,27.80
LAVERTON RAAF,20/01/2025,6.7,0.0, ,33.3,16.8,88,31,3.44,24.92
LAVERTON RAAF,21/01/2025,6.8,0.0, ,31.0,18.6,100,45,4.68,30.30
LAVERTON RAAF,22/01/2025,5.2,0.0, ,22.8,16.8,84,48,6.84,21.47
LAVERTON RAAF,23/01/2025, , , ,20.8, ,85,55,4.90,12.20
LAVERTON RAAF,24/01/2025,5.4,0.0, ,22.7,12.6,84,42,4.84,26.98
LAVERTON RAAF,25/01/2025,5.6,0.2, ,25.6,13.4,94,43,4.15,28.27
LAVERTON RAAF,26/01/2025,5.3,0.0, ,29.5,17.1,100,53,4.31,23.63
LAVERTON RAAF,27/01/2025,11.1,0.0, ,42.1,15.5,94,13,5.90,21.92
LAVERTON RAAF,28/01/2025,5.4,1.4, ,23.1,17.1,99,42,6.19,25.99
LAVERTON RAAF,29/01/2025,5.8,0.2, ,21.6,15.5,61,42,5.31,25.50
LAVERTON RAAF,30/01/2025,5.3,0.0, ,22.1,15.1,66,41,4.96,21.97
LAVERTON RAAF,31/01/2025,5.6,0.0, ,23.7,15.8,76,46,4.35,27.20
Totals:,,165.8,31.6, ,,,,,, 
