'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/02/2025,6.6,0.0, ,31.0,16.3,80,40,3.64,27.82
LAVERTON RAAF,02/02/2025,10.1,0.0, ,39.9,17.7,100,22,6.13,26.27
LAVERTON RAAF,03/02/2025,7.1,19.2, ,38.1,20.9,100,20,4.06,16.97
LAVERTON RAAF,04/02/2025,8.6,0.2, ,38.5,23.1,80,22,4.86,21.69
LAVERTON RAAF,05/02/2025,5.6,0.0, ,24.2,16.8,81,49,5.56,26.15
LAVERTON RAAF,06/02/2025,6.0,0.0, ,31.3,16.2,100,44,3.02,27.97
LAVERTON RAAF,07/02/2025,3.1,0.0, ,24.1,17.7,100,62,4.22,12.70
LAVERTON RAAF,08/02/2025,3.5,0.2, ,22.0,16.6,87,60,6.00,12.44
LAVERTON RAAF,09/02/2025,5.9,0.0, ,26.7,17.4,85,53,8.57,24.35
LAVERTON RAAF,10/02/2025,6.0,0.0, ,27.1,18.2,85,50,7.49,24.23
LAVERTON RAAF,11/02/2025,6.3,0.0, ,30.4,19.0,94,41,4.46,25.92
LAVERTON RAAF,12/02/2025,6.3,0.0, ,32.1,17.0,100,36,3.29,26.91
LAVERTON RAAF,13/02/2025,7.5,0.0, ,35.2,21.6,96,28,6.74,15.65
LAVERTON RAAF,14/02/2025,3.9,2.8, ,23.4,13.4,95,52,4.30,18.06
LAVERTON RAAF,15/02/2025,3.9,3.4, ,18.1,11.4,93,44,6.70,18.25
LAVERTON RAAF,16/02/2025,4.6,6.2, ,19.6,9.2,90,36,5.52,22.99
LAVERTON RAAF,17/02/2025,4.7,0.0, ,21.3,10.5,75,44,3.39,25.91
LAVERTON RAAF,18/02/2025,4.1,0.0, ,22.0,11.3,93,47,4.96,18.97
LAVERTON RAAF,19/02/2025,4.0,0.0, ,20.7,13.9,91,51,5.71,18.08
LAVERTON RAAF,20/02/2025,4.6,0.0, ,20.7,14.2,73,44,5.33,19.49
LAVERTON RAAF,21/02/2025,5.7,0.0, ,30.2,10.0,88,32,3.00,24.45
LAVERTON RAAF,22/02/2025,9.6,0.0, ,38.1,15.2,83,23,6.41,23.24
LAVERTON RAAF,23/02/2025,7.2,0.0, ,31.3,24.1,83,31,6.48,20.02
LAVERTON RAAF,24/02/2025,4.2,1.0, ,22.6,13.3,85,50,4.23,20.62
LAVERTON RAAF,25/02/2025,4.8,0.0, ,25.1,16.3,90,48,3.94,23.78
LAVERTON RAAF,26/02/2025,8.1,0.0, ,37.1,13.5,100,11,4.17,21.91
LAVERTON RAAF,27/02/2025,4.3,0.0, ,24.9,18.3,89,54,3.38,21.15
LAVERTON RAAF,28/02/2025,4.8,0.0, ,27.1,16.4,98,45,3.79,22.11
Totals:,,161.1,33, ,,,,,, 
