'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/11/2024,4.8,0.0, ,21.8,0.0,97,27,3.09,27.06
LONGERENONG,02/11/2024,6.7,0.0, ,27.6,5.9,84,14,4.72,22.16
LONGERENONG,03/11/2024,6.9,0.0, ,24.8,13.7,78,18,5.56,26.97
LONGERENONG,04/11/2024,4.6,0.0, ,22.8,6.4,84,33,2.98,22.77
LONGERENONG,05/11/2024,5.9,0.0, ,28.3,8.7,78,22,3.23,23.34
LONGERENONG,06/11/2024,7.2,0.0, ,32.2,12.1,72,27,4.66,21.71
LONGERENONG,07/11/2024,4.5,0.0, ,22.4,8.0,93,34,3.98,20.23
LONGERENONG,08/11/2024,5.0,0.2, ,21.2,4.2,95,25,5.20,21.42
LONGERENONG,09/11/2024,3.1,0.2, ,21.0,0.2,92,31,1.69,15.30
LONGERENONG,10/11/2024,4.8,0.0, ,25.3,3.7,97,25,1.90,25.91
LONGERENONG,11/11/2024,5.4,0.0, ,29.1,9.7,82,26,3.14,18.41
LONGERENONG,12/11/2024,4.1,0.0, ,26.4,15.5,81,33,2.79,12.70
LONGERENONG,13/11/2024,5.6,0.0, ,23.5,10.9,94,35,5.98,24.72
LONGERENONG,14/11/2024,5.6,0.0, ,24.5,1.8,96,23,3.56,27.29
LONGERENONG,15/11/2024,5.8,0.0, ,27.5,8.0,81,17,2.35,27.23
LONGERENONG,16/11/2024,9.2,0.0, ,35.5,10.4,64,8,4.69,23.82
LONGERENONG,17/11/2024,5.7,0.0, ,22.1,11.6,89,26,7.47,19.87
LONGERENONG,18/11/2024,5.2,1.0, ,23.3,9.7,87,33,4.70,22.27
LONGERENONG,19/11/2024,5.3,0.0, ,24.8,2.3,93,28,2.79,27.43
LONGERENONG,20/11/2024,6.9,0.0, ,28.1,9.2,74,16,3.97,25.88
LONGERENONG,21/11/2024, ,0.0, , ,8.7,81,9,2.27,26.53
LONGERENONG,22/11/2024, , , ,37.3, ,51,15,3.14,21.90
LONGERENONG,23/11/2024,5.9,0.0, ,34.7,21.2,96,20,3.92,12.55
LONGERENONG,24/11/2024,3.1,5.2, ,27.6,18.5,98,51,1.20,13.09
LONGERENONG,25/11/2024,3.8,0.0, ,27.8,16.4,93,48,2.62,14.15
LONGERENONG,26/11/2024,4.9,0.0, ,31.3,16.9,97,39,2.37,18.84
LONGERENONG,27/11/2024,4.1,25.2, ,24.9,18.4,97,42,4.22,14.35
LONGERENONG,28/11/2024,5.6,1.2, ,27.9,9.8,96,33,2.47,27.19
LONGERENONG,29/11/2024,7.0,0.0, ,32.8,15.9,87,22,2.81,28.44
LONGERENONG,30/11/2024, ,0.0, ,23.6,18.8,96,65,3.26, 
Totals:,,146.7,33, ,,,,,, 
