'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/02/2025,8.4,0.0, ,37.8,13.2,79,19,3.54,28.10
LONGERENONG,02/02/2025,10.5,0.0, ,42.5,19.1,60,16,4.98,22.98
LONGERENONG,03/02/2025,7.4,0.0, ,38.4,19.9,82,22,3.91,18.35
LONGERENONG,04/02/2025,8.7,3.2, ,38.5,17.8,88,25,4.38,26.96
LONGERENONG,05/02/2025,7.4,0.0, ,29.8,13.0,79,22,4.71,27.90
LONGERENONG,06/02/2025,7.5,0.0, ,36.9,14.0,88,19,2.86,27.80
LONGERENONG,07/02/2025,7.5,0.0, ,31.6,16.7,79,28,5.18,25.28
LONGERENONG,08/02/2025,6.9,0.0, ,27.3,12.7,75,28,5.44,27.05
LONGERENONG,09/02/2025,6.0,0.0, ,28.0,15.2,83,42,6.25,20.76
LONGERENONG,10/02/2025,8.4,0.0, ,32.3,17.5,78,30,6.82,26.21
LONGERENONG,11/02/2025,7.4,0.0, ,34.6,16.9,81,22,3.50,26.71
LONGERENONG,12/02/2025,7.6,0.0, ,38.6,18.0,73,17,2.69,26.55
LONGERENONG,13/02/2025,7.1,0.0, ,32.0,24.9,63,30,6.20,12.13
LONGERENONG,14/02/2025,6.3,0.0, ,27.4,12.6,90,31,5.79,22.77
LONGERENONG,15/02/2025,5.9,0.0, ,21.5,10.9,77,28,7.25,22.70
LONGERENONG,16/02/2025,5.0,0.0, ,22.3,5.3,80,27,3.65,24.09
LONGERENONG,17/02/2025,5.6,0.0, ,26.5,8.6,73,16,2.77,24.64
LONGERENONG,18/02/2025,6.0,0.0, ,25.6,7.8,71,34,5.43,24.44
LONGERENONG,19/02/2025,5.7,0.0, ,24.3,9.0,74,33,5.21,24.38
LONGERENONG,20/02/2025,6.3,0.0, ,26.5,7.6,84,25,5.11,24.78
LONGERENONG,21/02/2025,6.7,0.0, ,33.7,9.1,81,21,3.17,24.39
LONGERENONG,22/02/2025,10.1,0.0, ,39.7,15.5,50,10,4.93,23.06
LONGERENONG,23/02/2025,7.2,0.0, ,28.8,18.6,73,25,6.03,22.66
LONGERENONG,24/02/2025,6.4,0.0, ,29.3,9.8,87,29,4.66,24.04
LONGERENONG,25/02/2025,6.7,0.0, ,34.0,12.4,82,12,2.96,23.67
LONGERENONG,26/02/2025,8.0,0.0, ,36.3,13.3,69,11,3.95,22.33
LONGERENONG,27/02/2025,6.5,0.0, ,33.0,9.4,95,17,3.36,22.40
LONGERENONG,28/02/2025,6.4,0.0, ,30.9,15.6,64,31,3.90,22.98
Totals:,,199.6,3.2, ,,,,,, 
