'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/09/2024,4.1,0.0, ,25.3,6.9,82,25,3.40,16.10
MALLACOOTA,02/09/2024,4.2,0.2, ,17.1,9.6,84,21,6.84,14.14
MALLACOOTA,03/09/2024,2.9,4.4, ,16.3,7.5,91,47,5.79,15.59
MALLACOOTA,04/09/2024,2.9,0.0, ,20.3,5.7,91,44,3.20,16.01
MALLACOOTA,05/09/2024,3.0,0.0, ,23.6,12.0,86,33,2.48,10.80
MALLACOOTA,06/09/2024,5.2,0.0, ,30.2,13.3,88,20,3.77,16.41
MALLACOOTA,07/09/2024,2.7,6.8, ,17.5,11.6,94,50,3.24,16.82
MALLACOOTA,08/09/2024,3.1,0.0, ,20.5,7.6,94,35,2.74,17.27
MALLACOOTA,09/09/2024,3.0,0.0, ,17.7,9.5,85,45,3.55,16.86
MALLACOOTA,10/09/2024,2.7,0.0, ,17.5,8.5,89,53,3.19,17.57
MALLACOOTA,11/09/2024,2.1,0.0, ,18.0,9.5,94,74,2.37,14.85
MALLACOOTA,12/09/2024,2.6,2.0, ,15.9,11.8,92,52,5.52,11.31
MALLACOOTA,13/09/2024,2.2,0.2, ,16.3,8.0,88,60,3.38,11.90
MALLACOOTA,14/09/2024,1.7,0.4, ,12.6,10.4,91,64,4.35,6.96
MALLACOOTA,15/09/2024,2.6,19.4, ,13.6,5.8,86,55,6.99,13.53
MALLACOOTA,16/09/2024,2.6,0.4, ,14.8,7.3,90,58,6.19,14.82
MALLACOOTA,17/09/2024,2.7,1.8, ,16.5,9.2,91,55,4.16,16.60
MALLACOOTA,18/09/2024,3.3,0.0, ,18.4,3.6,93,38,3.52,19.21
MALLACOOTA,19/09/2024,2.6,0.0, ,16.4,7.0,94,55,3.60,17.10
MALLACOOTA,20/09/2024,3.2,0.6, ,17.8,6.8,87,39,3.35,18.39
MALLACOOTA,21/09/2024,3.2,0.6, ,18.1,7.2,92,44,3.77,18.91
MALLACOOTA,22/09/2024,3.5,0.0, ,19.5,9.1,83,43,3.58,19.23
MALLACOOTA,23/09/2024,4.2,0.0, ,23.6,10.0,91,34,3.54,20.19
MALLACOOTA,24/09/2024,3.0,0.0, ,21.2,9.4,90,58,3.98,15.32
MALLACOOTA,25/09/2024,2.0,0.0, ,19.4,13.9,95,59,3.03,6.34
MALLACOOTA,26/09/2024,2.9,23.0, ,15.3,9.5,84,48,4.48,14.01
MALLACOOTA,27/09/2024,2.6,0.0, ,15.9,6.4,89,52,2.83,16.71
MALLACOOTA,28/09/2024,4.1,0.0, ,20.7,7.2,87,46,5.53,21.06
MALLACOOTA,29/09/2024,3.6,0.0, ,21.8,13.3,93,45,4.81,14.43
MALLACOOTA,30/09/2024,3.6,1.8, ,18.9,11.4,94,46,3.89,20.60
Totals:,,92.1,61.6, ,,,,,, 
