'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/10/2024,3.6,0.0, ,19.9,6.0,95,47,4.50,20.69
MALLACOOTA,02/10/2024,3.2,0.0, ,17.5,8.2,92,54,3.35,21.89
MALLACOOTA,03/10/2024,3.4,0.0, ,19.4,9.2,93,63,4.92,21.94
MALLACOOTA,04/10/2024,3.1,0.0, ,21.3,13.7,92,59,4.03,14.18
MALLACOOTA,05/10/2024,3.2,12.8, ,20.9,12.8,94,65,3.43,18.95
MALLACOOTA,06/10/2024,3.6,1.2, ,20.0,10.2,95,45,3.68,19.93
MALLACOOTA,07/10/2024,4.5,0.0, ,23.6,9.7,87,37,4.81,17.55
MALLACOOTA,08/10/2024, ,0.4, , ,7.9,85,39,4.41,19.93
MALLACOOTA,09/10/2024,3.5, , ,16.0,3.6,87,46,4.32,23.35
MALLACOOTA,10/10/2024,4.5,0.0, ,21.4,10.0,74,44,4.13,23.42
MALLACOOTA,11/10/2024,3.0,0.0, ,16.8,10.5,87,48,3.45,15.30
MALLACOOTA,12/10/2024,3.8,0.0, ,17.0,10.9,91,46,4.94,22.16
MALLACOOTA,13/10/2024,5.0,0.0, ,23.5,5.4,88,32,4.16,23.96
MALLACOOTA,14/10/2024,2.5,0.0, ,18.6,9.4,90,58,4.09,9.12
MALLACOOTA,15/10/2024,4.3,0.8, ,17.1,12.2,68,47,5.23,22.30
MALLACOOTA,16/10/2024,3.8,0.0, ,18.2,7.7,84,52,4.74,23.49
MALLACOOTA,17/10/2024,4.1,0.0, ,22.2,8.4,91,56,4.24,24.31
MALLACOOTA,18/10/2024,2.3,0.0, ,22.5,17.0,93,69,4.44,7.48
MALLACOOTA,19/10/2024,3.0,4.4, ,17.9,14.4,93,60,6.51,13.93
MALLACOOTA,20/10/2024,2.7,0.6, ,17.2,11.9,94,69,5.22,16.24
MALLACOOTA,21/10/2024,3.6,0.6, ,18.6,12.2,94,63,3.49,23.75
MALLACOOTA,22/10/2024,3.4,0.0, ,20.5,8.0,94,68,3.31,22.45
MALLACOOTA,23/10/2024,2.0,0.0, ,18.5,14.6,91,71,2.89,8.16
MALLACOOTA,24/10/2024,4.3,1.6, ,17.7,10.9,81,43,4.99,24.06
MALLACOOTA,25/10/2024,4.2,0.0, ,15.9,8.8,82,37,5.77,23.14
MALLACOOTA,26/10/2024,3.6,1.6, ,16.6,7.7,85,53,3.99,22.54
MALLACOOTA,27/10/2024,4.4,0.0, ,21.5,8.0,84,37,3.22,22.54
MALLACOOTA,28/10/2024,4.3,0.0, ,18.4,13.8,79,49,5.40,21.39
MALLACOOTA,29/10/2024,4.1,0.0, ,18.9,10.6,85,48,4.63,22.61
MALLACOOTA,30/10/2024,3.9,0.0, ,19.1,8.2,92,58,3.72,26.27
MALLACOOTA,31/10/2024,3.4,0.0, ,18.8,11.9,89,50,3.59,16.25
Totals:,,108.3,24, ,,,,,, 
