'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/04/2025,2.5,27.6, ,19.8,15.0,93,63,6.60,8.11
MALLACOOTA,02/04/2025,2.5,2.0, ,20.7,13.9,93,66,3.58,14.06
MALLACOOTA,03/04/2025,2.9,0.0, ,21.5,11.6,92,60,3.59,16.37
MALLACOOTA,04/04/2025,2.7,0.0, ,20.6,13.7,87,59,3.40,13.44
MALLACOOTA,05/04/2025,2.9,0.2, ,16.4,12.2,88,49,4.97,14.77
MALLACOOTA,06/04/2025,2.7,0.0, ,19.3,6.8,86,48,2.91,14.66
MALLACOOTA,07/04/2025,2.8,1.2, ,18.6,13.0,89,52,4.98,12.43
MALLACOOTA,08/04/2025,2.2,0.0, ,18.7,12.8,93,61,3.29,11.73
MALLACOOTA,09/04/2025,3.0,0.0, ,23.7,11.4,93,55,3.52,15.97
MALLACOOTA,10/04/2025,2.7,0.0, ,23.9,13.3,95,62,2.90,15.04
MALLACOOTA,11/04/2025,2.9,0.0, ,23.6,12.9,93,52,3.71,12.86
MALLACOOTA,12/04/2025,2.4,0.2, ,22.3,12.1,95,70,3.52,15.11
MALLACOOTA,13/04/2025,3.6,0.0, ,29.5,16.6,89,44,2.96,14.48
MALLACOOTA,14/04/2025,2.2,0.0, ,21.1,15.5,89,63,4.77,5.82
MALLACOOTA,15/04/2025,3.0,1.2, ,20.7,13.1,89,49,4.31,14.62
MALLACOOTA,16/04/2025,2.6,0.0, ,20.6,11.2,92,56,3.49,14.50
MALLACOOTA,17/04/2025,2.3,0.0, ,21.2,10.5,94,62,3.23,13.60
MALLACOOTA,18/04/2025,2.6,0.2, ,22.7,11.6,93,58,3.26,14.32
MALLACOOTA,19/04/2025,2.0,0.0, ,21.9,13.3,91,63,2.48,9.95
MALLACOOTA,20/04/2025, ,0.0, , ,13.4,85,32,2.74,13.12
MALLACOOTA,21/04/2025,1.9, , ,21.7,15.5,94,71,3.74,8.64
MALLACOOTA,22/04/2025,1.1,67.6, ,19.4,15.9,97,87,7.33,2.71
MALLACOOTA,23/04/2025,1.6,16.2, ,19.9,17.3,93,80,5.81,6.03
MALLACOOTA,24/04/2025,2.5,2.4, ,24.2,15.3,96,62,4.03,12.49
MALLACOOTA,25/04/2025,2.8,0.0, ,26.0,15.9,92,51,2.98,13.33
MALLACOOTA,26/04/2025,1.5,0.0, ,20.7,15.8,96,74,2.29,8.74
MALLACOOTA,27/04/2025,1.5,0.0, ,20.0,14.5,95,78,3.33,7.63
MALLACOOTA,28/04/2025,1.5,0.0, ,20.1,14.9,95,74,2.79,7.21
MALLACOOTA,29/04/2025,1.8,20.8, ,19.4,14.2,96,66,5.19,4.83
MALLACOOTA,30/04/2025,3.0,15.0, ,18.1,12.9,86,47,6.83,9.51
Totals:,,69.7,154.6, ,,,,,, 
