'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/11/2024,5.3,0.0, ,19.6,8.6,79,35,6.18,26.74
MANGALORE AIRPORT,02/11/2024,6.7,0.0, ,26.6,6.2,89,18,5.09,24.65
MANGALORE AIRPORT,03/11/2024,8.4,0.0, ,32.1,13.8,69,20,5.60,25.42
MANGALORE AIRPORT,04/11/2024,5.4,0.0, ,22.1,10.6,77,34,4.56,26.17
MANGALORE AIRPORT,05/11/2024,5.8,0.0, ,27.8,7.9,88,24,2.85,26.59
MANGALORE AIRPORT,06/11/2024,8.5,0.0, ,35.2,10.6,74,20,5.32,20.14
MANGALORE AIRPORT,07/11/2024,5.7,0.2, ,25.0,10.9,94,25,4.61,23.16
MANGALORE AIRPORT,08/11/2024,4.4,0.0, ,21.7,5.3,96,37,4.44,20.32
MANGALORE AIRPORT,09/11/2024,4.0,0.0, ,21.5,3.6,88,25,2.54,17.64
MANGALORE AIRPORT,10/11/2024,5.6,0.0, ,24.5,5.3,84,32,4.00,27.33
MANGALORE AIRPORT,11/11/2024,6.0,0.0, ,28.4,8.9,89,25,3.12,26.50
MANGALORE AIRPORT,12/11/2024,4.9,0.0, ,28.5,13.6,92,29,3.51,14.54
MANGALORE AIRPORT,13/11/2024,4.3,0.8, ,23.6,12.8,97,56,4.30,21.69
MANGALORE AIRPORT,14/11/2024,6.4,1.2, ,23.3,10.2,73,31,6.15,28.04
MANGALORE AIRPORT,15/11/2024,6.6,0.0, ,27.4,7.9,78,15,3.44,27.89
MANGALORE AIRPORT,16/11/2024,9.3,0.0, ,34.8,4.6,95,20,5.80,26.91
MANGALORE AIRPORT,17/11/2024,7.0,0.4, ,27.7,21.5,76,28,7.83,16.00
MANGALORE AIRPORT,18/11/2024,5.7,0.0, ,23.1,9.2,75,31,5.03,23.68
MANGALORE AIRPORT,19/11/2024,6.2,0.0, ,24.0,9.6,79,31,5.20,28.18
MANGALORE AIRPORT,20/11/2024,7.1,0.0, ,28.3,9.1,80,27,5.07,27.93
MANGALORE AIRPORT,21/11/2024,7.8,0.0, ,33.4,10.1,90,16,3.68,27.77
MANGALORE AIRPORT,22/11/2024,7.9,0.0, ,36.0,13.8,76,19,3.42,26.15
MANGALORE AIRPORT,23/11/2024,9.3,0.0, ,37.2,23.0,53,18,5.55,18.12
MANGALORE AIRPORT,24/11/2024,2.4,0.6, ,22.0,18.9,97,55,2.70,7.89
MANGALORE AIRPORT,25/11/2024,1.7,14.6, ,20.7,17.5,97,89,3.27,8.32
MANGALORE AIRPORT,26/11/2024,5.1,1.2, ,30.3,16.9,97,47,3.68,19.66
MANGALORE AIRPORT,27/11/2024,4.7,18.4, ,29.4,19.5,97,53,5.48,15.88
MANGALORE AIRPORT,28/11/2024,5.8,8.2, ,28.7,13.3,98,35,2.81,27.34
MANGALORE AIRPORT,29/11/2024,7.9,0.2, ,33.7,16.6,90,26,4.15,28.92
MANGALORE AIRPORT,30/11/2024, ,14.4, ,24.5,18.4,98,68,3.25, 
Totals:,,175.9,60.2, ,,,,,, 
