'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/03/2025,7.6,0.0, ,34.6,14.0,87,13,4.14,23.24
MANGALORE AIRPORT,02/03/2025,5.8,0.0, ,26.0,15.5,72,42,7.35,17.01
MANGALORE AIRPORT,03/03/2025,6.9,0.0, ,28.5,11.6,74,25,5.81,22.77
MANGALORE AIRPORT,04/03/2025,6.4,0.0, ,33.1,12.5,79,21,3.29,22.69
MANGALORE AIRPORT,05/03/2025,6.8,0.0, ,34.3,15.2,77,24,3.72,22.49
MANGALORE AIRPORT,06/03/2025,6.0,0.0, ,29.6,18.1,82,44,5.78,21.78
MANGALORE AIRPORT,07/03/2025,6.1,0.0, ,33.2,16.0,92,26,3.36,22.10
MANGALORE AIRPORT,08/03/2025,5.6,0.0, ,32.6,15.7,74,25,2.61,21.90
MANGALORE AIRPORT,09/03/2025,6.8,0.0, ,34.3,16.6,91,30,4.90,20.51
MANGALORE AIRPORT,10/03/2025,4.7,12.8, ,32.7,18.3,95,39,1.89,21.05
MANGALORE AIRPORT,11/03/2025,5.7,0.2, ,34.8,18.3,86,27,2.59,21.39
MANGALORE AIRPORT,12/03/2025,6.1,0.0, ,34.1,20.0,81,33,3.60,21.27
MANGALORE AIRPORT,13/03/2025,6.4,0.0, ,34.2,18.0,84,36,4.39,21.15
MANGALORE AIRPORT,14/03/2025,6.6,0.0, ,35.0,14.3,93,10,3.35,20.43
MANGALORE AIRPORT,15/03/2025,7.0,0.0, ,37.7,16.6,75,14,3.54,18.39
MANGALORE AIRPORT,16/03/2025,3.8,0.0, ,25.3,21.4,92,28,5.15,3.34
MANGALORE AIRPORT,17/03/2025,4.1,6.4, ,20.2,8.7,81,35,4.58,18.36
MANGALORE AIRPORT,18/03/2025,4.7,0.0, ,26.3,9.9,74,26,2.98,20.07
MANGALORE AIRPORT,19/03/2025,6.2,0.0, ,32.7,11.2,81,23,3.85,19.90
MANGALORE AIRPORT,20/03/2025,3.4,0.0, ,23.8,16.0,97,34,4.75,5.70
MANGALORE AIRPORT,21/03/2025,4.1,7.6, ,24.0,16.1,92,48,4.26,19.56
MANGALORE AIRPORT,22/03/2025,4.7,0.2, ,25.8,11.0,87,33,4.10,19.61
MANGALORE AIRPORT,23/03/2025,4.9,0.0, ,28.8,12.4,83,34,3.69,19.07
MANGALORE AIRPORT,24/03/2025,4.9,0.0, ,26.8,14.6,88,41,5.20,19.16
MANGALORE AIRPORT,25/03/2025,5.3,0.0, ,29.8,12.8,86,42,5.00,18.94
MANGALORE AIRPORT,26/03/2025,5.1,0.0, ,28.9,14.9,89,45,5.83,18.57
MANGALORE AIRPORT,27/03/2025,5.7,0.0, ,30.1,13.2,82,35,5.16,18.51
MANGALORE AIRPORT,28/03/2025,3.7,0.0, ,28.8,13.6,92,40,2.91,13.34
MANGALORE AIRPORT,29/03/2025,2.2,4.2, ,21.7,17.4,95,66,4.74,6.94
MANGALORE AIRPORT,30/03/2025,4.5,0.2, ,25.0,14.7,87,46,6.21,16.75
MANGALORE AIRPORT,31/03/2025,4.8,0.0, ,24.1,13.0,82,38,6.31,17.85
Totals:,,166.6,31.6, ,,,,,, 
