'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/04/2025,4.6,0.0, ,25.2,10.9,84,28,4.11,17.76
MANGALORE AIRPORT,02/04/2025,3.3,0.0, ,25.1,7.3,92,30,1.92,17.44
MANGALORE AIRPORT,03/04/2025,4.5,0.0, ,25.3,9.3,81,34,4.55,16.49
MANGALORE AIRPORT,04/04/2025,3.5,0.0, ,20.5,9.7,81,40,3.89,16.59
MANGALORE AIRPORT,05/04/2025,3.3,0.0, ,19.2,7.3,87,29,3.29,16.92
MANGALORE AIRPORT,06/04/2025,3.0,0.0, ,21.3,2.3,88,40,3.67,10.57
MANGALORE AIRPORT,07/04/2025,2.6,0.0, ,19.7,7.0,94,44,3.12,10.94
MANGALORE AIRPORT,08/04/2025,3.2,0.0, ,22.7,7.6,93,39,2.92,16.44
MANGALORE AIRPORT,09/04/2025,3.3,0.0, ,23.4,8.5,93,32,2.73,15.54
MANGALORE AIRPORT,10/04/2025,3.5,0.0, ,26.3,10.9,80,30,2.38,15.82
MANGALORE AIRPORT,11/04/2025,4.0,0.0, ,28.9,11.3,76,25,2.58,15.80
MANGALORE AIRPORT,12/04/2025,4.4,0.0, ,30.6,11.0,91,25,2.93,15.72
MANGALORE AIRPORT,13/04/2025,4.3,0.0, ,29.9,10.3,83,26,2.97,15.40
MANGALORE AIRPORT,14/04/2025,3.2,0.0, ,25.5,11.9,86,45,3.24,11.91
MANGALORE AIRPORT,15/04/2025,3.5,0.0, ,27.8,11.2,96,39,2.90,15.12
MANGALORE AIRPORT,16/04/2025,3.4,0.0, ,26.6,11.9,84,33,2.69,13.10
MANGALORE AIRPORT,17/04/2025,2.9,0.0, ,28.7,9.9,85,32,1.48,14.85
MANGALORE AIRPORT,18/04/2025,4.0,0.0, ,29.5,11.6,83,29,2.88,14.46
MANGALORE AIRPORT,19/04/2025,5.4,0.0, ,29.8,14.6,69,23,4.79,11.90
MANGALORE AIRPORT,20/04/2025,3.4,0.0, ,22.0,18.3,75,33,4.08,7.26
MANGALORE AIRPORT,21/04/2025,3.2,0.6, ,23.6,9.1,96,35,3.67,11.30
MANGALORE AIRPORT,22/04/2025,3.9,0.0, ,22.1,13.6,77,49,6.83,14.11
MANGALORE AIRPORT,23/04/2025,3.8,0.0, ,26.6,11.7,90,34,3.90,13.96
MANGALORE AIRPORT,24/04/2025,3.9,0.0, ,26.4,12.1,84,40,4.66,12.23
MANGALORE AIRPORT,25/04/2025,2.6,1.4, ,23.8,17.0,96,48,3.95,6.60
MANGALORE AIRPORT,26/04/2025,2.1,18.8, ,21.3,14.0,97,60,3.38,9.10
MANGALORE AIRPORT,27/04/2025,2.8,0.0, ,21.8,14.7,90,60,5.32,13.44
MANGALORE AIRPORT,28/04/2025,2.4,0.0, ,19.5,11.1,84,56,4.09,10.10
MANGALORE AIRPORT,29/04/2025,2.9,0.0, ,20.1,12.2,84,54,5.87,12.81
MANGALORE AIRPORT,30/04/2025,3.1,0.0, ,20.1,10.5,84,43,5.05,13.06
Totals:,,104,20.8, ,,,,,, 
