'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/10/2024,2.5,0.0, ,17.2,8.5,100,60,1.73,17.31
MELBOURNE (OLYMPIC PARK),02/10/2024,2.9,0.0, ,17.1,7.4,100,55,1.69,22.00
MELBOURNE (OLYMPIC PARK),03/10/2024,4.5,0.0, ,26.1,8.0,100,33,3.00,21.55
MELBOURNE (OLYMPIC PARK),04/10/2024,4.8,0.0, ,24.4,17.1,82,39,5.33,15.99
MELBOURNE (OLYMPIC PARK),05/10/2024,3.1,0.2, ,20.1,11.9,93,47,2.55,15.76
MELBOURNE (OLYMPIC PARK),06/10/2024,3.8,12.6, ,20.8,12.8,82,37,3.46,17.04
MELBOURNE (OLYMPIC PARK),07/10/2024,2.6,0.2, ,18.0,14.2,78,53,3.53,7.79
MELBOURNE (OLYMPIC PARK),08/10/2024,3.1,0.2, ,14.2,9.5,77,46,3.14,18.20
MELBOURNE (OLYMPIC PARK),09/10/2024,3.4,0.0, ,19.2,4.4,96,39,1.61,23.41
MELBOURNE (OLYMPIC PARK),10/10/2024,4.4,0.0, ,20.0,10.3,65,47,4.13,23.12
MELBOURNE (OLYMPIC PARK),11/10/2024,3.2,0.0, ,16.7,7.9,78,49,2.50,19.38
MELBOURNE (OLYMPIC PARK),12/10/2024,3.6,0.0, ,17.0,11.0,91,49,2.73,23.63
MELBOURNE (OLYMPIC PARK),13/10/2024,5.0,0.0, ,24.3,7.2,96,27,4.02,22.01
MELBOURNE (OLYMPIC PARK),14/10/2024,3.7,0.0, ,19.8,14.5,90,58,2.79,22.70
MELBOURNE (OLYMPIC PARK),15/10/2024,4.3,0.0, ,26.9,10.4,100,38,1.84,22.70
MELBOURNE (OLYMPIC PARK),16/10/2024,4.5,1.8, ,25.2,14.6,88,43,3.02,21.84
MELBOURNE (OLYMPIC PARK),17/10/2024,4.1,0.0, ,25.7,16.2,82,46,3.45,15.73
MELBOURNE (OLYMPIC PARK),18/10/2024,2.5,4.0, ,21.9,19.3,100,58,2.78,9.63
MELBOURNE (OLYMPIC PARK),19/10/2024,3.1,32.4, ,16.8,13.2,100,66,3.83,20.92
MELBOURNE (OLYMPIC PARK),20/10/2024,3.3,0.0, ,17.6,13.2,90,70,2.99,22.50
MELBOURNE (OLYMPIC PARK),21/10/2024,4.6,0.0, ,27.8,9.8,98,36,1.40,25.69
MELBOURNE (OLYMPIC PARK),22/10/2024,6.3,0.0, ,30.6,13.9,86,32,4.15,23.42
MELBOURNE (OLYMPIC PARK),23/10/2024,3.9,0.0, ,19.6,13.1,77,41,2.39,21.38
MELBOURNE (OLYMPIC PARK),24/10/2024,4.0,0.0, ,16.9,10.4,74,38,3.15,22.93
MELBOURNE (OLYMPIC PARK),25/10/2024,3.9,0.2, ,15.4,9.8,77,38,2.87,24.63
MELBOURNE (OLYMPIC PARK),26/10/2024,4.6,0.2, ,22.8,5.9,87,17,1.91,26.13
MELBOURNE (OLYMPIC PARK),27/10/2024,4.7,0.0, ,25.7,11.5,77,30,3.35,16.78
MELBOURNE (OLYMPIC PARK),28/10/2024,3.9,0.0, ,17.1,12.3,80,48,2.91,23.62
MELBOURNE (OLYMPIC PARK),29/10/2024,3.7,0.0, ,18.6,10.0,80,51,2.19,23.03
MELBOURNE (OLYMPIC PARK),30/10/2024,4.4,0.0, ,21.5,11.8,77,44,2.33,24.55
MELBOURNE (OLYMPIC PARK),31/10/2024,3.8,0.0, ,18.7,12.3,80,48,2.71,20.56
Totals:,,120.2,51.8, ,,,,,, 
