'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/04/2025,3.6,0.0, ,24.3,13.7,86,39,2.91,16.35
MELBOURNE (OLYMPIC PARK),02/04/2025,2.9,0.0, ,24.3,10.7,91,35,1.34,16.99
MELBOURNE (OLYMPIC PARK),03/04/2025,2.4,0.0, ,21.0,12.2,98,56,1.96,14.24
MELBOURNE (OLYMPIC PARK),04/04/2025,2.0,0.2, ,17.7,12.3,69,47,1.63,7.72
MELBOURNE (OLYMPIC PARK),05/04/2025,2.7,0.2, ,18.1,11.6,85,39,2.22,16.15
MELBOURNE (OLYMPIC PARK),06/04/2025,2.8,0.0, ,22.3,7.4,89,35,2.41,11.40
MELBOURNE (OLYMPIC PARK),07/04/2025,2.2,1.2, ,18.0,11.9,81,58,2.37,12.48
MELBOURNE (OLYMPIC PARK),08/04/2025,1.8,0.0, ,19.0,10.7,94,52,1.32,10.10
MELBOURNE (OLYMPIC PARK),09/04/2025,2.0,0.0, ,21.0,8.8,100,53,0.77,15.35
MELBOURNE (OLYMPIC PARK),10/04/2025,3.6,0.0, ,27.8,13.7,88,30,2.56,14.90
MELBOURNE (OLYMPIC PARK),11/04/2025,2.7,0.0, ,21.4,16.2,84,39,2.06,14.05
MELBOURNE (OLYMPIC PARK),12/04/2025,2.5,0.0, ,28.3,11.7,100,40,0.94,15.13
MELBOURNE (OLYMPIC PARK),13/04/2025,4.7,0.0, ,31.8,16.0,61,24,3.07,14.05
MELBOURNE (OLYMPIC PARK),14/04/2025,2.4,0.0, ,21.8,18.1,92,56,2.27,12.45
MELBOURNE (OLYMPIC PARK),15/04/2025,2.5,0.0, ,27.8,11.8,100,38,1.21,14.12
MELBOURNE (OLYMPIC PARK),16/04/2025,3.3,0.0, ,28.6,16.0,82,32,2.43,11.31
MELBOURNE (OLYMPIC PARK),17/04/2025,2.9,0.0, ,30.2,15.1,77,30,1.35,14.33
MELBOURNE (OLYMPIC PARK),18/04/2025,3.9,0.4, ,30.6,17.6,85,27,2.80,12.53
MELBOURNE (OLYMPIC PARK),19/04/2025,3.8,0.0, ,29.6,17.5,83,24,2.81,11.91
MELBOURNE (OLYMPIC PARK),20/04/2025,3.1,0.0, ,25.2,18.6,67,38,2.67,8.50
MELBOURNE (OLYMPIC PARK),21/04/2025,2.5,0.0, ,21.7,13.7,87,51,2.81,11.84
MELBOURNE (OLYMPIC PARK),22/04/2025,1.9,0.6, ,19.1,14.0,89,64,2.88,9.21
MELBOURNE (OLYMPIC PARK),23/04/2025,2.0,0.0, ,23.2,13.6,100,52,1.29,13.41
MELBOURNE (OLYMPIC PARK),24/04/2025,3.3,0.0, ,26.8,14.0,100,38,3.41,12.93
MELBOURNE (OLYMPIC PARK),25/04/2025,2.2,0.0, ,24.5,16.3,100,46,2.52,7.74
MELBOURNE (OLYMPIC PARK),26/04/2025,1.1,5.4, ,20.1,15.6,100,81,1.69,5.31
MELBOURNE (OLYMPIC PARK),27/04/2025,1.3,0.2, ,17.5,15.8,97,64,2.09,5.48
MELBOURNE (OLYMPIC PARK),28/04/2025,1.4,0.0, ,18.9,11.2,100,58,1.18,8.83
MELBOURNE (OLYMPIC PARK),29/04/2025,1.3,4.8, ,17.6,13.5,100,63,2.09,6.61
MELBOURNE (OLYMPIC PARK),30/04/2025,1.9,6.8, ,18.5,10.3,97,50,2.50,12.27
Totals:,,76.7,19.8, ,,,,,, 
