'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/10/2024,3.2,0.2,4.0,19.3,6.1,91,47,4.61,14.35
MELBOURNE AIRPORT,02/10/2024,3.4,0.0,3.6,18.6,7.6,93,49,3.31,21.93
MELBOURNE AIRPORT,03/10/2024,5.6,0.0,4.0,25.4,5.9,92,34,6.50,22.10
MELBOURNE AIRPORT,04/10/2024,4.9,0.0,8.4,22.8,14.1,84,49,10.58,16.09
MELBOURNE AIRPORT,05/10/2024,3.3,1.6,6.6,20.5,9.3,92,53,5.32,14.25
MELBOURNE AIRPORT,06/10/2024,4.1,11.4,3.2,20.3,10.2,89,39,6.06,14.96
MELBOURNE AIRPORT,07/10/2024,2.9,0.2,5.6,17.2,12.2,86,59,6.43,11.73
MELBOURNE AIRPORT,08/10/2024,3.2,1.4,3.0,14.5,3.7,88,44,5.41,18.80
MELBOURNE AIRPORT,09/10/2024,3.9,0.2,4.4,20.3,1.0,91,36,3.10,23.41
MELBOURNE AIRPORT,10/10/2024,5.0,0.0,6.0,20.8,9.1,76,44,8.28,21.65
MELBOURNE AIRPORT,11/10/2024,3.5,0.0,5.0,17.6,4.1,86,44,4.81,17.50
MELBOURNE AIRPORT,12/10/2024,3.8,0.0,5.0,17.6,7.5,88,45,4.12,23.49
MELBOURNE AIRPORT,13/10/2024,6.5,0.0,5.4,25.0,4.9,91,26,7.71,22.87
MELBOURNE AIRPORT,14/10/2024,3.8,0.0,6.8,20.7,13.1,91,55,4.08,20.47
MELBOURNE AIRPORT,15/10/2024,4.8,0.0,3.0,27.1,7.5,94,38,3.25,21.39
MELBOURNE AIRPORT,16/10/2024,5.3,5.0,6.2,25.1,14.5,84,45,6.17,22.08
MELBOURNE AIRPORT,17/10/2024,4.8,0.0,7.2,25.3,15.4,89,50,8.30,14.70
MELBOURNE AIRPORT,18/10/2024,3.1,2.6,3.6,22.4,17.7,95,63,7.69,10.25
MELBOURNE AIRPORT,19/10/2024,3.3,38.0,5.8,18.0,12.3,95,63,6.03,20.74
MELBOURNE AIRPORT,20/10/2024,3.7,0.4,4.0,19.4,11.9,93,55,5.03,20.36
MELBOURNE AIRPORT,21/10/2024,5.5,0.2,5.4,27.4,9.0,96,35,3.86,25.55
MELBOURNE AIRPORT,22/10/2024,6.9,0.0,6.8,29.5,13.2,89,37,7.53,22.77
MELBOURNE AIRPORT,23/10/2024,4.7,0.0,5.6,21.2,11.1,84,34,4.49,21.25
MELBOURNE AIRPORT,24/10/2024,4.7,0.0,6.4,18.5,6.7,86,31,6.28,22.15
MELBOURNE AIRPORT,25/10/2024,4.0,0.0,6.8,15.4,7.7,80,38,5.23,22.12
MELBOURNE AIRPORT,26/10/2024,5.7,0.0,2.6,23.1,1.7,89,13,3.94,26.09
MELBOURNE AIRPORT,27/10/2024,6.6,0.0,7.6,27.7,11.4,81,26,6.93,16.81
MELBOURNE AIRPORT,28/10/2024,4.1,0.0,6.8,17.6,9.8,88,49,5.47,24.09
MELBOURNE AIRPORT,29/10/2024,4.5,0.0,5.2,21.0,7.4,88,41,4.50,22.63
MELBOURNE AIRPORT,30/10/2024,4.9,0.0,5.2,22.4,10.3,85,41,3.89,25.14
MELBOURNE AIRPORT,31/10/2024,3.8,0.0,5.2,19.7,10.5,87,49,5.15,16.55
Totals:,,137.5,61.2,164.4,,,,,, 
