'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/04/2025,4.3,0.0,7.8,24.5,11.2,90,35,4.54,17.11
MELBOURNE AIRPORT,02/04/2025,4.0,0.0,3.8,25.3,9.0,91,32,3.53,16.30
MELBOURNE AIRPORT,03/04/2025,3.0,0.0,5.0,21.9,9.2,94,49,4.41,11.58
MELBOURNE AIRPORT,04/04/2025,2.6,4.6,3.3,17.7,10.0,84,47,3.59,10.70
MELBOURNE AIRPORT,05/04/2025,3.7,0.0,4.0,18.9,9.3,89,35,5.30,16.56
MELBOURNE AIRPORT,06/04/2025,4.2,0.0,4.6,22.9,4.7,95,32,5.99,11.35
MELBOURNE AIRPORT,07/04/2025,2.5,0.4,4.0,18.4,10.5,95,50,4.46,8.97
MELBOURNE AIRPORT,08/04/2025,2.4,0.2,2.0,19.1,7.9,90,49,2.73,12.32
MELBOURNE AIRPORT,09/04/2025,3.0,0.0,2.4,23.4,6.4,95,40,2.61,15.68
MELBOURNE AIRPORT,10/04/2025,5.0,0.0,3.8,28.0,12.8,79,29,4.64,15.47
MELBOURNE AIRPORT,11/04/2025,3.2,0.0,8.0,21.9,13.9,88,40,3.63,13.02
MELBOURNE AIRPORT,12/04/2025,4.8,0.0,2.8,31.0,10.1,93,24,3.54,15.22
MELBOURNE AIRPORT,13/04/2025,8.4,0.0,8.8,32.4,16.7,51,20,7.67,14.74
MELBOURNE AIRPORT,14/04/2025,2.5,0.0,9.6,21.7,15.2,93,54,3.69,10.43
MELBOURNE AIRPORT,15/04/2025,3.7,0.0,3.2,28.4,10.1,97,33,3.06,14.20
MELBOURNE AIRPORT,16/04/2025,5.7,0.0,8.0,28.8,14.4,75,30,6.36,11.88
MELBOURNE AIRPORT,17/04/2025,4.5,0.0,6.0,30.3,14.5,67,27,3.21,14.49
MELBOURNE AIRPORT,18/04/2025,5.9,0.0,5.2,31.3,16.6,85,23,5.65,13.61
MELBOURNE AIRPORT,19/04/2025,6.3,0.0,9.8,30.6,15.8,87,20,6.58,10.53
MELBOURNE AIRPORT,20/04/2025,4.9,0.0,9.4,25.3,18.9,57,37,5.91,7.73
MELBOURNE AIRPORT,21/04/2025,3.1,0.0,5.8,22.2,12.3,95,46,5.13,11.17
MELBOURNE AIRPORT,22/04/2025,1.8,2.4,4.0,18.6,12.3,96,64,4.65,5.10
MELBOURNE AIRPORT,23/04/2025,2.6,0.0,1.6,23.4,10.5,97,45,2.76,13.32
MELBOURNE AIRPORT,24/04/2025,5.2,0.2,3.2,27.0,13.2,85,38,8.04,13.05
MELBOURNE AIRPORT,25/04/2025,3.6,0.0,9.6,24.9,14.8,94,45,6.38,8.36
MELBOURNE AIRPORT,26/04/2025,1.1,7.8,1.8,17.7,14.4,96,85,3.31,5.77
MELBOURNE AIRPORT,27/04/2025,1.5,0.2,2.4,16.5,15.0,92,68,4.05,4.62
MELBOURNE AIRPORT,28/04/2025,1.7,0.0,1.0,18.0,10.0,96,61,3.14,8.19
MELBOURNE AIRPORT,29/04/2025,1.7,16.8,2.0,16.8,12.1,97,63,4.65,5.81
MELBOURNE AIRPORT,30/04/2025,2.6,4.6,2.2,18.6,8.0,93,48,5.07,11.49
Totals:,,109.5,37.2,145.1,,,,,, 
