'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/10/2024,4.2,0.0, ,22.9,6.5,93,31,2.89,22.14
MILDURA AIRPORT,02/10/2024,4.7,0.0, ,24.9,6.3,86,24,2.74,23.08
MILDURA AIRPORT,03/10/2024,8.4,0.0, ,31.1,11.2,52,18,6.36,21.29
MILDURA AIRPORT,04/10/2024,6.6,0.0, ,25.8,20.0,53,21,4.97,20.42
MILDURA AIRPORT,05/10/2024,5.3,0.0, ,25.2,10.5,80,25,4.33,20.03
MILDURA AIRPORT,06/10/2024,5.5,0.0, ,26.5,13.1,72,28,3.80,22.03
MILDURA AIRPORT,07/10/2024,5.7,0.0, ,28.7,10.9,75,25,3.30,23.59
MILDURA AIRPORT,08/10/2024,4.9,0.0, ,20.0,6.9,76,14,3.91,22.69
MILDURA AIRPORT,09/10/2024, ,0.0, , ,3.2,74,10,2.42,24.26
MILDURA AIRPORT,10/10/2024, , , ,28.9, ,59,10,3.62,24.42
MILDURA AIRPORT,11/10/2024,6.1,0.0, ,24.8,8.2,70,18,4.63,24.54
MILDURA AIRPORT,12/10/2024,5.7,0.0, ,26.2,6.8,79,8,3.15,23.89
MILDURA AIRPORT,13/10/2024,5.2,0.0, ,29.3,10.1,38,8,2.09,19.75
MILDURA AIRPORT,14/10/2024,5.3,0.0, ,30.4,14.0,61,16,2.31,19.65
MILDURA AIRPORT,15/10/2024,4.0,0.2, ,25.4,17.9,72,30,2.67,11.93
MILDURA AIRPORT,16/10/2024,5.7,0.4, ,31.2,14.3,89,26,3.53,18.84
MILDURA AIRPORT,17/10/2024,5.5,2.6, ,30.5,19.9,100,39,5.92,15.92
MILDURA AIRPORT,18/10/2024,4.4,28.4, ,23.3,19.1,100,52,6.50,20.33
MILDURA AIRPORT,19/10/2024,5.6,0.0, ,25.2,10.5,83,26,3.86,24.48
MILDURA AIRPORT,20/10/2024,5.7,0.0, ,27.4,10.5,90,25,3.26,25.17
MILDURA AIRPORT,21/10/2024,5.3,0.0, ,30.4,11.8,89,21,1.66,26.16
MILDURA AIRPORT,22/10/2024,7.5,0.0, ,36.3,15.2,75,10,3.15,23.66
MILDURA AIRPORT,23/10/2024,5.7,0.8, ,25.8,14.0,91,20,4.05,22.12
MILDURA AIRPORT,24/10/2024,5.9,0.0, ,22.6,9.2,83,18,4.63,26.73
MILDURA AIRPORT,25/10/2024,5.0,0.0, ,22.6,6.7,82,27,3.00,26.52
MILDURA AIRPORT,26/10/2024,5.3,0.0, ,25.5,9.3,65,19,2.88,21.48
MILDURA AIRPORT,27/10/2024,8.2,0.0, ,32.4,12.5,56,9,4.11,27.40
MILDURA AIRPORT,28/10/2024,6.6,0.0, ,26.9,10.8,75,19,4.08,27.55
MILDURA AIRPORT,29/10/2024,6.4,0.0, ,28.4,9.8,68,14,2.91,27.70
MILDURA AIRPORT,30/10/2024,7.1,0.0, ,31.5,10.2,63,11,3.05,27.86
MILDURA AIRPORT,31/10/2024,6.6,0.0, ,26.8,12.5,67,23,4.02,27.89
Totals:,,168.1,32.4, ,,,,,, 
