'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/03/2025,5.0,0.0, ,30.5,17.7,61,19,2.52,14.59
MILDURA AIRPORT,02/03/2025,6.6,0.0, ,28.8,15.9,65,24,4.39,23.24
MILDURA AIRPORT,03/03/2025,7.3,0.0, ,31.6,12.8,68,9,3.98,23.87
MILDURA AIRPORT,04/03/2025,6.8,0.0, ,36.1,13.3,51,16,2.70,23.71
MILDURA AIRPORT,05/03/2025, ,0.0, , ,17.7,53,13,2.87,23.53
MILDURA AIRPORT,06/03/2025, , , ,34.9, ,63,23,4.76,23.29
MILDURA AIRPORT,07/03/2025,7.3,0.0, ,35.6,19.1,66,20,3.69,23.10
MILDURA AIRPORT,08/03/2025,7.7,0.0, ,35.6,20.0,58,13,3.85,22.69
MILDURA AIRPORT,09/03/2025,7.4,0.0, ,35.2,21.9,65,30,5.19,18.16
MILDURA AIRPORT,10/03/2025,6.2,0.0, ,36.6,18.9,100,23,2.72,22.50
MILDURA AIRPORT,11/03/2025,6.5,0.0, ,37.4,21.6,73,21,2.89,20.89
MILDURA AIRPORT,12/03/2025,6.1,0.0, ,37.9,22.2,61,21,2.30,20.93
MILDURA AIRPORT,13/03/2025,6.5,0.0, ,37.4,21.4,62,22,2.70,21.91
MILDURA AIRPORT,14/03/2025,5.6,0.0, ,40.2,19.4,51,14,1.64,21.05
MILDURA AIRPORT,15/03/2025,7.5,0.0, ,41.2,22.6,39,11,3.00,19.97
MILDURA AIRPORT,16/03/2025,6.0,0.0, ,29.4,26.6,56,20,4.76,8.26
MILDURA AIRPORT,17/03/2025,5.2,0.0, ,23.2,9.2,66,22,4.26,20.97
MILDURA AIRPORT,18/03/2025,4.3,0.0, ,26.3,8.1,67,19,2.00,20.13
MILDURA AIRPORT,19/03/2025,5.0,0.0, ,33.7,12.5,52,11,1.80,19.86
MILDURA AIRPORT,20/03/2025,5.6,5.0, ,35.2,19.3,100,25,3.95,13.52
MILDURA AIRPORT,21/03/2025,3.4,5.0, ,26.7,17.4,100,48,2.19,15.44
MILDURA AIRPORT,22/03/2025,4.3,0.2, ,27.8,11.1,85,22,2.09,20.02
MILDURA AIRPORT,23/03/2025,5.0,0.0, ,30.1,12.9,74,18,2.43,20.05
MILDURA AIRPORT,24/03/2025,6.0,0.0, ,30.7,13.9,72,19,3.82,20.00
MILDURA AIRPORT,25/03/2025,5.9,0.0, ,33.7,15.4,67,26,3.28,19.80
MILDURA AIRPORT,26/03/2025,6.1,0.0, ,34.3,17.4,47,24,3.12,19.59
MILDURA AIRPORT,27/03/2025,6.2,0.0, ,33.2,17.6,61,25,3.91,18.12
MILDURA AIRPORT,28/03/2025,4.8,0.0, ,29.0,18.7,71,31,3.84,12.57
MILDURA AIRPORT,29/03/2025,4.1,0.8, ,27.2,17.3,100,36,4.61,11.20
MILDURA AIRPORT,30/03/2025,5.8,0.4, ,28.8,13.7,79,29,5.22,18.84
MILDURA AIRPORT,31/03/2025,5.0,0.0, ,27.3,12.8,77,31,4.11,18.65
Totals:,,169.2,11.4, ,,,,,, 
