'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/04/2025,4.6,0.0, ,27.5,11.6,70,26,2.90,18.68
MILDURA AIRPORT,02/04/2025,4.4,0.0, ,29.1,11.8,71,16,2.22,18.39
MILDURA AIRPORT,03/04/2025,4.8,0.0, ,25.8,12.5,84,26,4.14,17.47
MILDURA AIRPORT,04/04/2025,3.7,0.0, ,22.9,9.4,85,33,3.14,16.87
MILDURA AIRPORT,05/04/2025,3.6,0.0, ,22.9,8.5,88,30,2.69,17.82
MILDURA AIRPORT,06/04/2025,3.6,0.0, ,26.1,9.2,70,23,2.20,13.81
MILDURA AIRPORT,07/04/2025,3.3,0.0, ,23.2,9.1,94,34,2.51,16.45
MILDURA AIRPORT,08/04/2025,3.2,0.0, ,23.5,6.3,83,28,1.90,17.39
MILDURA AIRPORT,09/04/2025,2.8,0.0, ,25.3,8.4,75,27,1.41,13.85
MILDURA AIRPORT,10/04/2025,3.2,0.0, ,29.7,10.2,73,21,1.14,17.15
MILDURA AIRPORT,11/04/2025,3.3,0.0, ,32.4,13.1,53,15,1.13,16.86
MILDURA AIRPORT,12/04/2025,3.5,0.0, ,34.2,12.2,62,13,1.19,16.78
MILDURA AIRPORT,13/04/2025,3.9,0.0, ,33.1,15.3,54,16,1.59,16.62
MILDURA AIRPORT,14/04/2025,2.8,0.0, ,33.1,14.1,65,18,0.75,16.11
MILDURA AIRPORT,15/04/2025, ,0.0, , ,15.6,59,17,1.10,16.08
MILDURA AIRPORT,16/04/2025, , , ,33.5, ,57,17,0.86,15.05
MILDURA AIRPORT,17/04/2025,3.7,0.0, ,33.4,15.6,65,16,1.57,14.88
MILDURA AIRPORT,18/04/2025,4.7,0.0, ,33.5,13.8,67,15,2.50,15.45
MILDURA AIRPORT,19/04/2025,5.6,0.0, ,31.8,20.9,57,18,4.02,10.66
MILDURA AIRPORT,20/04/2025,4.0,0.0, ,23.3,14.2,77,30,4.28,12.46
MILDURA AIRPORT,21/04/2025,3.4,0.0, ,22.8,13.1,84,48,5.66,9.12
MILDURA AIRPORT,22/04/2025,3.6,0.0, ,22.5,10.7,91,34,4.34,15.28
MILDURA AIRPORT,23/04/2025,3.5,0.0, ,27.9,9.7,90,33,2.58,15.08
MILDURA AIRPORT,24/04/2025,4.0,0.0, ,30.0,15.4,65,29,2.74,14.01
MILDURA AIRPORT,25/04/2025,2.2,0.0, ,23.6,20.1,100,48,3.46,5.19
MILDURA AIRPORT,26/04/2025,2.0,8.2, ,22.1,15.2,100,60,2.20,11.29
MILDURA AIRPORT,27/04/2025,2.3,2.8, ,20.4,13.1,98,57,3.55,12.97
MILDURA AIRPORT,28/04/2025,2.1,0.0, ,20.6,9.0,100,48,2.20,12.18
MILDURA AIRPORT,29/04/2025,2.7,0.0, ,21.5,9.3,100,41,3.11,14.30
MILDURA AIRPORT,30/04/2025,3.4,0.0, ,21.9,8.2,90,32,3.95,14.27
Totals:,,97.9,11, ,,,,,, 
