'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/10/2024,2.7,0.2, ,17.4,9.0,92,65,3.52,17.30
MOORABBIN AIRPORT,02/10/2024,3.1,0.2, ,18.1,5.4,97,51,2.55,21.94
MOORABBIN AIRPORT,03/10/2024,4.6,0.0, ,25.8,6.6,95,33,3.37,21.67
MOORABBIN AIRPORT,04/10/2024,5.2,0.8, ,24.6,13.1,89,41,8.00,17.08
MOORABBIN AIRPORT,05/10/2024,3.1,0.0, ,20.3,9.8,94,48,3.81,12.95
MOORABBIN AIRPORT,06/10/2024,4.4,10.8, ,20.4,11.8,82,43,6.28,19.43
MOORABBIN AIRPORT,07/10/2024,2.8,0.2, ,16.9,14.2,86,52,6.03,7.24
MOORABBIN AIRPORT,08/10/2024,2.9,0.0, ,15.2,6.3,84,48,4.43,15.17
MOORABBIN AIRPORT,09/10/2024,3.3,0.2, ,17.9,1.6,96,43,2.19,23.36
MOORABBIN AIRPORT,10/10/2024,4.3,0.0, ,19.3,8.4,80,48,6.11,23.05
MOORABBIN AIRPORT,11/10/2024,3.2,0.0, ,16.6,7.3,88,51,3.94,19.70
MOORABBIN AIRPORT,12/10/2024,3.9,0.0, ,18.3,9.5,85,47,4.09,23.66
MOORABBIN AIRPORT,13/10/2024,5.5,0.0, ,24.9,5.0,96,25,4.94,21.91
MOORABBIN AIRPORT,14/10/2024,4.0,0.2, ,21.9,13.0,94,56,5.60,21.33
MOORABBIN AIRPORT,15/10/2024,5.2,0.0, ,24.5,11.2,84,46,6.07,23.48
MOORABBIN AIRPORT,16/10/2024,4.7,1.2, ,25.7,13.2,93,43,3.99,20.76
MOORABBIN AIRPORT,17/10/2024,4.5,0.0, ,26.9,13.9,89,45,4.56,15.23
MOORABBIN AIRPORT,18/10/2024,2.7,4.2, ,22.3,17.4,97,63,6.37,7.92
MOORABBIN AIRPORT,19/10/2024,3.1,35.8, ,16.5,12.7,97,67,6.92,21.84
MOORABBIN AIRPORT,20/10/2024,3.1,0.0, ,17.5,12.8,92,71,4.58,20.32
MOORABBIN AIRPORT,21/10/2024,5.0,0.0, ,26.6,8.2,93,41,3.23,25.56
MOORABBIN AIRPORT,22/10/2024,6.4,0.0, ,30.1,11.6,93,33,5.64,21.17
MOORABBIN AIRPORT,23/10/2024,4.0,0.0, ,18.3,11.6,83,44,3.77,21.69
MOORABBIN AIRPORT,24/10/2024,4.1,0.0, ,16.2,10.3,82,49,5.77,24.46
MOORABBIN AIRPORT,25/10/2024,4.1,1.2, ,15.3,9.3,84,42,5.31,25.31
MOORABBIN AIRPORT,26/10/2024,4.7,0.0, ,22.3,3.9,92,22,2.56,26.59
MOORABBIN AIRPORT,27/10/2024,5.8,0.0, ,25.2,12.3,78,28,5.02,21.45
MOORABBIN AIRPORT,28/10/2024,3.9,0.2, ,16.7,12.0,91,53,4.55,25.60
MOORABBIN AIRPORT,29/10/2024,3.5,0.0, ,17.3,10.3,83,59,3.58,21.32
MOORABBIN AIRPORT,30/10/2024,4.4,0.0, ,20.6,12.9,87,51,3.69,24.92
MOORABBIN AIRPORT,31/10/2024,4.0,0.0, ,18.4,12.3,83,50,4.59,21.50
Totals:,,126.2,55.2, ,,,,,, 
