'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/11/2024,4.1,0.0, ,17.2,11.6,81,45,4.83,21.15
MOORABBIN AIRPORT,02/11/2024,6.7,0.0, ,26.7,5.3,94,18,5.43,24.27
MOORABBIN AIRPORT,03/11/2024,6.5,0.0, ,20.7,12.8,78,14,6.54,26.83
MOORABBIN AIRPORT,04/11/2024,4.4,0.0, ,19.0,11.6,82,52,3.70,26.21
MOORABBIN AIRPORT,05/11/2024,5.2,0.0, ,26.3,6.9,94,33,2.54,27.42
MOORABBIN AIRPORT,06/11/2024,9.3,0.0, ,34.3,15.0,77,20,7.36,19.72
MOORABBIN AIRPORT,07/11/2024,4.6,0.0, ,21.1,12.9,92,40,3.75,24.37
MOORABBIN AIRPORT,08/11/2024,4.3,0.6, ,19.8,10.9,88,46,5.74,20.50
MOORABBIN AIRPORT,09/11/2024,3.7,0.8, ,18.7,6.1,84,39,3.05,18.86
MOORABBIN AIRPORT,10/11/2024,4.5,0.0, ,20.1,8.4,91,46,3.70,27.54
MOORABBIN AIRPORT,11/11/2024,5.4,0.0, ,24.9,7.5,94,38,3.72,27.74
MOORABBIN AIRPORT,12/11/2024,4.3,0.0, ,25.4,11.4,91,53,2.58,21.57
MOORABBIN AIRPORT,13/11/2024,2.8,3.0, ,18.6,14.2,97,58,4.08,12.80
MOORABBIN AIRPORT,14/11/2024,4.5,6.0, ,17.6,12.7,70,50,4.75,24.36
MOORABBIN AIRPORT,15/11/2024,5.2,0.0, ,23.2,8.7,87,47,3.93,28.95
MOORABBIN AIRPORT,16/11/2024,8.8,0.0, ,34.2,9.7,93,17,5.11,27.92
MOORABBIN AIRPORT,17/11/2024,5.3,0.0, ,24.1,18.4,86,29,6.49,13.11
MOORABBIN AIRPORT,18/11/2024,4.7,2.2, ,18.6,11.2,81,49,6.35,25.65
MOORABBIN AIRPORT,19/11/2024,4.8,0.2, ,17.4,12.9,71,49,4.92,27.25
MOORABBIN AIRPORT,20/11/2024,4.3,0.0, ,18.2,10.6,85,53,4.34,25.94
MOORABBIN AIRPORT,21/11/2024,6.1,0.0, ,27.7,8.7,93,35,3.18,30.30
MOORABBIN AIRPORT,22/11/2024,8.7,0.0, ,36.2,13.0,94,12,3.78,29.48
MOORABBIN AIRPORT,23/11/2024,8.3,0.0, ,37.4,20.8,76,15,4.48,19.40
MOORABBIN AIRPORT,24/11/2024,2.1,13.0, ,22.0,18.2,96,78,2.17,9.11
MOORABBIN AIRPORT,25/11/2024,1.2,2.4, ,19.5,16.3,98,90,3.08,5.14
MOORABBIN AIRPORT,26/11/2024,4.5,0.2, ,26.7,16.7,97,57,3.31,21.60
MOORABBIN AIRPORT,27/11/2024,5.7,17.8, ,31.1,17.6,95,43,5.69,16.76
MOORABBIN AIRPORT,28/11/2024,5.1,22.6, ,25.0,15.0,94,55,4.14,26.19
MOORABBIN AIRPORT,29/11/2024,6.9,0.0, ,29.9,17.7,87,55,7.02,30.47
MOORABBIN AIRPORT,30/11/2024, ,1.4, ,23.2,19.0,95,79,5.19, 
Totals:,,152,70.2, ,,,,,, 
