'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/12/2024,5.0,12.0, ,25.3,16.5,92,45,5.47,19.31
MOORABBIN AIRPORT,02/12/2024,7.5,2.8, ,31.4,14.0,97,28,4.17,30.98
MOORABBIN AIRPORT,03/12/2024,7.4,3.2, ,31.9,19.8,91,35,6.54,22.86
MOORABBIN AIRPORT,04/12/2024,5.7,0.0, ,24.5,10.4,86,48,3.88,31.53
MOORABBIN AIRPORT,05/12/2024,7.6,0.0, ,31.8,12.7,93,18,3.31,31.68
MOORABBIN AIRPORT,06/12/2024,4.9,0.0, ,28.5,16.6,83,40,2.85,18.31
MOORABBIN AIRPORT,07/12/2024,5.0,1.0, ,27.0,19.3,91,62,5.23,22.56
MOORABBIN AIRPORT,08/12/2024,5.5,0.2, ,19.4,14.4,74,44,5.36,29.01
MOORABBIN AIRPORT,09/12/2024,4.5,0.0, ,20.4,11.0,84,49,3.08,25.75
MOORABBIN AIRPORT,10/12/2024,5.3,0.0, ,20.6,11.9,79,42,4.09,29.34
MOORABBIN AIRPORT,11/12/2024,5.8,0.0, ,23.3,13.4,79,39,4.01,28.79
MOORABBIN AIRPORT,12/12/2024,5.6,0.0, ,25.2,15.4,89,49,4.41,27.23
MOORABBIN AIRPORT,13/12/2024,4.7,0.2, ,21.2,15.5,93,56,4.11,26.75
MOORABBIN AIRPORT,14/12/2024,4.8,0.2, ,24.0,10.1,92,47,3.24,24.80
MOORABBIN AIRPORT,15/12/2024,7.1,0.0, ,31.3,11.1,92,35,3.41,32.15
MOORABBIN AIRPORT,16/12/2024,10.2,0.0, ,39.0,16.6,83,19,6.66,20.09
MOORABBIN AIRPORT,17/12/2024,6.6,0.4, ,23.4,17.8,82,39,6.17,30.95
MOORABBIN AIRPORT,18/12/2024,6.0,2.6, ,23.0,12.6,85,40,5.35,30.94
MOORABBIN AIRPORT,19/12/2024,7.5,0.0, ,29.6,8.8,89,26,4.34,32.21
MOORABBIN AIRPORT,20/12/2024,8.8,0.0, ,34.7,12.8,80,21,4.39,30.43
MOORABBIN AIRPORT,21/12/2024,5.5,0.0, ,20.8,14.6,75,49,5.90,28.40
MOORABBIN AIRPORT,22/12/2024,5.4,0.0, ,21.5,12.8,90,38,4.99,27.99
MOORABBIN AIRPORT,23/12/2024,4.6,14.4, ,18.0,11.3,84,50,7.82,24.22
MOORABBIN AIRPORT,24/12/2024,4.5,0.6, ,21.3,12.6,90,57,4.65,25.64
MOORABBIN AIRPORT,25/12/2024,7.9,0.2, ,32.5,15.1,82,22,3.42,32.04
MOORABBIN AIRPORT,26/12/2024,10.7,0.0, ,37.6,18.7,81,12,7.67,17.57
MOORABBIN AIRPORT,27/12/2024,5.6,0.0, ,21.2,16.0,65,48,5.66,24.75
MOORABBIN AIRPORT,28/12/2024,4.6,0.0, ,22.9,12.2,90,37,4.07,19.11
MOORABBIN AIRPORT,29/12/2024,6.0,1.4, ,24.8,12.3,86,41,3.81,31.84
MOORABBIN AIRPORT,30/12/2024,5.9,0.2, ,26.9,12.7,91,40,3.52,28.65
MOORABBIN AIRPORT,31/12/2024,6.0,0.0, ,24.4,16.1,84,48,4.25,31.33
Totals:,,192.2,39.4, ,,,,,, 
