'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/01/2025,4.8,0.0, ,21.7,13.7,90,50,4.53,24.98
MOORABBIN AIRPORT,02/01/2025,6.1,0.0, ,22.1,11.9,73,39,5.42,31.10
MOORABBIN AIRPORT,03/01/2025,6.9,0.0, ,30.0,9.6,81,38,3.65,31.91
MOORABBIN AIRPORT,04/01/2025,8.4,0.0, ,37.3,14.2,91,9,3.28,27.16
MOORABBIN AIRPORT,05/01/2025,8.8,0.0, ,40.4,18.2,62,12,4.24,15.38
MOORABBIN AIRPORT,06/01/2025,3.2,0.0, ,18.5,16.9,95,32,5.08,7.06
MOORABBIN AIRPORT,07/01/2025,6.9,21.4, ,25.0,12.7,78,43,8.70,31.16
MOORABBIN AIRPORT,08/01/2025, ,0.0, , ,11.5,91,29,4.43,30.92
MOORABBIN AIRPORT,09/01/2025, , , ,32.1, ,83,25,4.58,21.65
MOORABBIN AIRPORT,10/01/2025,7.2,0.0, ,30.7,17.0,80,29,4.38,26.75
MOORABBIN AIRPORT,11/01/2025,7.3,0.0, ,33.7,17.4,90,26,3.48,27.44
MOORABBIN AIRPORT,12/01/2025,3.0,0.0, ,27.1,19.2,93,50,2.78,8.23
MOORABBIN AIRPORT,13/01/2025,5.4,16.4, ,26.3,18.8,91,61,3.82,28.03
MOORABBIN AIRPORT,14/01/2025,5.9,0.2, ,28.2,17.1,86,49,3.52,27.89
MOORABBIN AIRPORT,15/01/2025,3.4,0.0, ,23.5,17.2,89,52,5.57,7.54
MOORABBIN AIRPORT,16/01/2025,5.5,1.4, ,22.1,14.9,78,46,5.79,26.65
MOORABBIN AIRPORT,17/01/2025, ,0.0, ,22.8,13.6, , , ,29.08
MOORABBIN AIRPORT,18/01/2025, ,0.0, ,30.3,15.1, , , ,30.75
MOORABBIN AIRPORT,19/01/2025,8.1,0.0, ,34.0,13.0,86,15,3.75,28.56
MOORABBIN AIRPORT,20/01/2025,6.5,0.0, ,33.7,14.9,87,22,3.56,19.09
MOORABBIN AIRPORT,21/01/2025,6.0,0.0, ,27.8,17.2,86,59,4.74,29.86
MOORABBIN AIRPORT,22/01/2025,5.5,0.0, ,23.5,17.2,80,43,6.05,21.77
MOORABBIN AIRPORT,23/01/2025, , , ,21.0, ,83,59,4.16,12.68
MOORABBIN AIRPORT,24/01/2025,5.6,0.0, ,22.9,15.6,76,42,5.04,25.73
MOORABBIN AIRPORT,25/01/2025,5.3,0.0, ,24.2,15.8,82,50,3.76,26.46
MOORABBIN AIRPORT,26/01/2025,5.6,0.0, ,27.0,14.8,89,48,4.49,25.70
MOORABBIN AIRPORT,27/01/2025,10.8,0.0, ,41.0,16.5,88,15,6.50,18.99
MOORABBIN AIRPORT,28/01/2025,5.5,0.2, ,23.0,18.0,87,44,6.17,25.08
MOORABBIN AIRPORT,29/01/2025,5.8,0.0, ,21.0,14.6,64,44,5.34,28.20
MOORABBIN AIRPORT,30/01/2025,5.1,0.0, ,21.8,13.4,77,44,5.07,24.26
MOORABBIN AIRPORT,31/01/2025,5.5,0.0, ,24.4,10.6,90,43,4.36,28.61
Totals:,,158.1,39.6, ,,,,,, 
