'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/04/2025,4.4,0.0, ,23.3,12.2,91,41,6.93,15.91
MOORABBIN AIRPORT,02/04/2025,3.1,0.0, ,21.9,8.9,91,41,2.74,17.05
MOORABBIN AIRPORT,03/04/2025,2.8,0.0, ,20.8,10.1,93,57,3.43,15.70
MOORABBIN AIRPORT,04/04/2025,2.7,0.4, ,17.7,13.7,70,51,3.41,9.46
MOORABBIN AIRPORT,05/04/2025,3.3,1.0, ,17.6,11.8,84,41,4.94,14.91
MOORABBIN AIRPORT,06/04/2025,3.7,0.0, ,22.1,7.3,86,38,5.08,11.96
MOORABBIN AIRPORT,07/04/2025,2.8,0.0, ,17.8,12.9,76,57,5.03,9.99
MOORABBIN AIRPORT,08/04/2025,2.1,0.2, ,18.4,12.0,91,58,2.90,9.74
MOORABBIN AIRPORT,09/04/2025,2.3,0.2, ,20.4,6.8,96,53,1.83,15.72
MOORABBIN AIRPORT,10/04/2025,4.4,0.0, ,27.6,13.2,85,29,3.89,15.22
MOORABBIN AIRPORT,11/04/2025,3.3,0.0, ,22.0,17.2,86,41,3.70,13.68
MOORABBIN AIRPORT,12/04/2025,3.2,0.0, ,29.1,9.7,95,35,1.89,15.24
MOORABBIN AIRPORT,13/04/2025,6.1,0.0, ,32.7,16.2,74,20,4.71,14.19
MOORABBIN AIRPORT,14/04/2025,3.2,0.0, ,23.1,17.3,90,52,4.81,12.74
MOORABBIN AIRPORT,15/04/2025,3.5,0.0, ,26.6,9.7,97,42,3.56,13.91
MOORABBIN AIRPORT,16/04/2025,3.4,0.0, ,28.1,12.0,89,32,2.82,10.68
MOORABBIN AIRPORT,17/04/2025,3.0,0.0, ,29.6,11.6,90,30,1.63,14.41
MOORABBIN AIRPORT,18/04/2025,5.5,0.2, ,31.9,16.6,87,23,4.86,12.75
MOORABBIN AIRPORT,19/04/2025,4.7,0.2, ,29.9,15.9,88,20,4.00,10.83
MOORABBIN AIRPORT,20/04/2025,3.4,0.0, ,25.3,17.5,72,38,3.73,6.87
MOORABBIN AIRPORT,21/04/2025,2.5,0.2, ,21.3,10.7,85,58,3.84,11.74
MOORABBIN AIRPORT,22/04/2025,2.3,2.6, ,20.2,12.8,94,62,4.66,10.65
MOORABBIN AIRPORT,23/04/2025,3.2,0.2, ,23.7,13.7,91,50,4.88,13.39
MOORABBIN AIRPORT,24/04/2025,4.2,0.0, ,27.3,11.7,92,36,5.04,13.17
MOORABBIN AIRPORT,25/04/2025,2.9,0.0, ,26.4,13.7,94,43,3.59,7.53
MOORABBIN AIRPORT,26/04/2025,1.3,5.6, ,20.8,15.5,93,78,3.22,4.26
MOORABBIN AIRPORT,27/04/2025,1.7,0.0, ,17.7,15.0,86,62,3.19,5.46
MOORABBIN AIRPORT,28/04/2025,1.5,0.0, ,19.0,9.5,92,60,1.91,8.34
MOORABBIN AIRPORT,29/04/2025,1.9,0.0, ,18.4,12.4,93,61,4.36,6.97
MOORABBIN AIRPORT,30/04/2025,2.6,3.0, ,18.5,9.1,88,52,5.70,11.22
Totals:,,95,13.8, ,,,,,, 
