'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/09/2024,2.2,1.8, ,17.2,11.0,100,70,11.01,12.19
MORTLAKE RACECOURSE,02/09/2024,2.1,4.2, ,11.8,6.1,100,57,9.29,12.65
MORTLAKE RACECOURSE,03/09/2024,2.0,1.4, ,15.1,5.0,100,61,3.14,15.13
MORTLAKE RACECOURSE,04/09/2024,2.8,0.0, ,17.4,5.7,100,45,6.34,9.11
MORTLAKE RACECOURSE,05/09/2024,2.6,1.0, ,17.4,10.4,100,46,6.49,6.27
MORTLAKE RACECOURSE,06/09/2024,0.9,2.0, ,15.1,10.3,100,87,3.23,3.94
MORTLAKE RACECOURSE,07/09/2024,2.0,2.6, ,16.4,3.6,100,66,4.35,13.30
MORTLAKE RACECOURSE,08/09/2024,1.6,0.8, ,15.4,7.2,100,81,7.17,13.22
MORTLAKE RACECOURSE,09/09/2024,1.9,2.0, ,14.9,7.4,100,66,4.46,12.73
MORTLAKE RACECOURSE,10/09/2024,2.1,0.0, ,16.5,6.3,100,68,3.45,15.14
MORTLAKE RACECOURSE,11/09/2024,1.6,0.0, ,16.2,5.5,100,74,3.19,9.99
MORTLAKE RACECOURSE,12/09/2024,1.7,2.0, ,13.7,1.6,100,69,2.97,13.91
MORTLAKE RACECOURSE,13/09/2024,1.6,0.0, ,14.2,9.3,100,70,3.61,10.13
MORTLAKE RACECOURSE,14/09/2024,1.9,3.0, ,10.5,6.6,100,60,5.81,14.27
MORTLAKE RACECOURSE,15/09/2024,1.7,2.2, ,11.9,1.3,100,63,3.08,12.30
MORTLAKE RACECOURSE,16/09/2024,1.5,0.0, ,12.5,7.1,100,81,4.32,13.06
MORTLAKE RACECOURSE,17/09/2024,2.0,1.2, ,13.9,7.4,100,64,3.87,13.53
MORTLAKE RACECOURSE,18/09/2024,3.1,0.0, ,17.8,4.0,100,52,7.72,15.81
MORTLAKE RACECOURSE,19/09/2024,2.3,2.6, ,14.2,7.3,100,63,6.09,15.88
MORTLAKE RACECOURSE,20/09/2024,2.0,1.2, ,15.5,6.8,100,72,6.58,14.65
MORTLAKE RACECOURSE,21/09/2024,2.0,3.6, ,15.2,7.9,100,70,5.86,12.96
MORTLAKE RACECOURSE,22/09/2024,2.3,0.8, ,16.7,8.2,100,68,5.36,14.79
MORTLAKE RACECOURSE,23/09/2024,1.3,0.2, ,16.5,9.8,100,94,4.29,10.79
MORTLAKE RACECOURSE,24/09/2024,2.2,1.2, ,18.9,8.1,100,65,1.88,13.49
MORTLAKE RACECOURSE,25/09/2024,1.2,7.2, ,11.2,10.2,100,83,3.44,8.06
MORTLAKE RACECOURSE,26/09/2024,1.9,0.8, ,12.7,1.1,100,59,2.71,14.15
MORTLAKE RACECOURSE,27/09/2024,2.5,0.2, ,15.8,0.3,100,59,2.23,20.93
MORTLAKE RACECOURSE,28/09/2024,4.1,0.0, ,21.4,2.5,100,37,5.15,19.25
MORTLAKE RACECOURSE,29/09/2024,2.9,5.4, ,17.4,11.1,100,49,5.38,13.79
MORTLAKE RACECOURSE,30/09/2024,2.7,0.4, ,18.0,5.0,100,60,3.69,17.54
Totals:,,62.7,47.8, ,,,,,, 
