'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/10/2024,2.4,0.4, ,16.2,6.7,100,67,3.46,17.61
MORTLAKE RACECOURSE,02/10/2024,2.8,0.0, ,17.6,0.9,100,56,2.20,21.72
MORTLAKE RACECOURSE,03/10/2024, ,0.2, , ,4.3,100,32,5.16,22.16
MORTLAKE RACECOURSE,04/10/2024, ,0.0, ,22.7, ,100,45,6.64,14.30
MORTLAKE RACECOURSE,05/10/2024,2.1,1.4, ,15.8,6.4,100,67,5.39,11.28
MORTLAKE RACECOURSE,06/10/2024,3.1,4.6, ,18.1,9.8,100,56,7.01,16.94
MORTLAKE RACECOURSE,07/10/2024,2.6,0.0, ,14.9,11.6,100,58,6.32,15.08
MORTLAKE RACECOURSE,08/10/2024,2.2,1.2, ,13.6,-0.3,100,54,2.04,15.68
MORTLAKE RACECOURSE,09/10/2024,3.7,0.0, ,20.3,-2.5,100,33,2.36,23.29
MORTLAKE RACECOURSE,10/10/2024,3.6,0.0, ,17.1,7.3,100,45,4.70,22.50
MORTLAKE RACECOURSE,11/10/2024,2.4,0.0, ,15.9,1.9,100,58,3.84,14.47
MORTLAKE RACECOURSE,12/10/2024,3.8,0.0, ,19.7,4.3,100,37,2.77,23.87
MORTLAKE RACECOURSE,13/10/2024,4.4,0.0, ,23.7,3.8,100,26,3.62,17.29
MORTLAKE RACECOURSE,14/10/2024,3.2,0.8, ,21.0,8.1,100,53,3.61,16.33
MORTLAKE RACECOURSE,15/10/2024,4.0,0.0, ,24.7,10.7,100,46,4.61,15.46
MORTLAKE RACECOURSE,16/10/2024,4.4,0.0, ,25.0,11.8,100,54,4.01,23.20
MORTLAKE RACECOURSE,17/10/2024,3.3,3.4, ,24.2,15.5,100,59,5.22,13.10
MORTLAKE RACECOURSE,18/10/2024,1.0,9.2, ,20.0,17.0,100,100,6.75,7.41
MORTLAKE RACECOURSE,19/10/2024,2.1,4.8, ,16.1,9.3,100,73,4.52,13.30
MORTLAKE RACECOURSE,20/10/2024,3.2,0.2, ,19.3,7.1,100,62,2.62,21.70
MORTLAKE RACECOURSE,21/10/2024,4.5,0.0, ,25.6,6.8,100,43,2.75,24.32
MORTLAKE RACECOURSE,22/10/2024,4.2,0.0, ,24.7,11.0,100,47,4.17,19.18
MORTLAKE RACECOURSE,23/10/2024,3.7,0.0, ,19.8,5.3,100,49,3.48,22.34
MORTLAKE RACECOURSE,24/10/2024,3.5,1.4, ,16.0,5.6,100,47,4.69,23.75
MORTLAKE RACECOURSE,25/10/2024,3.3,3.4, ,15.7,4.6,100,48,2.35,24.39
MORTLAKE RACECOURSE,26/10/2024,4.5,0.2, ,22.6,0.6,100,29,2.61,25.25
MORTLAKE RACECOURSE,27/10/2024,4.6,0.0, ,23.6,10.7,100,46,3.72,24.74
MORTLAKE RACECOURSE,28/10/2024,3.7,0.0, ,17.1,7.9,100,54,3.44,25.70
MORTLAKE RACECOURSE,29/10/2024,3.0,0.0, ,17.9,3.8,100,62,2.89,20.84
MORTLAKE RACECOURSE,30/10/2024,3.8,0.0, ,20.6,9.1,100,54,2.85,23.42
MORTLAKE RACECOURSE,31/10/2024,3.1,0.0, ,17.3,6.0,100,56,4.45,19.18
Totals:,,96.2,31.2, ,,,,,, 
