'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/01/2025,4.3,0.0, ,21.5,6.4,100,49,4.33,23.33
MORTLAKE RACECOURSE,02/01/2025,5.3,0.0, ,22.0,5.3,100,34,3.72,30.75
MORTLAKE RACECOURSE,03/01/2025,7.3,0.0, ,32.6,6.5,100,11,2.52,31.84
MORTLAKE RACECOURSE,04/01/2025,9.3,0.0, ,39.0,10.4,100,8,4.25,22.60
MORTLAKE RACECOURSE,05/01/2025,7.7,0.0, ,39.4,17.9,98,9,3.75,15.94
MORTLAKE RACECOURSE,06/01/2025,3.6,14.0, ,18.5,13.7,100,45,5.32,15.86
MORTLAKE RACECOURSE,07/01/2025,6.0,0.8, ,25.7,8.8,100,37,4.80,28.70
MORTLAKE RACECOURSE,08/01/2025,7.4,0.0, ,32.5,11.8,100,23,3.90,28.20
MORTLAKE RACECOURSE,09/01/2025,3.1,0.0, ,25.4,17.4,85,36,2.70,5.97
MORTLAKE RACECOURSE,10/01/2025,7.2,4.2, ,33.8,16.2,100,13,2.66,28.68
MORTLAKE RACECOURSE,11/01/2025,7.6,0.0, ,34.1,16.4,100,16,3.09,29.31
MORTLAKE RACECOURSE,12/01/2025,5.0,0.0, ,29.7,15.1,100,31,2.97,18.06
MORTLAKE RACECOURSE,13/01/2025,6.5,0.6, ,30.3,16.0,100,32,3.07,29.56
MORTLAKE RACECOURSE,14/01/2025, ,0.0, , ,12.1,100,18,3.48,30.87
MORTLAKE RACECOURSE,15/01/2025,4.4, , ,23.5,17.3,100,48,7.00,17.13
MORTLAKE RACECOURSE,16/01/2025,4.2,0.0, ,22.7,8.5,100,39,4.13,17.89
MORTLAKE RACECOURSE,17/01/2025, ,0.0, ,25.9,14.3, , , ,29.51
MORTLAKE RACECOURSE,18/01/2025,8.2,0.0, ,31.3,12.8,94,22,5.32,30.32
MORTLAKE RACECOURSE,19/01/2025,8.2,0.0, ,36.9,14.3,100,10,3.35,27.04
MORTLAKE RACECOURSE,20/01/2025,5.7,0.0, ,32.5,15.5,100,23,2.80,19.73
MORTLAKE RACECOURSE,21/01/2025,5.9,0.0, ,28.2,16.8,100,49,5.03,27.76
MORTLAKE RACECOURSE,22/01/2025,5.4,0.0, ,23.2,13.8,93,39,5.96,24.37
MORTLAKE RACECOURSE,23/01/2025, , , ,17.2, ,100,56,3.83,9.49
MORTLAKE RACECOURSE,24/01/2025, ,0.0, , ,8.0,100,37,3.90,24.37
MORTLAKE RACECOURSE,25/01/2025, ,0.0, ,25.6, ,100,42,3.39,25.10
MORTLAKE RACECOURSE,26/01/2025,6.2,0.0, ,29.1,14.9,100,31,3.52,26.94
MORTLAKE RACECOURSE,27/01/2025,13.0,0.0, ,42.6,15.9,100,11,7.98,22.28
MORTLAKE RACECOURSE,28/01/2025,5.1,0.0, ,23.3,13.4,100,37,4.88,23.39
MORTLAKE RACECOURSE,29/01/2025,5.0,0.0, ,21.3,9.6,80,37,4.00,25.85
MORTLAKE RACECOURSE,30/01/2025,4.6,0.0, ,22.1,8.6,90,41,3.23,24.28
MORTLAKE RACECOURSE,31/01/2025,5.3,0.0, ,25.6,6.0,100,38,3.24,28.13
Totals:,,161.5,19.6, ,,,,,, 
