'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/03/2025,4.9,0.0, ,26.5,7.8,100,34,3.30,22.96
MORTLAKE RACECOURSE,02/03/2025,3.6,0.6, ,21.8,11.8,100,44,3.89,16.80
MORTLAKE RACECOURSE,03/03/2025,4.7,0.4, ,24.4,5.9,100,33,3.53,23.08
MORTLAKE RACECOURSE,04/03/2025,5.4,0.0, ,33.8,5.7,100,13,1.92,22.87
MORTLAKE RACECOURSE,05/03/2025,5.5,0.0, ,26.7,9.8,100,30,4.71,22.49
MORTLAKE RACECOURSE,06/03/2025,4.9,0.0, ,27.7,14.2,100,40,5.07,17.67
MORTLAKE RACECOURSE,07/03/2025,6.1,0.0, ,32.5,15.2,100,31,4.08,22.05
MORTLAKE RACECOURSE,08/03/2025,6.7,0.0, ,35.1,15.5,100,18,3.58,21.93
MORTLAKE RACECOURSE,09/03/2025,6.6,0.0, ,35.9,15.9,80,21,3.96,15.86
MORTLAKE RACECOURSE,10/03/2025,6.4,0.0, ,34.9,17.3,100,27,3.98,20.92
MORTLAKE RACECOURSE,11/03/2025,5.1,2.6, ,33.0,19.9,85,38,3.53,15.59
MORTLAKE RACECOURSE,12/03/2025,4.8,0.0, ,30.3,17.8,100,44,3.49,20.14
MORTLAKE RACECOURSE,13/03/2025,4.2,0.0, ,26.2,17.4,100,42,3.05,19.75
MORTLAKE RACECOURSE,14/03/2025,4.1,0.4, ,27.4,8.7,100,30,2.10,20.07
MORTLAKE RACECOURSE,15/03/2025,6.2,0.0, ,38.0,13.4,88,10,3.08,11.92
MORTLAKE RACECOURSE,16/03/2025,2.6,5.2, ,17.2,16.6,100,53,6.74,9.56
MORTLAKE RACECOURSE,17/03/2025,3.1,1.8, ,19.1,5.8,100,39,3.21,16.28
MORTLAKE RACECOURSE,18/03/2025,3.6,0.0, ,24.6,7.1,100,30,1.77,19.99
MORTLAKE RACECOURSE,19/03/2025,5.5,0.0, ,31.9,9.1,100,10,2.76,19.65
MORTLAKE RACECOURSE,20/03/2025,5.0,0.0, ,29.0,12.1,100,22,5.41,4.33
MORTLAKE RACECOURSE,21/03/2025,3.0,2.8, ,21.1,12.8,100,43,2.36,15.60
MORTLAKE RACECOURSE,22/03/2025,3.1,0.0, ,21.9,6.0,100,44,2.25,19.02
MORTLAKE RACECOURSE,23/03/2025,2.9,0.0, ,23.4,7.5,100,50,2.04,15.80
MORTLAKE RACECOURSE,24/03/2025,3.3,0.0, ,22.4,7.6,100,45,2.85,18.30
MORTLAKE RACECOURSE,25/03/2025,3.8,0.0, ,26.3,5.6,100,37,2.59,18.39
MORTLAKE RACECOURSE,26/03/2025,3.0,0.0, ,23.1,8.0,100,45,2.62,15.33
MORTLAKE RACECOURSE,27/03/2025,4.4,0.0, ,26.8,10.2,100,28,3.42,17.80
MORTLAKE RACECOURSE,28/03/2025,4.0,0.0, ,32.3,10.8,100,27,2.13,14.98
MORTLAKE RACECOURSE,29/03/2025,3.0,0.0, ,21.4,11.9,100,53,5.30,12.42
MORTLAKE RACECOURSE,30/03/2025,3.5,0.2, ,23.2,12.8,100,46,6.32,9.99
MORTLAKE RACECOURSE,31/03/2025,3.8,0.0, ,22.1,12.7,99,36,5.93,11.85
Totals:,,136.8,14, ,,,,,, 
