'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/04/2025,3.6,0.0, ,22.3,9.9,100,42,4.98,16.40
MORTLAKE RACECOURSE,02/04/2025,3.9,0.0, ,26.7,9.4,100,25,2.81,15.73
MORTLAKE RACECOURSE,03/04/2025,2.2,0.0, ,19.7,7.7,100,60,4.22,9.89
MORTLAKE RACECOURSE,04/04/2025,1.9,0.0, ,17.1,11.6,100,54,3.23,8.03
MORTLAKE RACECOURSE,05/04/2025,2.6,1.0, ,17.8,4.7,100,40,3.37,13.01
MORTLAKE RACECOURSE,06/04/2025,3.5,0.0, ,21.8,5.3,100,42,5.94,11.17
MORTLAKE RACECOURSE,07/04/2025,1.8,4.2, ,16.4,10.2,100,63,3.61,9.91
MORTLAKE RACECOURSE,08/04/2025,1.6,0.0, ,17.1,8.1,100,60,1.86,9.42
MORTLAKE RACECOURSE,09/04/2025,2.0,0.0, ,20.1,3.1,100,44,1.50,12.29
MORTLAKE RACECOURSE,10/04/2025,4.5,0.0, ,29.3,9.1,100,26,3.72,14.12
MORTLAKE RACECOURSE,11/04/2025,2.6,0.0, ,22.1,10.2,100,47,2.27,14.96
MORTLAKE RACECOURSE,12/04/2025,3.7,0.0, ,31.9,9.1,100,23,1.94,14.79
MORTLAKE RACECOURSE,13/04/2025,6.0,0.0, ,33.2,15.7,100,16,4.91,13.57
MORTLAKE RACECOURSE,14/04/2025,2.7,0.0, ,23.9,14.8,100,49,3.37,10.95
MORTLAKE RACECOURSE,15/04/2025,3.5,0.0, ,28.6,14.2,100,33,2.80,14.37
MORTLAKE RACECOURSE,16/04/2025,4.7,0.0, ,32.6,16.6,81,20,3.36,10.86
MORTLAKE RACECOURSE,17/04/2025,4.1,0.0, ,31.7,14.6,100,24,3.02,12.76
MORTLAKE RACECOURSE,18/04/2025,2.9,0.0, ,27.3,14.1,100,43,2.37,13.35
MORTLAKE RACECOURSE,19/04/2025,2.7,0.0, ,25.5,12.2,100,34,3.22,2.73
MORTLAKE RACECOURSE,20/04/2025,3.2,0.2, ,22.3,13.3,100,37,4.72,11.26
MORTLAKE RACECOURSE,21/04/2025,2.0,1.0, ,19.8,9.7,100,63,3.69,10.92
MORTLAKE RACECOURSE,22/04/2025,1.3,1.0, ,17.5,11.0,100,79,3.80,8.31
MORTLAKE RACECOURSE,23/04/2025,2.5,0.0, ,23.3,6.8,100,48,3.13,11.39
MORTLAKE RACECOURSE,24/04/2025,3.8,0.0, ,28.2,11.2,100,37,4.25,10.81
MORTLAKE RACECOURSE,25/04/2025,1.0,0.0, ,19.9,10.7,100,84,2.11,5.19
MORTLAKE RACECOURSE,26/04/2025,1.8,2.0, ,20.6,9.9,100,62,2.64,11.17
MORTLAKE RACECOURSE,27/04/2025,1.8,0.0, ,19.5,12.4,100,53,2.36,9.05
MORTLAKE RACECOURSE,28/04/2025,1.2,0.2, ,16.6,7.9,100,76,1.52,9.14
MORTLAKE RACECOURSE,29/04/2025,1.7,1.2, ,18.1,7.8,100,57,2.91,9.93
MORTLAKE RACECOURSE,30/04/2025,1.7,0.2, ,18.1,6.1,100,60,3.47,7.54
Totals:,,82.5,11, ,,,,,, 
