'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/10/2024,2.8,0.2, ,18.2,5.6,98,54,5.23,13.31
MORWELL (LATROBE VALLEY AIRPORT),02/10/2024,3.0,0.0, ,18.3,0.9,99,51,2.15,21.64
MORWELL (LATROBE VALLEY AIRPORT),03/10/2024,3.7,0.0, ,23.2,3.9,98,52,3.02,21.99
MORWELL (LATROBE VALLEY AIRPORT),04/10/2024,2.7,1.4, ,22.5,10.3,100,55,3.17,11.11
MORWELL (LATROBE VALLEY AIRPORT),05/10/2024,3.4,11.6, ,21.5,10.8,99,45,3.67,16.04
MORWELL (LATROBE VALLEY AIRPORT),06/10/2024,3.6,16.0, ,18.5,8.5,96,50,7.71,16.90
MORWELL (LATROBE VALLEY AIRPORT),07/10/2024,3.4,0.0, ,19.4,11.2,86,56,7.84,11.96
MORWELL (LATROBE VALLEY AIRPORT),08/10/2024,2.6,1.4, ,15.8,2.7,97,45,2.24,17.02
MORWELL (LATROBE VALLEY AIRPORT),09/10/2024,3.1,0.0, ,17.5,-0.8,96,48,2.25,23.21
MORWELL (LATROBE VALLEY AIRPORT),10/10/2024,3.9,0.0, ,20.9,1.5,97,43,4.83,19.87
MORWELL (LATROBE VALLEY AIRPORT),11/10/2024,3.0,0.0, ,17.0,3.0,96,54,5.11,17.70
MORWELL (LATROBE VALLEY AIRPORT),12/10/2024,3.6,0.0, ,18.1,6.9,88,46,2.95,23.21
MORWELL (LATROBE VALLEY AIRPORT),13/10/2024,4.4,0.0, ,24.9,2.4,96,32,2.41,23.44
MORWELL (LATROBE VALLEY AIRPORT),14/10/2024,2.8,0.6, ,19.5,9.9,92,60,3.59,14.07
MORWELL (LATROBE VALLEY AIRPORT),15/10/2024,4.3,0.0, ,18.8,11.3,77,51,6.05,22.53
MORWELL (LATROBE VALLEY AIRPORT),16/10/2024,4.2,0.0, ,23.4,8.1,91,47,3.45,22.48
MORWELL (LATROBE VALLEY AIRPORT),17/10/2024,4.2,0.0, ,26.2,8.1,96,43,2.56,20.50
MORWELL (LATROBE VALLEY AIRPORT),18/10/2024,2.4,1.0, ,21.4,14.4,97,75,3.30,12.36
MORWELL (LATROBE VALLEY AIRPORT),19/10/2024,3.4,20.6, ,18.5,13.0,96,59,8.55,17.92
MORWELL (LATROBE VALLEY AIRPORT),20/10/2024,3.5,0.0, ,19.7,11.8,87,56,4.96,16.58
MORWELL (LATROBE VALLEY AIRPORT),21/10/2024,4.7,0.0, ,22.0,7.8,100,39,5.01,25.00
MORWELL (LATROBE VALLEY AIRPORT),22/10/2024,5.3,0.0, ,29.6,8.2,99,30,2.86,22.38
MORWELL (LATROBE VALLEY AIRPORT),23/10/2024,4.1,0.0, ,19.6,10.2,88,40,5.21,17.47
MORWELL (LATROBE VALLEY AIRPORT),24/10/2024, ,1.0, , ,8.5,91,57,5.75,15.75
MORWELL (LATROBE VALLEY AIRPORT),25/10/2024, , , ,16.4, ,92,37,5.00,25.50
MORWELL (LATROBE VALLEY AIRPORT),26/10/2024,3.9,0.0, ,19.5,-0.7,97,35,2.06,26.44
MORWELL (LATROBE VALLEY AIRPORT),27/10/2024,5.4,0.0, ,25.5,9.0,92,28,3.92,23.47
MORWELL (LATROBE VALLEY AIRPORT),28/10/2024,4.3,0.6, ,18.2,10.8,92,44,6.54,23.80
MORWELL (LATROBE VALLEY AIRPORT),29/10/2024,3.6,0.0, ,18.3,7.6,87,54,6.05,18.51
MORWELL (LATROBE VALLEY AIRPORT),30/10/2024,4.1,0.2, ,20.4,10.8,93,51,5.55,21.52
MORWELL (LATROBE VALLEY AIRPORT),31/10/2024,3.5,0.0, ,19.1,10.7,91,51,5.33,15.73
Totals:,,106.9,54.6, ,,,,,, 
