'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/11/2024,3.5,0.2, ,17.7,9.0,90,43,4.16,16.45
MORWELL (LATROBE VALLEY AIRPORT),02/11/2024,5.2,0.0, ,26.7,2.3,96,34,2.86,25.91
MORWELL (LATROBE VALLEY AIRPORT),03/11/2024,5.6,0.0, ,20.8,8.8,91,15,5.88,21.92
MORWELL (LATROBE VALLEY AIRPORT),04/11/2024,3.6,0.0, ,19.5,8.0,91,49,3.99,17.96
MORWELL (LATROBE VALLEY AIRPORT),05/11/2024,4.8,0.0, ,24.0,2.4,96,35,2.27,28.09
MORWELL (LATROBE VALLEY AIRPORT),06/11/2024,7.5,0.0, ,34.5,8.2,99,23,4.46,22.30
MORWELL (LATROBE VALLEY AIRPORT),07/11/2024,4.1,0.0, ,21.4,11.8,92,45,3.40,20.87
MORWELL (LATROBE VALLEY AIRPORT),08/11/2024,4.1,0.6, ,20.0,7.0,97,42,6.52,16.73
MORWELL (LATROBE VALLEY AIRPORT),09/11/2024,3.7,0.2, ,20.2,2.1,95,38,2.51,20.70
MORWELL (LATROBE VALLEY AIRPORT),10/11/2024,4.0,0.0, ,21.8,4.1,96,41,2.59,22.52
MORWELL (LATROBE VALLEY AIRPORT),11/11/2024, ,0.0, , ,6.0,97,32,2.62,28.84
MORWELL (LATROBE VALLEY AIRPORT),12/11/2024, , , ,27.8, ,98,38,3.47,22.69
MORWELL (LATROBE VALLEY AIRPORT),13/11/2024,2.9,5.6, ,22.2,14.1,98,60,5.03,10.19
MORWELL (LATROBE VALLEY AIRPORT),14/11/2024,4.4,0.2, ,19.2,9.3,90,47,4.80,25.32
MORWELL (LATROBE VALLEY AIRPORT),15/11/2024, ,0.0, , ,6.9,93,49,2.73,25.89
MORWELL (LATROBE VALLEY AIRPORT),16/11/2024,6.5, , ,32.2,9.7,98,25,2.65,28.53
MORWELL (LATROBE VALLEY AIRPORT),17/11/2024,4.5,0.0, ,25.4,15.9,91,48,6.56,13.32
MORWELL (LATROBE VALLEY AIRPORT),18/11/2024,4.6,9.6, ,19.2,11.1,88,49,7.88,23.27
MORWELL (LATROBE VALLEY AIRPORT),19/11/2024,4.5,0.6, ,19.3,8.9,86,47,3.87,26.96
MORWELL (LATROBE VALLEY AIRPORT),20/11/2024,4.9,0.0, ,22.9,10.6,84,43,2.73,27.40
MORWELL (LATROBE VALLEY AIRPORT),21/11/2024,6.5,0.0, ,29.5,10.9,90,37,3.63,29.65
MORWELL (LATROBE VALLEY AIRPORT),22/11/2024,7.5,0.0, ,35.6,10.3,96,10,2.57,29.16
MORWELL (LATROBE VALLEY AIRPORT),23/11/2024,8.4,0.0, ,36.8,13.5,93,19,4.26,25.09
MORWELL (LATROBE VALLEY AIRPORT),24/11/2024,1.8,0.6, ,20.5,17.5,94,75,1.89,7.03
MORWELL (LATROBE VALLEY AIRPORT),25/11/2024,1.8,4.2, ,21.2,17.0,97,75,2.01,6.91
MORWELL (LATROBE VALLEY AIRPORT),26/11/2024,4.5,9.4, ,27.7,17.9,98,57,3.07,20.61
MORWELL (LATROBE VALLEY AIRPORT),27/11/2024,4.8,4.2, ,30.6,18.1,97,42,3.88,14.77
MORWELL (LATROBE VALLEY AIRPORT),28/11/2024,3.3,11.6, ,23.7,13.2,94,62,2.82,15.83
MORWELL (LATROBE VALLEY AIRPORT),29/11/2024,2.9,0.2, ,23.2,16.9,96,70,5.00,11.82
MORWELL (LATROBE VALLEY AIRPORT),30/11/2024, ,3.0, ,20.2,17.5,99,91,3.59, 
Totals:,,119.9,50.2, ,,,,,, 
