'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/12/2024,6.2,13.2, ,28.6,16.2,100,27,3.75,25.72
MORWELL (LATROBE VALLEY AIRPORT),02/12/2024,6.1,0.0, ,30.6,12.0,96,41,2.14,30.42
MORWELL (LATROBE VALLEY AIRPORT),03/12/2024,5.9,5.4, ,31.5,17.3,96,38,5.21,17.41
MORWELL (LATROBE VALLEY AIRPORT),04/12/2024,5.9,3.6, ,25.3,8.7,92,34,3.15,31.52
MORWELL (LATROBE VALLEY AIRPORT),05/12/2024,7.8,0.0, ,32.0,10.4,95,18,3.76,31.58
MORWELL (LATROBE VALLEY AIRPORT),06/12/2024,5.6,0.0, ,34.3,12.4,95,33,2.71,19.09
MORWELL (LATROBE VALLEY AIRPORT),07/12/2024,4.5,0.8, ,27.0,17.2,90,60,6.41,16.88
MORWELL (LATROBE VALLEY AIRPORT),08/12/2024,5.5,0.4, ,21.2,12.9,80,38,7.32,22.70
MORWELL (LATROBE VALLEY AIRPORT),09/12/2024,4.3,0.0, ,21.9,7.2,92,45,3.51,22.09
MORWELL (LATROBE VALLEY AIRPORT),10/12/2024,5.0,0.0, ,22.9,10.6,86,40,4.51,22.73
MORWELL (LATROBE VALLEY AIRPORT),11/12/2024,5.9,0.0, ,23.2,8.8,92,35,5.93,27.87
MORWELL (LATROBE VALLEY AIRPORT),12/12/2024,6.1,0.0, ,26.4,13.2,89,41,5.34,26.59
MORWELL (LATROBE VALLEY AIRPORT),13/12/2024,4.5,0.0, ,23.1,14.8,96,50,4.84,20.95
MORWELL (LATROBE VALLEY AIRPORT),14/12/2024,5.7,0.0, ,27.3,10.3,89,33,2.61,27.37
MORWELL (LATROBE VALLEY AIRPORT),15/12/2024,6.9,0.0, ,30.1,14.3,90,34,3.89,29.31
MORWELL (LATROBE VALLEY AIRPORT),16/12/2024,8.0,0.0, ,39.3,16.6,95,20,4.41,17.54
MORWELL (LATROBE VALLEY AIRPORT),17/12/2024,6.4,0.0, ,24.7,15.9,87,34,8.14,23.09
MORWELL (LATROBE VALLEY AIRPORT),18/12/2024,5.8,0.0, ,24.3,9.4,86,32,3.34,29.35
MORWELL (LATROBE VALLEY AIRPORT),19/12/2024,7.0,0.0, ,27.0,9.6,88,23,4.14,32.12
MORWELL (LATROBE VALLEY AIRPORT),20/12/2024,7.5,0.0, ,31.1,12.3,87,27,3.97,30.83
MORWELL (LATROBE VALLEY AIRPORT),21/12/2024,6.5,0.0, ,23.8,15.6,80,36,6.61,27.43
MORWELL (LATROBE VALLEY AIRPORT),22/12/2024,5.7,0.0, ,24.2,9.1,92,33,4.11,27.88
MORWELL (LATROBE VALLEY AIRPORT),23/12/2024,4.4,3.2, ,19.0,8.7,92,42,8.92,17.12
MORWELL (LATROBE VALLEY AIRPORT),24/12/2024,4.2,1.2, ,22.6,11.2,90,52,6.10,16.29
MORWELL (LATROBE VALLEY AIRPORT),25/12/2024,7.6,0.0, ,31.5,13.4,88,19,3.59,30.32
MORWELL (LATROBE VALLEY AIRPORT),26/12/2024,10.8,0.0, ,39.2,12.2,99,13,5.95,26.00
MORWELL (LATROBE VALLEY AIRPORT),27/12/2024,5.9,0.4, ,23.9,14.2,83,36,7.96,19.17
MORWELL (LATROBE VALLEY AIRPORT),28/12/2024,5.6,0.0, ,25.5,6.4,94,28,4.77,19.89
MORWELL (LATROBE VALLEY AIRPORT),29/12/2024,6.2,5.6, ,25.8,10.2,95,36,5.13,28.68
MORWELL (LATROBE VALLEY AIRPORT),30/12/2024,6.6,0.0, ,30.5,9.1,96,32,3.24,29.45
MORWELL (LATROBE VALLEY AIRPORT),31/12/2024,5.6,0.0, ,28.2,10.9,95,30,2.65,25.67
Totals:,,189.7,33.8, ,,,,,, 
