'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/02/2025,6.1,0.0, ,29.5,12.2,91,46,4.01,28.80
MORWELL (LATROBE VALLEY AIRPORT),02/02/2025,7.2,0.0, ,39.3,16.7,99,17,2.45,24.98
MORWELL (LATROBE VALLEY AIRPORT),03/02/2025,7.3,0.0, ,36.7,18.9,72,20,3.58,19.85
MORWELL (LATROBE VALLEY AIRPORT),04/02/2025,7.5,0.0, ,37.9,16.0,88,20,4.10,17.64
MORWELL (LATROBE VALLEY AIRPORT),05/02/2025,4.3,0.0, ,24.5,16.4,86,52,5.08,16.48
MORWELL (LATROBE VALLEY AIRPORT),06/02/2025,6.2,0.0, ,32.0,17.8,95,47,4.56,24.61
MORWELL (LATROBE VALLEY AIRPORT),07/02/2025,3.9,0.0, ,27.5,15.8,97,62,4.82,16.20
MORWELL (LATROBE VALLEY AIRPORT),08/02/2025,2.1,0.0, ,19.6,16.5,93,66,4.00,5.99
MORWELL (LATROBE VALLEY AIRPORT),09/02/2025,2.9,2.4, ,21.6,14.9,93,64,5.37,10.84
MORWELL (LATROBE VALLEY AIRPORT),10/02/2025,2.5,5.6, ,21.7,16.2,95,69,4.02,10.32
MORWELL (LATROBE VALLEY AIRPORT),11/02/2025,4.4,3.4, ,27.4,16.1,96,55,3.34,20.40
MORWELL (LATROBE VALLEY AIRPORT),12/02/2025,6.0,0.0, ,31.2,18.7,97,47,4.05,26.15
MORWELL (LATROBE VALLEY AIRPORT),13/02/2025,6.2,0.0, ,35.2,17.1,99,27,3.15,20.42
MORWELL (LATROBE VALLEY AIRPORT),14/02/2025,4.5,0.4, ,26.7,16.4,91,44,4.88,14.44
MORWELL (LATROBE VALLEY AIRPORT),15/02/2025,3.5,3.2, ,16.7,11.9,91,49,7.34,16.36
MORWELL (LATROBE VALLEY AIRPORT),16/02/2025,4.6,7.6, ,19.7,7.9,87,33,5.48,20.27
MORWELL (LATROBE VALLEY AIRPORT),17/02/2025,4.7,0.0, ,24.7,4.6,93,26,2.00,26.12
MORWELL (LATROBE VALLEY AIRPORT),18/02/2025,4.3,0.0, ,22.9,9.2,93,43,5.48,16.52
MORWELL (LATROBE VALLEY AIRPORT),19/02/2025,3.7,0.0, ,21.5,12.7,88,45,5.25,12.18
MORWELL (LATROBE VALLEY AIRPORT),20/02/2025,4.2,0.0, ,23.4,10.5,91,32,2.10,22.39
MORWELL (LATROBE VALLEY AIRPORT),21/02/2025,5.5,0.0, ,28.7,6.7,95,35,3.30,24.95
MORWELL (LATROBE VALLEY AIRPORT),22/02/2025,7.0,0.0, ,37.4,11.6,95,21,3.26,21.67
MORWELL (LATROBE VALLEY AIRPORT),23/02/2025,7.0,0.4, ,34.2,18.3,85,29,6.04,13.66
MORWELL (LATROBE VALLEY AIRPORT),24/02/2025,4.5,5.0, ,25.2,13.4,90,41,4.30,17.27
MORWELL (LATROBE VALLEY AIRPORT),25/02/2025,4.8,0.0, ,26.5,8.6,95,41,3.16,23.75
MORWELL (LATROBE VALLEY AIRPORT),26/02/2025,6.6,0.0, ,35.7,11.6,98,16,2.90,22.68
MORWELL (LATROBE VALLEY AIRPORT),27/02/2025,5.1,0.0, ,28.7,14.1,93,42,3.11,23.72
MORWELL (LATROBE VALLEY AIRPORT),28/02/2025,5.7,0.0, ,28.0,15.8,92,39,5.28,22.94
Totals:,,142.3,28, ,,,,,, 
