'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/04/2025,2.5,1.0, ,21.0,12.9,93,52,3.05,11.08
MORWELL (LATROBE VALLEY AIRPORT),02/04/2025, ,0.0, , ,10.2,95,36,2.11,12.89
MORWELL (LATROBE VALLEY AIRPORT),03/04/2025, , , ,23.3, ,97,40,3.70,13.77
MORWELL (LATROBE VALLEY AIRPORT),04/04/2025,3.3,0.4, ,20.4,11.6,91,42,4.81,12.46
MORWELL (LATROBE VALLEY AIRPORT),05/04/2025,3.6,0.6, ,18.7,9.6,93,35,6.23,13.75
MORWELL (LATROBE VALLEY AIRPORT),06/04/2025,4.0,0.0, ,20.6,1.6,94,37,6.84,14.34
MORWELL (LATROBE VALLEY AIRPORT),07/04/2025,2.5,1.0, ,17.7,11.7,93,61,6.55,10.80
MORWELL (LATROBE VALLEY AIRPORT),08/04/2025,2.5,0.2, ,20.7,11.6,89,51,2.47,13.15
MORWELL (LATROBE VALLEY AIRPORT),09/04/2025,2.5,0.2, ,23.7,7.7,96,45,1.45,15.62
MORWELL (LATROBE VALLEY AIRPORT),10/04/2025,2.7,0.0, ,26.6,8.2,99,26,1.28,15.00
MORWELL (LATROBE VALLEY AIRPORT),11/04/2025,2.9,0.0, ,23.7,10.1,89,54,3.56,12.63
MORWELL (LATROBE VALLEY AIRPORT),12/04/2025,3.5,0.0, ,28.1,14.6,91,36,2.62,14.67
MORWELL (LATROBE VALLEY AIRPORT),13/04/2025,3.5,0.0, ,32.1,10.0,96,21,1.70,14.51
MORWELL (LATROBE VALLEY AIRPORT),14/04/2025,2.4,0.0, ,22.0,14.8,88,56,3.83,6.32
MORWELL (LATROBE VALLEY AIRPORT),15/04/2025,3.0,1.2, ,22.3,12.8,95,51,4.53,14.59
MORWELL (LATROBE VALLEY AIRPORT),16/04/2025,2.8,0.0, ,25.2,8.6,98,47,2.62,13.65
MORWELL (LATROBE VALLEY AIRPORT),17/04/2025,2.9,0.2, ,25.9,9.1,99,36,2.16,14.04
MORWELL (LATROBE VALLEY AIRPORT),18/04/2025,3.3,1.4, ,28.3,11.9,98,39,2.87,13.15
MORWELL (LATROBE VALLEY AIRPORT),19/04/2025,2.4,0.0, ,25.6,13.1,97,48,2.22,10.17
MORWELL (LATROBE VALLEY AIRPORT),20/04/2025,2.0,0.0, ,25.2,14.1,96,34,1.63,4.48
MORWELL (LATROBE VALLEY AIRPORT),21/04/2025,2.3,1.0, ,23.1,7.0,99,52,3.05,9.95
MORWELL (LATROBE VALLEY AIRPORT),22/04/2025,1.4,0.0, ,17.7,13.2,94,73,3.57,5.43
MORWELL (LATROBE VALLEY AIRPORT),23/04/2025,1.9,1.2, ,19.9,10.9,97,62,3.56,8.02
MORWELL (LATROBE VALLEY AIRPORT),24/04/2025,2.0,0.2, ,24.8,12.9,100,48,1.75,8.96
MORWELL (LATROBE VALLEY AIRPORT),25/04/2025,2.2,0.0, ,25.5,9.2,98,43,1.90,8.49
MORWELL (LATROBE VALLEY AIRPORT),26/04/2025,1.3,16.2, ,20.5,13.2,100,67,1.18,7.02
MORWELL (LATROBE VALLEY AIRPORT),27/04/2025,1.2,1.2, ,16.5,14.0,97,73,2.81,4.28
MORWELL (LATROBE VALLEY AIRPORT),28/04/2025,1.6,0.0, ,19.6,12.2,91,57,1.78,7.33
MORWELL (LATROBE VALLEY AIRPORT),29/04/2025,1.6,0.0, ,19.9,12.7,92,66,2.91,6.43
MORWELL (LATROBE VALLEY AIRPORT),30/04/2025,1.2,2.6, ,15.4,6.8,97,60,1.62,7.45
Totals:,,69,28.6, ,,,,,, 
