'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/02/2025, ,0.0, , , ,100,100,2.51,27.14
MOUNT BAW BAW,02/02/2025, ,0.0, , , ,100,100,2.58,24.34
MOUNT BAW BAW,03/02/2025, ,0.0, , , ,100,100,2.42,20.75
MOUNT BAW BAW,04/02/2025, ,0.0, , , ,100,100,3.09,16.75
MOUNT BAW BAW,05/02/2025, ,0.8, , , ,100,100,2.95,24.19
MOUNT BAW BAW,06/02/2025, ,0.0, , , ,100,100,3.24,25.48
MOUNT BAW BAW,07/02/2025, ,0.0, , , ,100,100,2.94,17.21
MOUNT BAW BAW,08/02/2025, ,0.0, , , ,100,100,3.89,12.17
MOUNT BAW BAW,09/02/2025, ,0.0, , , ,100,100,6.04,18.01
MOUNT BAW BAW,10/02/2025, ,9.4, , , ,100,100,4.83,8.27
MOUNT BAW BAW,11/02/2025, ,17.6, , , ,100,38,3.69,24.88
MOUNT BAW BAW,12/02/2025, , , ,22.6, ,100,61,1.78,24.54
MOUNT BAW BAW,13/02/2025,3.5,0.0, ,20.8,14.1,100,60,3.67,18.06
MOUNT BAW BAW,14/02/2025,1.2,1.4, ,13.1,8.5,100,100,3.12,8.30
MOUNT BAW BAW,15/02/2025,0.4,18.2, ,2.4,1.1,100,100,6.88,4.16
MOUNT BAW BAW,16/02/2025,0.7,52.8, ,7.4,-1.4,100,100,5.97,8.17
MOUNT BAW BAW,17/02/2025,3.8,0.4, ,13.5,-0.7,100,20,2.80,26.15
MOUNT BAW BAW,18/02/2025,2.7,0.0, ,10.6,4.9,100,45,4.96,17.07
MOUNT BAW BAW,19/02/2025,1.1,2.0, ,8.3,1.5,100,100,5.52,13.40
MOUNT BAW BAW,20/02/2025,3.7,5.4, ,13.2,1.6,100,12,3.06,22.51
MOUNT BAW BAW,21/02/2025,4.2,0.0, ,18.8,2.1,74,20,2.24,24.41
MOUNT BAW BAW,22/02/2025,4.2,0.0, ,21.6,12.4,73,55,3.33,21.68
MOUNT BAW BAW,23/02/2025,3.0,5.2, ,19.3,11.9,100,61,4.81,14.95
MOUNT BAW BAW,24/02/2025,3.4,2.8, ,13.7,5.2,100,26,3.39,19.84
MOUNT BAW BAW,25/02/2025,4.6,0.0, ,22.3,6.2,60,13,1.98,24.40
MOUNT BAW BAW,26/02/2025,4.7,0.0, ,22.0,13.7,68,36,2.88,23.35
MOUNT BAW BAW,27/02/2025,4.7,0.0, ,22.8,13.3,77,35,2.49,23.91
MOUNT BAW BAW,28/02/2025,3.4,0.0, ,17.5,10.8,99,65,4.06,22.39
Totals:,,49.3,116, ,,,,,, 
