'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/03/2025,3.9,0.0, ,19.5,11.6,100,50,3.12,23.75
MOUNT BAW BAW,02/03/2025,1.8,0.0, ,13.4,6.6,100,75,2.63,11.27
MOUNT BAW BAW,03/03/2025,3.9,0.0, ,15.9,3.5,83,4,2.32,22.32
MOUNT BAW BAW,04/03/2025,4.3,0.0, ,21.1,8.3,92,9,2.26,22.13
MOUNT BAW BAW,05/03/2025,4.3,0.0, ,22.5,13.1,95,41,3.04,22.97
MOUNT BAW BAW,06/03/2025,3.7,0.0, ,20.2,13.5,100,37,2.72,19.28
MOUNT BAW BAW,07/03/2025,3.9,0.0, ,19.2,8.8,100,25,2.38,22.45
MOUNT BAW BAW,08/03/2025,4.1,0.0, ,20.6,12.0,80,28,2.31,22.34
MOUNT BAW BAW,09/03/2025,3.8,0.0, ,22.8,13.0,79,44,1.89,20.30
MOUNT BAW BAW,10/03/2025,2.4,0.0, ,20.3,13.4,100,66,2.56,12.27
MOUNT BAW BAW,11/03/2025,3.4,0.0, ,18.9,12.0,100,58,3.66,20.52
MOUNT BAW BAW,12/03/2025,3.2,0.0, ,21.7,12.3,100,49,2.45,16.84
MOUNT BAW BAW,13/03/2025,3.2,2.2, ,20.4,13.4,96,66,3.51,18.88
MOUNT BAW BAW,14/03/2025,4.6,0.0, ,20.5,12.2,77,10,3.38,19.76
MOUNT BAW BAW,15/03/2025,4.2,0.0, ,22.9,13.5,65,29,3.14,16.44
MOUNT BAW BAW,16/03/2025,2.2,0.4, ,12.8,12.2,100,40,6.47,3.60
MOUNT BAW BAW,17/03/2025,0.7,88.4, ,7.8,-0.1,100,100,5.64,8.59
MOUNT BAW BAW,18/03/2025,2.7,0.0, ,14.8,0.8,96,53,2.27,20.23
MOUNT BAW BAW,19/03/2025,3.5,0.0, ,19.6,7.0,75,40,3.21,17.29
MOUNT BAW BAW,20/03/2025,2.6,0.0, ,16.0,13.3,100,37,4.86,8.17
MOUNT BAW BAW,21/03/2025,1.3,39.0, ,11.6,8.8,100,100,2.17,10.07
MOUNT BAW BAW,22/03/2025,3.1,0.0, ,15.1,4.7,100,23,2.64,19.40
MOUNT BAW BAW,23/03/2025,3.2,0.0, ,18.7,6.0,100,23,2.39,17.06
MOUNT BAW BAW,24/03/2025,2.7,0.0, ,16.7,10.5,98,15,2.14,11.74
MOUNT BAW BAW,25/03/2025,3.5,0.0, ,19.6,10.2,100,15,2.38,18.28
MOUNT BAW BAW,26/03/2025,3.2,0.0, ,18.5,13.2,98,22,2.86,14.82
MOUNT BAW BAW,27/03/2025,3.1,0.0, ,18.4,11.2,87,18,1.69,18.12
MOUNT BAW BAW,28/03/2025,2.3,0.0, ,17.4,11.8,100,62,1.79,14.65
MOUNT BAW BAW,29/03/2025,1.4,0.0, ,13.4,11.2,100,67,2.66,5.62
MOUNT BAW BAW,30/03/2025,0.7,15.8, ,7.5,6.3,100,100,4.45,7.04
MOUNT BAW BAW,31/03/2025,0.6,10.0, ,5.8,4.3,100,100,4.16,6.03
Totals:,,91.5,155.8, ,,,,,, 
