'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/04/2025,0.9,1.6, ,6.8,3.2,100,100,4.14,10.48
MOUNT BAW BAW,02/04/2025,1.8,0.0, ,11.5,3.0,100,68,3.40,14.39
MOUNT BAW BAW,03/04/2025,1.6,0.0, ,9.8,4.7,100,69,3.55,12.47
MOUNT BAW BAW,04/04/2025,1.3,14.0, ,9.0,1.4,100,80,3.22,11.24
MOUNT BAW BAW,05/04/2025,1.1,10.8, ,4.5,-0.2,100,70,6.36,9.31
MOUNT BAW BAW,06/04/2025,1.8,0.0, ,6.9,-0.3,100,50,5.96,13.44
MOUNT BAW BAW,07/04/2025,0.5,7.4, ,8.7,0.9,100,100,7.15,6.07
MOUNT BAW BAW,08/04/2025,1.8,2.4, ,12.4,1.6,100,58,2.12,14.31
MOUNT BAW BAW,09/04/2025,2.3,0.0, ,14.1,5.1,92,51,3.06,15.76
MOUNT BAW BAW,10/04/2025,2.8,0.0, ,14.8,7.5,73,18,2.61,13.70
MOUNT BAW BAW,11/04/2025,2.2,0.0, ,15.6,8.9,95,61,3.28,14.68
MOUNT BAW BAW,12/04/2025,2.8,0.0, ,17.2,10.9,66,49,2.95,15.16
MOUNT BAW BAW,13/04/2025,2.8,0.0, ,18.7,12.3,63,46,2.42,14.66
MOUNT BAW BAW,14/04/2025,1.7,0.0, ,13.9,9.5,100,59,2.92,9.12
MOUNT BAW BAW,15/04/2025,2.1,0.0, ,16.1,4.7,100,52,2.34,14.48
MOUNT BAW BAW,16/04/2025,1.8,0.0, ,15.1,8.6,92,67,2.56,13.03
MOUNT BAW BAW,17/04/2025,2.3,0.0, ,17.1,9.9,77,52,2.08,14.47
MOUNT BAW BAW,18/04/2025,2.1,0.0, ,17.2,9.4,100,55,2.73,13.02
MOUNT BAW BAW,19/04/2025,2.6,0.0, ,15.5,11.8,67,46,3.69,9.93
MOUNT BAW BAW,20/04/2025,1.8,0.0, ,13.9,10.6,100,48,3.62,8.62
MOUNT BAW BAW,21/04/2025,1.1,0.0, ,9.8,3.9,100,77,3.38,9.36
MOUNT BAW BAW,22/04/2025,0.5,17.0, ,7.6,4.7,100,100,3.76,4.08
MOUNT BAW BAW,23/04/2025,1.5,3.6, ,10.6,5.0,100,64,3.54,11.77
MOUNT BAW BAW,24/04/2025,1.6,0.0, ,13.9,6.3,100,64,3.10,11.38
MOUNT BAW BAW,25/04/2025,1.2,0.0, ,13.7,9.7,100,75,3.23,7.46
MOUNT BAW BAW,26/04/2025,0.9,25.0, ,12.6,7.4,100,85,1.95,6.01
MOUNT BAW BAW,27/04/2025,0.8,0.2, ,12.5,7.1,100,99,1.87,7.45
MOUNT BAW BAW,28/04/2025,1.2,0.0, ,10.7,5.5,100,56,2.55,6.65
MOUNT BAW BAW,29/04/2025,0.5,1.2, ,6.4,3.7,100,100,2.79,4.94
MOUNT BAW BAW,30/04/2025,0.5,9.0, ,4.5,1.5,100,100,3.32,7.31
Totals:,,47.9,92.2, ,,,,,, 
