'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/11/2024,3.6,0.0, ,9.8,0.7,84,24,2.74,27.02
MOUNT BULLER,02/11/2024,4.2,0.0, ,13.0,1.2,100,32,10.54,26.65
MOUNT BULLER,03/11/2024,5.1,0.0, ,17.2,5.7,85,27,11.39,18.45
MOUNT BULLER,04/11/2024,4.4,0.0, ,12.1,6.5,99,5,4.47,25.87
MOUNT BULLER,05/11/2024,4.2,0.0, ,15.5,4.3,98,38,4.22,27.54
MOUNT BULLER,06/11/2024,5.0,0.0, ,19.6,8.3,77,42,8.78,20.05
MOUNT BULLER,07/11/2024,3.6,1.6, ,13.4,8.5,100,34,6.65,19.02
MOUNT BULLER,08/11/2024,1.3,1.0, ,5.4,-0.1,100,75,5.41,9.56
MOUNT BULLER,09/11/2024,3.5,3.4, ,9.6,0.2,98,15,5.63,21.05
MOUNT BULLER,10/11/2024,3.8,0.0, ,14.0,1.0,88,51,3.48,28.64
MOUNT BULLER,11/11/2024,4.5,0.0, ,15.5,5.5,84,36,3.28,28.56
MOUNT BULLER,12/11/2024,3.1,0.4, ,15.1,8.3,82,57,3.16,17.27
MOUNT BULLER,13/11/2024,1.7,1.8, ,11.1,7.5,100,86,5.01,12.55
MOUNT BULLER,14/11/2024,3.7,7.0, ,13.5,3.6,100,49,2.02,27.39
MOUNT BULLER,15/11/2024,4.7,0.2, ,15.4,5.2,84,35,4.73,29.33
MOUNT BULLER,16/11/2024,5.3,0.0, ,18.3,7.5,100,33,10.61,27.79
MOUNT BULLER,17/11/2024,2.3,20.4, ,12.0,8.8,100,55,15.57,5.39
MOUNT BULLER,18/11/2024,1.8,27.0, ,9.1,0.0,100,76,6.69,16.47
MOUNT BULLER,19/11/2024,4.3,0.0, ,13.9,0.3,75,23,2.15,30.12
MOUNT BULLER,20/11/2024,4.5,0.0, ,15.9,7.5,75,55,3.69,29.03
MOUNT BULLER,21/11/2024, ,0.0, , ,9.6,87,51,5.70,27.91
MOUNT BULLER,22/11/2024, , , ,20.3, ,82,43,5.08,29.18
MOUNT BULLER,23/11/2024,6.1,0.0, ,21.5,14.4,57,42,6.18,26.00
MOUNT BULLER,24/11/2024,1.8,0.0, ,13.0,13.0,100,55,5.26,3.92
MOUNT BULLER,25/11/2024,1.1,52.4, ,13.2,10.3,100,89,7.00,5.71
MOUNT BULLER,26/11/2024,1.2,11.8, ,14.9,10.9,100,99,8.05,10.19
MOUNT BULLER,27/11/2024,0.8,18.2, ,13.2,11.1,100,100,12.27,7.98
MOUNT BULLER,28/11/2024,3.5,12.6, ,16.5,7.2,100,68,5.12,24.52
MOUNT BULLER,29/11/2024,4.1,0.2, ,18.9,10.1,100,59,4.89,24.45
MOUNT BULLER,30/11/2024, ,18.8, ,12.5,10.7,100,83,8.19, 
Totals:,,93.2,176.8, ,,,,,, 
