'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/02/2025,5.7,0.0, ,23.5,12.1,83,37,3.94,28.51
MOUNT BULLER,02/02/2025,5.8,0.0, ,24.5,14.5,63,41,3.78,26.31
MOUNT BULLER,03/02/2025,6.0,0.0, ,24.8,14.9,77,34,4.97,24.30
MOUNT BULLER,04/02/2025,4.9,0.0, ,22.5,15.2,83,43,6.64,18.14
MOUNT BULLER,05/02/2025,5.3,2.6, ,22.9,13.1,79,39,4.85,23.51
MOUNT BULLER,06/02/2025,4.4,0.0, ,22.8,12.7,96,57,6.68,21.53
MOUNT BULLER,07/02/2025,3.4,0.0, ,21.3,14.9,92,58,7.55,10.62
MOUNT BULLER,08/02/2025,3.0,7.8, ,18.9,12.1,100,68,5.54,16.11
MOUNT BULLER,09/02/2025,2.5,0.0, ,14.7,10.0,100,78,4.94,17.41
MOUNT BULLER,10/02/2025,3.1,0.0, ,15.7,8.3,100,59,7.87,18.94
MOUNT BULLER,11/02/2025,3.3,0.0, ,17.9,8.6,100,61,5.14,19.74
MOUNT BULLER,12/02/2025,4.3,0.0, ,21.6,11.2,90,57,3.10,24.25
MOUNT BULLER,13/02/2025,3.6,0.0, ,19.1,11.4,100,64,8.98,21.56
MOUNT BULLER,14/02/2025,3.4,10.0, ,15.9,11.7,100,48,6.16,17.23
MOUNT BULLER,15/02/2025,0.7,0.2, ,3.5,0.0,100,95,6.65,8.34
MOUNT BULLER,16/02/2025, ,4.4, , ,-2.4,100,63,7.75,19.60
MOUNT BULLER,17/02/2025,4.3, , ,15.1,-1.8,99,12,3.70,25.60
MOUNT BULLER,18/02/2025,4.5,0.0, ,15.4,7.4,99,20,4.76,25.76
MOUNT BULLER,19/02/2025,4.3,0.0, ,15.0,5.0,95,8,3.07,25.61
MOUNT BULLER,20/02/2025,4.5,0.0, ,16.4,3.9,60,11,2.74,25.65
MOUNT BULLER,21/02/2025,5.2,0.0, ,19.4,9.6,60,19,3.58,25.03
MOUNT BULLER,22/02/2025, ,0.0, , ,11.9,82,48,7.49,19.33
MOUNT BULLER,23/02/2025,2.6, , ,16.6,10.9,100,65,10.56,11.88
MOUNT BULLER,24/02/2025,4.2,0.8, ,17.7,8.4,99,34,3.68,24.86
MOUNT BULLER,25/02/2025,5.2,0.0, ,22.3,9.4,53,13,2.80,24.49
MOUNT BULLER,26/02/2025,4.9,0.0, ,21.6,13.0,87,42,5.41,23.60
MOUNT BULLER,27/02/2025,6.3,0.0, ,23.9,13.9,53,24,5.10,24.17
MOUNT BULLER,28/02/2025,4.5,0.0, ,19.3,11.4,89,35,5.23,21.59
Totals:,,109.9,25.8, ,,,,,, 
