'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/09/2024,0.8,7.8, ,3.6,-0.8,100,80,16.41,5.58
MOUNT HOTHAM,02/09/2024,0.8,4.8, ,-3.1,-4.8,100,66,10.70,6.20
MOUNT HOTHAM,03/09/2024,1.4,1.6, ,4.0,-5.4,100,66,6.17,17.03
MOUNT HOTHAM,04/09/2024,2.4,0.2, ,5.8,-3.2,86,41,12.26,17.15
MOUNT HOTHAM,05/09/2024,2.1,1.2, ,8.4,1.1,93,55,14.81,11.74
MOUNT HOTHAM,06/09/2024,1.6,0.0, ,9.4,4.0,100,68,14.54,8.33
MOUNT HOTHAM,07/09/2024,2.0,20.6, ,4.9,-0.4,100,41,7.35,17.61
MOUNT HOTHAM,08/09/2024,0.4,0.2, ,1.6,-1.2,100,97,12.42,8.85
MOUNT HOTHAM,09/09/2024,0.6,9.6, ,5.8,-1.2,100,100,10.55,12.39
MOUNT HOTHAM,10/09/2024,2.8,0.0, ,9.4,-0.8,100,26,5.66,18.32
MOUNT HOTHAM,11/09/2024,2.4,0.0, ,7.3,1.9,100,27,5.22,15.53
MOUNT HOTHAM,12/09/2024,1.2,19.8, ,1.6,-1.2,100,68,7.88,15.11
MOUNT HOTHAM,13/09/2024,2.2,0.0, ,6.6,-3.2,100,37,4.44,18.79
MOUNT HOTHAM,14/09/2024,1.3,0.0, ,0.1,-1.3,100,50,8.65,10.51
MOUNT HOTHAM,15/09/2024,2.1,3.0, ,0.7,-7.5,98,22,12.55,18.27
MOUNT HOTHAM,16/09/2024,2.2,0.0, ,1.3,-6.5,100,20,10.63,18.12
MOUNT HOTHAM,17/09/2024,1.6,0.4, ,4.4,-3.6,100,69,7.31,19.65
MOUNT HOTHAM,18/09/2024,2.3,0.0, ,4.5,-2.7,100,39,13.33,19.85
MOUNT HOTHAM,19/09/2024,1.2,0.0, ,0.1,-1.6,100,56,11.16,7.23
MOUNT HOTHAM,20/09/2024,0.5,1.4, ,0.1,-3.9,100,99,8.32,11.21
MOUNT HOTHAM,21/09/2024,0.5,25.6, ,0.6,-3.1,100,100,8.77,11.62
MOUNT HOTHAM,22/09/2024,0.5,6.0, ,2.0,-1.7,100,100,11.71,10.90
MOUNT HOTHAM,23/09/2024,1.0,0.2, ,5.7,-0.4,100,94,11.21,20.29
MOUNT HOTHAM,24/09/2024,2.3,0.0, ,9.8,1.9,100,62,9.99,20.89
MOUNT HOTHAM,25/09/2024,1.2,3.6, ,4.3,3.1,100,68,7.85,7.00
MOUNT HOTHAM,26/09/2024,1.3,12.8, ,3.6,-5.8,100,94,4.18,21.33
MOUNT HOTHAM,27/09/2024,2.3,0.0, ,9.7,-5.6,87,37,0.77,21.59
MOUNT HOTHAM,28/09/2024,4.3,0.0, ,13.7,3.0,84,19,7.49,21.79
MOUNT HOTHAM,29/09/2024,1.3,0.0, ,3.6,1.5,100,69,12.19,12.39
MOUNT HOTHAM,30/09/2024,2.3,10.0, ,8.2,-0.4,100,67,2.85,22.18
Totals:,,48.9,128.8, ,,,,,, 
