'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/10/2024,2.8,0.0, ,10.3,1.4,100,40,4.17,21.35
MOUNT HOTHAM,02/10/2024,3.0,0.0, ,10.8,-0.3,100,8,2.47,19.66
MOUNT HOTHAM,03/10/2024,2.5,0.2, ,11.4,4.1,98,62,6.17,20.00
MOUNT HOTHAM,04/10/2024,1.3,0.0, ,6.3,3.9,100,75,11.86,10.35
MOUNT HOTHAM,05/10/2024,0.7,19.0, ,2.9,1.2,100,99,9.97,12.17
MOUNT HOTHAM,06/10/2024,0.5, , ,3.1,0.9,100,100,12.10,10.07
MOUNT HOTHAM,07/10/2024,0.5,2.8, ,4.6,1.1,100,96,11.70,6.79
MOUNT HOTHAM,08/10/2024,1.6,9.6, ,3.2,-6.1,100,77,5.86,22.99
MOUNT HOTHAM,09/10/2024,2.5,0.0, ,10.0,-5.0,97,61,4.49,23.73
MOUNT HOTHAM,10/10/2024,2.0,0.0, ,9.9,0.9,100,75,8.16,21.04
MOUNT HOTHAM,11/10/2024,3.9,0.0, ,12.0,1.7,100,13,5.54,23.29
MOUNT HOTHAM,12/10/2024,4.2,0.0, ,9.8,-1.5,70,10,7.66,24.31
MOUNT HOTHAM,13/10/2024,3.3,0.0, ,10.6,2.5,86,47,6.74,24.50
MOUNT HOTHAM,14/10/2024,2.4,0.0, ,12.4,4.1,100,52,4.89,13.16
MOUNT HOTHAM,15/10/2024,2.8,2.0, ,13.5,2.2,100,54,1.91,19.96
MOUNT HOTHAM,16/10/2024,2.2,0.2, ,12.9,4.5,100,73,4.09,16.32
MOUNT HOTHAM,17/10/2024, ,2.0, , ,6.0,100,75,8.45,20.72
MOUNT HOTHAM,18/10/2024,0.8, , ,10.5,7.2,100,97,11.60,8.37
MOUNT HOTHAM,19/10/2024,3.6,68.0, ,11.9,4.7,100,40,11.33,23.64
MOUNT HOTHAM,20/10/2024,4.1,0.0, ,13.9,3.5,88,38,7.97,25.80
MOUNT HOTHAM,21/10/2024,4.1,0.0, ,15.7,3.6,81,25,2.55,25.98
MOUNT HOTHAM,22/10/2024,3.9,0.0, ,14.1,7.8,76,46,6.40,21.38
MOUNT HOTHAM,23/10/2024,2.4,0.8, ,9.3,7.0,100,49,9.12,12.93
MOUNT HOTHAM,24/10/2024,3.1,4.0, ,7.8,-2.3,100,31,3.52,26.38
MOUNT HOTHAM,25/10/2024,2.6,0.0, ,4.8,-3.7,100,43,6.35,26.64
MOUNT HOTHAM,26/10/2024,3.6,0.0, ,9.3,-5.6,83,7,3.34,26.86
MOUNT HOTHAM,27/10/2024,3.7,0.0, ,11.4,2.4,64,50,6.55,24.48
MOUNT HOTHAM,28/10/2024,4.4,0.0, ,12.8,5.5,88,25,6.28,27.22
MOUNT HOTHAM,29/10/2024,4.4,0.0, ,14.4,2.0,72,30,4.59,27.39
MOUNT HOTHAM,30/10/2024,4.2,0.0, ,14.6,6.1,79,47,4.84,27.56
MOUNT HOTHAM,31/10/2024,3.2,0.0, ,11.7,5.2,100,47,4.75,21.93
Totals:,,84.3,108.6, ,,,,,, 
