'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/12/2024,2.7,32.0, ,11.3,8.3,100,61,11.21,18.46
MOUNT HOTHAM,02/12/2024,4.2,11.2, ,15.6,5.8,99,53,8.52,30.60
MOUNT HOTHAM,03/12/2024,2.0,33.6, ,13.3,9.1,100,68,11.59,8.66
MOUNT HOTHAM,04/12/2024,5.0,23.4, ,17.5,8.4,97,45,6.37,31.16
MOUNT HOTHAM,05/12/2024,4.6,0.2, ,19.8,11.6,100,56,8.47,27.02
MOUNT HOTHAM,06/12/2024,3.1,0.0, ,19.4,11.3,100,77,4.08,18.22
MOUNT HOTHAM,07/12/2024,1.6,42.2, ,14.5,11.0,100,81,9.25,8.37
MOUNT HOTHAM,08/12/2024,4.9,2.4, ,14.4,5.8,100,25,4.19,31.80
MOUNT HOTHAM,09/12/2024,3.5,0.0, ,11.1,4.8,97,41,4.82,23.71
MOUNT HOTHAM,10/12/2024,3.9,0.0, ,13.8,4.6,98,53,3.97,27.92
MOUNT HOTHAM,11/12/2024,4.4,0.0, ,14.0,4.1,100,44,4.07,31.71
MOUNT HOTHAM,12/12/2024,4.8,0.2, ,16.2,6.0,86,50,5.77,31.64
MOUNT HOTHAM,13/12/2024,5.4,0.0, ,17.1,9.6,74,43,7.93,29.73
MOUNT HOTHAM,14/12/2024,5.8,0.0, ,16.4,8.9,62,16,5.77,26.58
MOUNT HOTHAM,15/12/2024,5.6,0.0, ,20.6,10.5,89,30,2.23,32.01
MOUNT HOTHAM,16/12/2024,6.9,0.0, ,23.1,12.0,65,49,10.48,32.02
MOUNT HOTHAM,17/12/2024,4.0,3.0, ,16.2,13.3,100,40,7.86,19.13
MOUNT HOTHAM,18/12/2024,4.5,1.6, ,13.2,-1.2,100,31,8.36,31.94
MOUNT HOTHAM,19/12/2024,5.5,0.0, ,16.6,1.7,85,4,3.35,32.08
MOUNT HOTHAM,20/12/2024,5.3,0.0, ,19.1,7.6,71,26,1.98,30.94
MOUNT HOTHAM,21/12/2024,5.4,0.0, ,18.9,11.0,100,33,3.57,31.45
MOUNT HOTHAM,22/12/2024,4.2,0.0, ,14.8,5.9,95,54,5.44,30.11
MOUNT HOTHAM,23/12/2024,1.4,0.6, ,4.4,-1.9,100,79,7.42,15.74
MOUNT HOTHAM,24/12/2024,3.4,0.6, ,13.6,-1.2,100,63,8.97,30.57
MOUNT HOTHAM,25/12/2024,4.8,0.0, ,19.4,2.6,92,49,2.74,31.00
MOUNT HOTHAM,26/12/2024,7.3,0.0, ,20.7,12.3,67,27,11.81,28.12
MOUNT HOTHAM,27/12/2024,4.0,0.0, ,11.3,7.7,84,34,6.05,23.11
MOUNT HOTHAM,28/12/2024,3.4,0.0, ,11.5,3.3,92,59,6.48,27.36
MOUNT HOTHAM,29/12/2024,4.5,0.0, ,15.2,4.0,100,47,3.12,31.95
MOUNT HOTHAM,30/12/2024,4.6,0.2, ,17.1,6.3,100,51,4.86,31.06
MOUNT HOTHAM,31/12/2024,5.0,0.0, ,18.9,7.8,100,26,0.88,31.78
Totals:,,135.7,151.2, ,,,,,, 
