'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/09/2024,4.4,0.0, ,19.2,11.9,57,41,6.87,15.68
MOUNT MOORNAPA,02/09/2024,2.7,2.0, ,11.2,5.9,99,34,7.36,14.08
MOUNT MOORNAPA,03/09/2024,2.2,2.4, ,15.1,3.4,88,53,2.59,15.79
MOUNT MOORNAPA,04/09/2024,2.9,0.0, ,19.7,6.3,89,33,2.81,13.99
MOUNT MOORNAPA,05/09/2024,4.8,0.0, ,22.0,12.9,52,25,5.73,6.26
MOUNT MOORNAPA,06/09/2024,4.7,0.0, ,26.2,15.7,100,30,5.64,16.09
MOUNT MOORNAPA,07/09/2024,2.3,14.4, ,16.1,7.2,100,49,1.89,17.01
MOUNT MOORNAPA,08/09/2024,3.3,0.0, ,17.0,9.2,67,40,3.82,16.95
MOUNT MOORNAPA,09/09/2024,2.8,0.0, ,17.1,9.9,83,46,3.30,15.90
MOUNT MOORNAPA,10/09/2024,2.2,0.0, ,16.9,7.9,88,59,0.98,17.31
MOUNT MOORNAPA,11/09/2024,2.4,0.0, ,19.8,8.8,100,45,1.74,13.59
MOUNT MOORNAPA,12/09/2024,1.5,19.4, ,12.1,5.2,100,74,1.61,11.60
MOUNT MOORNAPA,13/09/2024,2.1,0.0, ,15.5,5.3,91,68,1.93,16.07
MOUNT MOORNAPA,14/09/2024,1.0,4.8, ,6.5,5.3,100,73,2.62,6.53
MOUNT MOORNAPA,15/09/2024,1.9,8.4, ,11.1,1.9,99,54,2.30,16.20
MOUNT MOORNAPA,16/09/2024,1.5,0.2, ,11.3,3.9,99,69,3.95,10.30
MOUNT MOORNAPA,17/09/2024,2.3,0.4, ,14.2,6.7,91,62,1.75,18.46
MOUNT MOORNAPA,18/09/2024,4.0,0.0, ,18.8,7.0,99,23,4.87,19.16
MOUNT MOORNAPA,19/09/2024,2.7,0.0, ,16.2,7.0,100,41,3.14,15.16
MOUNT MOORNAPA,20/09/2024,2.9,0.0, ,15.9,7.2,100,44,4.05,17.71
MOUNT MOORNAPA,21/09/2024,3.0,7.2, ,16.1,7.0,75,48,3.97,16.20
MOUNT MOORNAPA,22/09/2024,3.4,0.0, ,17.6,9.3,81,44,3.45,19.21
MOUNT MOORNAPA,23/09/2024,3.7,0.0, ,21.4,11.3,90,31,2.51,19.91
MOUNT MOORNAPA,24/09/2024,2.8,0.0, ,21.4,8.4,100,47,1.99,15.73
MOUNT MOORNAPA,25/09/2024,1.6,0.0, ,15.0,13.8,100,48,2.07,5.11
MOUNT MOORNAPA,26/09/2024,1.7,11.2, ,11.4,4.4,97,63,1.45,12.63
MOUNT MOORNAPA,27/09/2024,2.6,0.0, ,14.3,2.5,87,53,1.86,20.81
MOUNT MOORNAPA,28/09/2024,3.2,0.0, ,19.1,6.6,83,51,2.14,20.95
MOUNT MOORNAPA,29/09/2024,1.6,0.0, ,16.0,12.2,100,51,2.41,4.69
MOUNT MOORNAPA,30/09/2024,2.8,4.2, ,17.0,7.8,100,60,1.20,21.17
Totals:,,81,74.6, ,,,,,, 
