'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/11/2024,3.3,0.0, ,16.4,5.6,93,41,1.77,21.12
MOUNT MOORNAPA,02/11/2024,5.1,0.0, ,25.2,6.0,93,26,2.30,27.05
MOUNT MOORNAPA,03/11/2024,7.6,0.0, ,29.4,11.1,82,16,5.07,26.71
MOUNT MOORNAPA,04/11/2024,3.2,0.0, ,19.8,10.1,85,44,1.25,17.86
MOUNT MOORNAPA,05/11/2024,4.5,0.0, ,22.5,8.8,92,48,1.46,28.05
MOUNT MOORNAPA,06/11/2024,7.0,0.0, ,34.4,12.7,92,22,3.87,21.81
MOUNT MOORNAPA,07/11/2024,2.2,0.0, ,16.8,10.5,97,68,1.29,12.27
MOUNT MOORNAPA,08/11/2024,4.3,0.2, ,19.6,9.7,92,38,2.81,24.25
MOUNT MOORNAPA,09/11/2024,3.6,0.6, ,20.6,6.8,94,38,1.52,21.11
MOUNT MOORNAPA,10/11/2024,4.1,0.0, ,20.5,7.7,95,45,2.08,24.95
MOUNT MOORNAPA,11/11/2024,5.1,0.0, ,25.1,8.1,99,28,1.70,28.95
MOUNT MOORNAPA,12/11/2024,4.3,0.0, ,26.7,10.6,100,38,1.53,21.46
MOUNT MOORNAPA,13/11/2024, ,1.4, , ,14.3,100,63,2.04,12.94
MOUNT MOORNAPA,14/11/2024, , , ,19.2, ,98,40,1.54,27.59
MOUNT MOORNAPA,15/11/2024,3.6,0.0, ,20.1,9.0,99,59,1.38,22.12
MOUNT MOORNAPA,16/11/2024,6.6,0.0, ,32.0,10.8,100,21,2.59,28.78
MOUNT MOORNAPA,17/11/2024,3.0,0.0, ,22.2,19.9,100,35,4.84,4.44
MOUNT MOORNAPA,18/11/2024,3.9,16.6, ,19.3,9.8,90,45,2.89,21.54
MOUNT MOORNAPA,19/11/2024,4.4,0.0, ,19.4,7.5,93,47,1.64,29.45
MOUNT MOORNAPA,20/11/2024,3.6,0.0, ,20.2,7.9,98,54,1.32,22.61
MOUNT MOORNAPA,21/11/2024,5.4,0.0, ,27.1,9.3,100,44,1.71,30.10
MOUNT MOORNAPA,22/11/2024,6.6,0.0, ,33.3,14.8,68,24,2.29,27.25
MOUNT MOORNAPA,23/11/2024,7.7,0.0, ,35.3,20.2,59,22,3.49,24.82
MOUNT MOORNAPA,24/11/2024,1.6,0.0, ,21.4,18.8,100,60,1.02,5.60
MOUNT MOORNAPA,25/11/2024,1.3,15.8, ,18.0,15.4,100,100,0.61,5.66
MOUNT MOORNAPA,26/11/2024,2.9,14.8, ,24.2,15.8,100,80,1.54,15.22
MOUNT MOORNAPA,27/11/2024,3.9,4.2, ,27.8,17.1,100,56,3.08,16.06
MOUNT MOORNAPA,28/11/2024,2.8,0.6, ,23.0,14.6,100,73,1.38,14.48
MOUNT MOORNAPA,29/11/2024,2.1,5.2, ,19.7,15.6,100,99,1.43,12.16
MOUNT MOORNAPA,30/11/2024, ,8.8, ,19.4,16.2,100,93,1.64, 
Totals:,,113.7,68.2, ,,,,,, 
