'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/12/2024,4.5,5.4, ,26.8,16.4,89,36,2.17,19.15
MOUNT MOORNAPA,02/12/2024,6.1,0.0, ,29.5,15.4,84,38,2.04,29.51
MOUNT MOORNAPA,03/12/2024,4.9,0.0, ,30.2,19.6,100,37,2.98,18.04
MOUNT MOORNAPA,04/12/2024,4.8,8.0, ,22.6,10.3,98,54,1.64,29.36
MOUNT MOORNAPA,05/12/2024,6.3,0.0, ,30.2,12.9,83,36,1.97,31.55
MOUNT MOORNAPA,06/12/2024,5.8,0.0, ,34.5,18.7,100,29,2.72,19.89
MOUNT MOORNAPA,07/12/2024,4.5,4.8, ,28.4,16.5,100,55,2.81,19.77
MOUNT MOORNAPA,08/12/2024,4.9,0.8, ,20.7,10.4,100,48,2.20,30.64
MOUNT MOORNAPA,09/12/2024,3.8,0.0, ,21.0,9.4,90,51,1.50,21.68
MOUNT MOORNAPA,10/12/2024,3.7,0.0, ,21.9,9.5,99,48,1.36,20.92
MOUNT MOORNAPA,11/12/2024,4.7,0.0, ,23.1,10.2,89,39,1.23,27.57
MOUNT MOORNAPA,12/12/2024,5.6,0.0, ,26.4,11.8,90,48,1.27,31.84
MOUNT MOORNAPA,13/12/2024,2.5,0.0, ,22.1,12.8,100,65,1.63,11.29
MOUNT MOORNAPA,14/12/2024,4.3,0.0, ,25.1,11.5,100,54,1.14,23.61
MOUNT MOORNAPA,15/12/2024,5.5,0.0, ,28.0,13.5,100,47,1.42,29.37
MOUNT MOORNAPA,16/12/2024,8.5,0.0, ,39.1,15.2,70,20,3.06,28.67
MOUNT MOORNAPA,17/12/2024,4.7,0.2, ,24.3,13.4,100,33,2.44,22.28
MOUNT MOORNAPA,18/12/2024,4.9,1.8, ,21.7,9.5,93,40,2.27,28.68
MOUNT MOORNAPA,19/12/2024,5.9,0.0, ,25.2,9.2,97,25,2.13,32.08
MOUNT MOORNAPA,20/12/2024,6.0,0.0, ,29.3,11.5,91,32,1.55,31.37
MOUNT MOORNAPA,21/12/2024,4.7,0.0, ,24.0,12.1,98,33,1.94,24.08
MOUNT MOORNAPA,22/12/2024,4.5,0.0, ,22.5,9.5,99,39,1.38,25.95
MOUNT MOORNAPA,23/12/2024,3.4,4.6, ,16.3,7.1,100,51,4.41,20.07
MOUNT MOORNAPA,24/12/2024,4.5,1.0, ,22.7,8.9,96,50,2.67,25.17
MOUNT MOORNAPA,25/12/2024,5.9,0.0, ,28.7,10.9,100,40,1.59,32.06
MOUNT MOORNAPA,26/12/2024,8.5,0.0, ,35.1,16.6,69,17,4.45,25.01
MOUNT MOORNAPA,27/12/2024,5.4,0.0, ,23.7,13.9,93,30,2.38,27.60
MOUNT MOORNAPA,28/12/2024,4.8,0.0, ,24.2,10.2,100,29,1.80,24.94
MOUNT MOORNAPA,29/12/2024,5.5,1.6, ,24.7,10.8,100,39,1.69,31.93
MOUNT MOORNAPA,30/12/2024,5.8,0.2, ,29.6,12.0,93,34,1.69,29.30
MOUNT MOORNAPA,31/12/2024,4.3,0.0, ,25.5,12.9,100,49,1.46,22.75
Totals:,,159.2,28.4, ,,,,,, 
