'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/02/2025,5.3,0.0, ,28.2,12.8,97,49,1.57,28.84
MOUNT MOORNAPA,02/02/2025,7.5,0.0, ,36.3,17.5,74,21,2.91,27.67
MOUNT MOORNAPA,03/02/2025,6.3,0.0, ,37.6,21.2,59,22,2.32,20.11
MOUNT MOORNAPA,04/02/2025,5.9,0.0, ,35.1,23.0,100,26,3.19,18.22
MOUNT MOORNAPA,05/02/2025,2.3,21.2, ,21.8,13.4,100,71,1.65,11.28
MOUNT MOORNAPA,06/02/2025,4.9,10.0, ,28.8,14.1,100,62,1.66,26.14
MOUNT MOORNAPA,07/02/2025,4.6,0.2, ,31.2,18.4,99,47,2.70,18.21
MOUNT MOORNAPA,08/02/2025,1.1,0.4, ,16.3,13.5,100,85,1.43,4.23
MOUNT MOORNAPA,09/02/2025,1.0,50.0, ,16.9,13.9,100,100,2.59,5.11
MOUNT MOORNAPA,10/02/2025,1.0,110.2, ,17.8,14.3,100,100,2.87,5.16
MOUNT MOORNAPA,11/02/2025,3.3,43.8, ,23.0,13.8,100,79,1.57,19.52
MOUNT MOORNAPA,12/02/2025,4.8,3.8, ,27.3,14.9,100,62,1.49,26.98
MOUNT MOORNAPA,13/02/2025,5.5,0.2, ,30.9,17.2,96,40,3.48,21.43
MOUNT MOORNAPA,14/02/2025,1.5,7.6, ,19.3,14.1,100,77,0.99,6.66
MOUNT MOORNAPA,15/02/2025,1.9,3.2, ,13.8,10.2,100,66,3.52,9.97
MOUNT MOORNAPA,16/02/2025,3.3,5.8, ,17.3,6.9,83,51,3.01,18.64
MOUNT MOORNAPA,17/02/2025,4.0,0.2, ,20.3,7.4,90,44,1.53,26.18
MOUNT MOORNAPA,18/02/2025,3.9,0.0, ,21.4,10.0,99,53,1.93,24.32
MOUNT MOORNAPA,19/02/2025,2.7,0.0, ,18.0,10.1,88,63,1.74,15.55
MOUNT MOORNAPA,20/02/2025,3.6,0.0, ,19.3,10.3,97,48,1.56,22.80
MOUNT MOORNAPA,21/02/2025,4.1,0.0, ,24.3,8.5,98,48,1.48,25.20
MOUNT MOORNAPA,22/02/2025,6.2,0.0, ,32.8,12.5,84,36,3.60,23.41
MOUNT MOORNAPA,23/02/2025,5.2,0.2, ,30.8,21.4,100,35,5.06,14.67
MOUNT MOORNAPA,24/02/2025,3.0,4.6, ,22.5,13.7,97,60,1.36,16.53
MOUNT MOORNAPA,25/02/2025,3.6,0.0, ,23.0,12.2,100,66,1.49,22.25
MOUNT MOORNAPA,26/02/2025,5.4,0.0, ,31.7,13.7,99,34,2.54,23.49
MOUNT MOORNAPA,27/02/2025,3.9,0.0, ,24.5,13.5,100,57,1.61,23.09
MOUNT MOORNAPA,28/02/2025,4.1,0.0, ,25.3,14.7,100,59,2.03,23.05
Totals:,,109.9,261.4, ,,,,,, 
