'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/09/2024,5.4,0.0, ,21.7,12.8,55,32,7.62,15.93
MOUNT NOWA NOWA,02/09/2024,3.0,0.4, ,13.8,6.8,99,30,8.05,8.83
MOUNT NOWA NOWA,03/09/2024,2.2,1.8, ,15.8,3.9,96,56,3.61,15.26
MOUNT NOWA NOWA,04/09/2024,3.5,0.0, ,21.6,7.2,92,30,3.82,14.75
MOUNT NOWA NOWA,05/09/2024,5.2,0.0, ,24.5,11.8,59,25,5.88,8.55
MOUNT NOWA NOWA,06/09/2024,5.3,1.0, ,27.0,15.9,98,30,6.96,16.03
MOUNT NOWA NOWA,07/09/2024,2.3,18.4, ,16.7,8.0,100,54,2.40,16.69
MOUNT NOWA NOWA,08/09/2024,3.7,0.0, ,19.8,7.9,84,33,4.44,17.03
MOUNT NOWA NOWA,09/09/2024,2.9,0.2, ,18.0,9.1,88,47,3.07,17.35
MOUNT NOWA NOWA,10/09/2024,2.4,0.2, ,17.2,8.2,94,60,2.12,17.38
MOUNT NOWA NOWA,11/09/2024,2.5,0.0, ,20.6,9.5,99,49,2.14,14.24
MOUNT NOWA NOWA,12/09/2024,1.7,15.2, ,12.0,6.5,100,61,2.51,11.39
MOUNT NOWA NOWA,13/09/2024,1.9,0.0, ,15.8,5.8,96,65,2.54,11.77
MOUNT NOWA NOWA,14/09/2024,0.9,1.8, ,7.1,6.9,100,78,3.74,5.64
MOUNT NOWA NOWA,15/09/2024,1.8,14.8, ,10.9,2.1,100,59,2.99,14.54
MOUNT NOWA NOWA,16/09/2024,2.0,0.0, ,13.8,4.5,98,66,5.16,13.43
MOUNT NOWA NOWA,17/09/2024,2.7,2.2, ,15.3,6.6,97,38,2.73,17.26
MOUNT NOWA NOWA,18/09/2024,4.5,0.0, ,21.2,6.7,96,22,4.91,19.18
MOUNT NOWA NOWA,19/09/2024,2.6,0.4, ,17.4,8.0,98,45,2.95,13.97
MOUNT NOWA NOWA,20/09/2024,3.2,0.0, ,18.2,6.6,100,40,3.92,17.39
MOUNT NOWA NOWA,21/09/2024,2.8,7.6, ,17.0,7.2,100,47,3.61,16.60
MOUNT NOWA NOWA,22/09/2024,3.3,0.4, ,20.0,8.3,94,45,3.33,18.27
MOUNT NOWA NOWA,23/09/2024,3.9,0.0, ,22.5,11.7,97,39,3.49,19.90
MOUNT NOWA NOWA,24/09/2024, ,0.0, , ,9.7,100,39,3.48,13.61
MOUNT NOWA NOWA,25/09/2024, , , ,16.7, ,100,41,3.01,5.35
MOUNT NOWA NOWA,26/09/2024,2.0,4.0, ,12.2,5.1,100,58,2.66,14.13
MOUNT NOWA NOWA,27/09/2024,2.9,0.0, ,15.5,3.4,93,43,2.34,20.77
MOUNT NOWA NOWA,28/09/2024,3.7,0.0, ,20.8,7.3,80,37,2.67,20.99
MOUNT NOWA NOWA,29/09/2024,2.3,0.0, ,19.5,11.8,99,52,3.08,8.83
MOUNT NOWA NOWA,30/09/2024,2.8,5.8, ,17.9,8.6,99,56,1.66,19.57
Totals:,,83.4,74.2, ,,,,,, 
