'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/11/2024,3.2,0.6, ,17.2,5.7,92,40,2.40,17.99
MOUNT NOWA NOWA,02/11/2024,5.3,0.0, ,25.0,6.7,83,32,2.77,27.39
MOUNT NOWA NOWA,03/11/2024,7.2,0.0, ,30.5,13.1,80,17,4.95,21.32
MOUNT NOWA NOWA,04/11/2024,2.2,0.0, ,15.6,11.0,85,61,1.18,12.08
MOUNT NOWA NOWA,05/11/2024,4.4,0.0, ,20.9,9.2,88,52,1.59,28.07
MOUNT NOWA NOWA,06/11/2024,8.1,0.0, ,36.0,14.0,89,19,4.64,22.50
MOUNT NOWA NOWA,07/11/2024,1.6,0.0, ,14.9,11.5,98,72,1.51,7.78
MOUNT NOWA NOWA,08/11/2024,5.3,0.2, ,24.1,10.2,93,26,3.48,24.08
MOUNT NOWA NOWA,09/11/2024, ,0.2, , ,9.1,89,46,1.64,21.90
MOUNT NOWA NOWA,10/11/2024,3.9, , ,18.7,9.6,95,49,2.12,24.96
MOUNT NOWA NOWA,11/11/2024,4.9,0.0, ,23.3,9.1,93,40,1.85,28.98
MOUNT NOWA NOWA,12/11/2024,4.4,0.0, ,25.7,10.9,99,47,2.57,21.79
MOUNT NOWA NOWA,13/11/2024, ,1.0, , ,14.5,99,47,2.54,9.19
MOUNT NOWA NOWA,14/11/2024, ,13.6, ,17.7, ,98,52,2.11,25.38
MOUNT NOWA NOWA,15/11/2024,3.3,0.0, ,19.7,10.2,99,63,1.41,20.08
MOUNT NOWA NOWA,16/11/2024,7.3,0.0, ,32.5,12.0,99,20,3.48,28.56
MOUNT NOWA NOWA,17/11/2024,3.7,0.0, ,26.1,19.3,99,39,5.55,5.35
MOUNT NOWA NOWA,18/11/2024,4.8,4.4, ,20.1,9.4,91,43,3.81,28.10
MOUNT NOWA NOWA,19/11/2024,4.3,0.0, ,17.3,8.3,85,50,2.05,28.86
MOUNT NOWA NOWA,20/11/2024, ,0.0, , ,8.3,87,61,1.18,19.80
MOUNT NOWA NOWA,21/11/2024, , , , , ,93,44,1.55,29.89
MOUNT NOWA NOWA,22/11/2024, , , ,32.3, ,70,27,2.69,28.92
MOUNT NOWA NOWA,23/11/2024,8.7,0.0, ,36.8,21.1,51,18,3.88,25.69
MOUNT NOWA NOWA,24/11/2024,2.3,0.0, ,23.2,19.8,99,50,1.42,8.23
MOUNT NOWA NOWA,25/11/2024,1.4, , ,19.3,16.2,100,98,1.16,6.75
MOUNT NOWA NOWA,26/11/2024,2.6,17.8, ,24.6,16.5,99,79,2.46,12.46
MOUNT NOWA NOWA,27/11/2024,3.7,1.8, ,25.7,17.8,86,60,4.54,12.78
MOUNT NOWA NOWA,28/11/2024,3.5,0.2, ,23.8,16.6,100,71,1.19,18.63
MOUNT NOWA NOWA,29/11/2024,1.9, , ,20.1,16.2,100,90,0.98,9.98
MOUNT NOWA NOWA,30/11/2024, , , ,21.6,16.9,100,71,2.74, 
Totals:,,98,39.8, ,,,,,, 
