'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/12/2024,5.4, , ,27.9,17.5,86,40,3.58,21.56
MOUNT NOWA NOWA,02/12/2024,6.7,0.0, ,28.8,15.5,87,32,3.01,31.08
MOUNT NOWA NOWA,03/12/2024,5.3,0.0, ,30.9,19.8,99,37,4.20,16.64
MOUNT NOWA NOWA,04/12/2024,4.5, , ,20.8,11.7,97,56,2.01,27.40
MOUNT NOWA NOWA,05/12/2024,6.2,0.2, ,29.3,12.1,88,31,2.02,30.80
MOUNT NOWA NOWA,06/12/2024,6.6,0.0, ,34.1,19.8,72,21,2.55,23.41
MOUNT NOWA NOWA,07/12/2024,4.9,6.2, ,30.5,17.2,97,54,2.57,21.65
MOUNT NOWA NOWA,08/12/2024,5.1,0.0, ,21.1,12.5,89,46,3.66,28.80
MOUNT NOWA NOWA,09/12/2024,3.5,0.0, ,19.3,10.9,85,57,1.68,20.33
MOUNT NOWA NOWA,10/12/2024,3.7,0.0, ,21.2,10.3,95,49,1.52,20.95
MOUNT NOWA NOWA,11/12/2024,4.4,0.2, ,22.6,11.1,97,44,1.81,24.26
MOUNT NOWA NOWA,12/12/2024,5.7,0.0, ,25.9,11.6,91,39,1.58,31.95
MOUNT NOWA NOWA,13/12/2024,2.4,0.4, ,18.4,14.1,99,75,1.67,13.24
MOUNT NOWA NOWA,14/12/2024,4.2,0.2, ,23.3,12.4,98,61,1.24,24.31
MOUNT NOWA NOWA,15/12/2024,5.1,0.0, ,25.4,14.2,99,61,1.10,29.28
MOUNT NOWA NOWA,16/12/2024,9.6,0.0, ,40.7,15.4,81,20,3.75,30.90
MOUNT NOWA NOWA,17/12/2024,3.5,0.2, ,20.8,15.1,98,39,2.50,15.62
MOUNT NOWA NOWA,18/12/2024,4.1,3.0, ,19.6,9.5,88,53,2.59,24.56
MOUNT NOWA NOWA,19/12/2024,5.4,0.0, ,22.5,9.1,92,38,2.25,32.08
MOUNT NOWA NOWA,20/12/2024,5.8,0.0, ,25.3,10.9,93,25,1.79,31.77
MOUNT NOWA NOWA,21/12/2024,4.4,0.0, ,22.9,14.0,92,44,2.81,21.27
MOUNT NOWA NOWA,22/12/2024,2.7,0.0, ,18.8,11.7,95,64,1.04,14.65
MOUNT NOWA NOWA,23/12/2024,3.8,10.6, ,18.8,7.6,99,54,5.59,21.57
MOUNT NOWA NOWA,24/12/2024,3.9,2.2, ,21.1,9.2,94,56,3.82,20.67
MOUNT NOWA NOWA,25/12/2024,5.4,0.0, ,24.9,11.4,99,52,2.23,31.54
MOUNT NOWA NOWA,26/12/2024,9.9,0.0, ,37.0,14.9,62,19,4.88,30.09
MOUNT NOWA NOWA,27/12/2024,5.1,0.0, ,24.2,15.3,86,26,2.48,23.19
MOUNT NOWA NOWA,28/12/2024,4.9,0.0, ,22.7,11.6,86,38,1.76,27.18
MOUNT NOWA NOWA,29/12/2024,5.5,0.0, ,24.7,11.8,98,42,1.91,31.32
MOUNT NOWA NOWA,30/12/2024,5.7,0.0, ,27.1,13.4,91,39,1.57,31.10
MOUNT NOWA NOWA,31/12/2024,3.7,0.0, ,23.4,14.5,98,60,1.10,20.00
Totals:,,157.1,23.2, ,,,,,, 
