'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/02/2025,5.2,0.0, ,28.2,12.8,95,53,1.14,28.93
MOUNT NOWA NOWA,02/02/2025,7.4,0.0, ,36.7,16.7,67,24,2.57,28.60
MOUNT NOWA NOWA,03/02/2025,6.9,0.0, ,36.9,20.4,72,22,1.98,27.78
MOUNT NOWA NOWA,04/02/2025,7.3,0.0, ,37.8,23.5,93,22,3.70,21.16
MOUNT NOWA NOWA,05/02/2025,2.0,0.2, ,20.0,15.0,100,77,1.52,9.94
MOUNT NOWA NOWA,06/02/2025,5.0, , ,29.9,16.8,100,53,1.79,24.64
MOUNT NOWA NOWA,07/02/2025,6.6,0.0, ,37.5,18.1,98,29,3.96,17.35
MOUNT NOWA NOWA,08/02/2025,0.9,11.8, ,16.9,14.4,100,97,2.19,4.29
MOUNT NOWA NOWA,09/02/2025,1.3, , ,17.5,14.6,100,99,2.20,7.63
MOUNT NOWA NOWA,10/02/2025,1.0,83.8, ,17.4,14.7,100,100,1.99,4.67
MOUNT NOWA NOWA,11/02/2025,2.5, , ,21.3,15.2,100,84,1.11,14.28
MOUNT NOWA NOWA,12/02/2025,5.1,0.8, ,28.7,15.8,100,54,1.71,27.10
MOUNT NOWA NOWA,13/02/2025,7.1,0.0, ,32.0,20.1,81,32,5.00,23.91
MOUNT NOWA NOWA,14/02/2025,1.2,7.0, ,17.2,15.5,100,82,1.05,4.63
MOUNT NOWA NOWA,15/02/2025,2.9, , ,16.6,11.2,100,62,5.32,17.38
MOUNT NOWA NOWA,16/02/2025,3.4,1.2, ,16.5,7.1,84,55,4.09,21.16
MOUNT NOWA NOWA,17/02/2025,3.8,0.2, ,20.2,8.2,84,53,2.21,23.85
MOUNT NOWA NOWA,18/02/2025,3.9,0.0, ,21.0,10.5,96,50,2.02,23.87
MOUNT NOWA NOWA,19/02/2025,3.2,0.0, ,19.9,10.2,86,49,2.66,15.58
MOUNT NOWA NOWA,20/02/2025,3.5,0.0, ,18.7,11.0,89,49,2.21,20.32
MOUNT NOWA NOWA,21/02/2025,4.2,0.0, ,24.4,10.4,85,55,1.53,25.14
MOUNT NOWA NOWA,22/02/2025,6.1,0.0, ,33.3,14.6,86,33,3.53,21.69
MOUNT NOWA NOWA,23/02/2025,5.0,0.0, ,31.1,20.5,98,38,5.29,12.16
MOUNT NOWA NOWA,24/02/2025,2.6, , ,20.3,14.4,97,69,1.31,14.43
MOUNT NOWA NOWA,25/02/2025,3.5,0.0, ,22.0,12.7,95,67,1.28,21.76
MOUNT NOWA NOWA,26/02/2025,6.2,0.0, ,33.4,14.6,89,20,2.96,22.98
MOUNT NOWA NOWA,27/02/2025,3.7,0.0, ,23.4,15.2,95,62,1.49,21.78
MOUNT NOWA NOWA,28/02/2025,3.9,0.0, ,25.1,16.1,95,60,1.96,21.81
Totals:,,115.4,105, ,,,,,, 
